round,day_utc,symbol,both_fill_p50_ms,both_fill_p90_ms,both_fill_p99_ms,both_fill_max_ms,singleton_p50_ms,singleton_p90_ms,singleton_p99_ms,singleton_max_ms,maker_order_expiry_ms
58,2023-06-01,BTCUSDT,2584.0,7870.2,12794.00000000001,13604.0,11418.0,14421.4,14928.24,14994.0,15000
58,2023-06-01,ETHUSDT,2629.0,7465.5,12253.9,13997.0,11134.0,14306.0,14897.199999999999,14994.0,15000
58,2023-06-01,SOLUSDT,3285.0,8766.300000000001,12136.349999999995,13003.0,8755.0,13544.2,14740.76,14998.0,15000
