round,policy_id,minimum_pairwise_seed_score_spearman,position_changes,unanimous_fraction,gate_passed,gate_reasons,base_total_net_return_fraction,base_maximum_drawdown_fraction,base_profit_factor,base_closed_trades,base_active_days,base_mean_hourly_portfolio_bps,base_maximum_single_symbol_fraction_of_absolute_net_pnl,base_symbol_net_bps,base_bootstrap_lower_mean_hourly_bps,stress_total_net_return_fraction,stress_maximum_drawdown_fraction,stress_profit_factor,stress_closed_trades,stress_active_days,stress_mean_hourly_portfolio_bps,stress_maximum_single_symbol_fraction_of_absolute_net_pnl,stress_symbol_net_bps,stress_bootstrap_lower_mean_hourly_bps
54,median_q_all_seed_consensus,0.6485431467224234,15,0.894993894993895,false,"[""fewer_than_thirty_closed_trades"",""fewer_than_thirty_active_days"",""stress_profit_factor_below_1_05"",""stress_drawdown_exceeds_ten_percent"",""stress_block_bootstrap_lower_not_positive""]",-0.3072774120130366,0.43876136337127425,0.9333894520720707,15,9,-1.4531379428914115,0.3939499076138526,"{""BTCUSDT"":-2813.067458641948,""ETHUSDT"":-2957.111108858604,""SOLUSDT"":-3750.7812343239784}",-5.187914963452814,-0.30866592409672367,0.4395891253998039,0.9329818706953733,15,9,-1.4622954520489206,0.39357030113057123,"{""BTCUSDT"":-2829.067458641948,""ETHUSDT"":-2981.111108858604,""SOLUSDT"":-3770.7812343239784}",-5.330748178789036
54,lower_tail_q_all_seed_consensus,0.8672917971897695,2,0.9685592185592186,false,"[""fewer_than_thirty_closed_trades"",""fewer_than_thirty_active_days"",""stress_profit_factor_below_1_05"",""single_symbol_absolute_net_pnl_fraction_exceeds_sixty_percent"",""stress_block_bootstrap_lower_not_positive"",""not_all_three_symbols_have_activity""]",-0.0032256348892500952,0.003421677383570687,0.5541696315916192,1,1,-0.01474650071363018,1.0,"{""BTCUSDT"":-96.61907267570496,""ETHUSDT"":0.0,""SOLUSDT"":0.0}",-0.04423950214089055,-0.0033585377824190132,0.003488129228780612,0.5399579444229813,1,1,-0.015357001324130789,1.0,"{""BTCUSDT"":-100.61907267570496,""ETHUSDT"":0.0,""SOLUSDT"":0.0}",-0.046079253946614065
