candidate_id,component,horizon_minutes,seed,state_variable,weight_state_spearman
state_mixture_logistic_tcn,1,15,4802,realized_volatility_60m,0.2702999954678909
state_mixture_logistic_tcn,1,15,4802,liquidity_seasonality,0.11164056225560266
state_mixture_logistic_tcn,1,15,4802,signed_taker_flow_15m,0.24953496429893365
state_mixture_logistic_tcn,2,15,4802,realized_volatility_60m,0.15492688157074824
state_mixture_logistic_tcn,2,15,4802,liquidity_seasonality,0.0764255457447029
state_mixture_logistic_tcn,2,15,4802,signed_taker_flow_15m,0.24713604589794247
state_mixture_logistic_tcn,0,30,4802,realized_volatility_60m,-0.27114311746292
state_mixture_logistic_tcn,0,30,4802,liquidity_seasonality,-0.13133155670926513
state_mixture_logistic_tcn,0,30,4802,signed_taker_flow_15m,-0.3792223270325115
state_mixture_logistic_tcn,1,30,4802,realized_volatility_60m,0.15437741745304326
state_mixture_logistic_tcn,1,30,4802,liquidity_seasonality,-0.0008390728915321792
state_mixture_logistic_tcn,1,30,4802,signed_taker_flow_15m,0.1415409899796277
state_mixture_logistic_tcn,2,30,4802,realized_volatility_60m,0.2416431442128096
state_mixture_logistic_tcn,2,30,4802,liquidity_seasonality,0.13726117266259272
state_mixture_logistic_tcn,2,30,4802,signed_taker_flow_15m,0.3660798294106171
state_mixture_logistic_tcn,0,60,4802,realized_volatility_60m,0.014231795611833561
state_mixture_logistic_tcn,0,60,4802,liquidity_seasonality,-0.12863155665460574
state_mixture_logistic_tcn,0,60,4802,signed_taker_flow_15m,-0.2714474925832196
state_mixture_logistic_tcn,1,60,4802,realized_volatility_60m,-0.0796012860519088
state_mixture_logistic_tcn,1,60,4802,liquidity_seasonality,0.07482106515517542
state_mixture_logistic_tcn,1,60,4802,signed_taker_flow_15m,0.12298097276942155
state_mixture_logistic_tcn,2,60,4802,realized_volatility_60m,0.08380069732936611
state_mixture_logistic_tcn,2,60,4802,liquidity_seasonality,-0.037219315214328426
state_mixture_logistic_tcn,2,60,4802,signed_taker_flow_15m,0.18232346367210867
state_mixture_logistic_tcn,0,120,4802,realized_volatility_60m,0.4431882304656653
state_mixture_logistic_tcn,0,120,4802,liquidity_seasonality,0.02954143708805578
state_mixture_logistic_tcn,0,120,4802,signed_taker_flow_15m,-0.029045690370616786
state_mixture_logistic_tcn,1,120,4802,realized_volatility_60m,-0.3437138136403118
state_mixture_logistic_tcn,1,120,4802,liquidity_seasonality,-0.03113059729947311
state_mixture_logistic_tcn,1,120,4802,signed_taker_flow_15m,-0.06831925992150487
state_mixture_logistic_tcn,2,120,4802,realized_volatility_60m,0.15756311169570864
state_mixture_logistic_tcn,2,120,4802,liquidity_seasonality,0.007229790965205407
state_mixture_logistic_tcn,2,120,4802,signed_taker_flow_15m,0.12204772191811487
state_mixture_logistic_tcn,0,15,4803,realized_volatility_60m,-0.1631521230611425
state_mixture_logistic_tcn,0,15,4803,liquidity_seasonality,-0.13508280986451204
state_mixture_logistic_tcn,0,15,4803,signed_taker_flow_15m,-0.3403962701103263
state_mixture_logistic_tcn,1,15,4803,realized_volatility_60m,0.1465297980084283
state_mixture_logistic_tcn,1,15,4803,liquidity_seasonality,0.1135444843610926
state_mixture_logistic_tcn,1,15,4803,signed_taker_flow_15m,0.27563762621947535
state_mixture_logistic_tcn,2,15,4803,realized_volatility_60m,0.021655985943691444
state_mixture_logistic_tcn,2,15,4803,liquidity_seasonality,0.008758162382545344
state_mixture_logistic_tcn,2,15,4803,signed_taker_flow_15m,0.25412858776561476
state_mixture_logistic_tcn,0,30,4803,realized_volatility_60m,-0.07502395101555365
state_mixture_logistic_tcn,0,30,4803,liquidity_seasonality,-0.2155708800837261
state_mixture_logistic_tcn,0,30,4803,signed_taker_flow_15m,-0.39090332976989184
state_mixture_logistic_tcn,1,30,4803,realized_volatility_60m,-0.0298831995623752
state_mixture_logistic_tcn,1,30,4803,liquidity_seasonality,0.10135211653829758
state_mixture_logistic_tcn,1,30,4803,signed_taker_flow_15m,0.15392839571213737
state_mixture_logistic_tcn,2,30,4803,realized_volatility_60m,0.037761110209122026
state_mixture_logistic_tcn,2,30,4803,liquidity_seasonality,0.002929821688735994
state_mixture_logistic_tcn,2,30,4803,signed_taker_flow_15m,0.262199962399797
state_mixture_logistic_tcn,0,60,4803,realized_volatility_60m,0.16139600864522052
state_mixture_logistic_tcn,0,60,4803,liquidity_seasonality,0.026763871358985284
state_mixture_logistic_tcn,0,60,4803,signed_taker_flow_15m,0.029046829767400827
state_mixture_logistic_tcn,1,60,4803,realized_volatility_60m,0.5333756167166138
state_mixture_logistic_tcn,1,60,4803,liquidity_seasonality,0.013496099300041049
state_mixture_logistic_tcn,1,60,4803,signed_taker_flow_15m,-0.2754219210885624
state_mixture_logistic_tcn,2,60,4803,realized_volatility_60m,-0.54283330477678
state_mixture_logistic_tcn,2,60,4803,liquidity_seasonality,-0.009586374322375671
state_mixture_logistic_tcn,2,60,4803,signed_taker_flow_15m,0.2670229516666194
state_mixture_logistic_tcn,0,120,4803,realized_volatility_60m,-0.22653123056490868
state_mixture_logistic_tcn,0,120,4803,liquidity_seasonality,-0.023080389393275356
state_mixture_logistic_tcn,0,120,4803,signed_taker_flow_15m,-0.262903775715217
state_mixture_logistic_tcn,1,120,4803,realized_volatility_60m,0.1920439384512383
state_mixture_logistic_tcn,1,120,4803,liquidity_seasonality,0.017239803351995743
state_mixture_logistic_tcn,1,120,4803,signed_taker_flow_15m,0.2843527456071112
state_mixture_logistic_tcn,2,120,4803,realized_volatility_60m,0.16952083430515563
state_mixture_logistic_tcn,2,120,4803,liquidity_seasonality,0.0124719204220055
state_mixture_logistic_tcn,2,120,4803,signed_taker_flow_15m,0.06795488043308896
