round,treatment,interval,controller,decision_time_utc,exit_time_utc,symbol,side,size_fraction,score_bps,stop_bps,event,stress_net_payoff_bps,stress_initial_capital_return_fraction
55,baseline_71,policy_development,all_view_consensus,2024-08-22T03:00:00+00:00,2024-08-22T04:01:00+00:00,SOLUSDT,long,0.03836445742824899,2.25053472923188,130.32896423339844,timeout,4.031427383422852,1.546635242264032e-05
55,baseline_71,policy_development,all_view_consensus,2024-08-28T14:00:00+00:00,2024-08-28T15:01:00+00:00,ETHUSDT,long,0.06192657646332751,0.1124082458069311,121.11116790771484,timeout,53.33896255493164,0.0003303099343132537
55,baseline_71,policy_development,all_view_consensus,2024-08-28T14:00:00+00:00,2024-08-28T15:01:00+00:00,SOLUSDT,long,0.06766122090565437,3.2401117580995007,110.84635925292969,timeout,-46.14749526977539,-0.00031223958716909125
55,baseline_71,policy_development,majority_view_consensus,2024-07-03T02:00:00+00:00,2024-07-03T03:01:00+00:00,BTCUSDT,long,0.04314184771736139,3.3807564680048614,115.8967514038086,timeout,-51.773292541503906,-0.00022335955026519638
55,baseline_71,policy_development,majority_view_consensus,2024-07-03T02:00:00+00:00,2024-07-03T03:01:00+00:00,ETHUSDT,long,0.045176070937791565,1.5906831956813292,110.67806243896484,timeout,-49.99565505981445,-0.00022586072595635355
55,baseline_71,policy_development,majority_view_consensus,2024-07-03T02:00:00+00:00,2024-07-03T03:01:00+00:00,SOLUSDT,long,0.032089289073591196,5.218717286290363,155.8152313232422,timeout,-7.637144088745117,-2.4507052436041028e-05
55,baseline_71,policy_development,majority_view_consensus,2024-07-05T04:00:00+00:00,2024-07-05T04:19:00+00:00,BTCUSDT,long,0.021937210759436002,4.29054580476022,227.92323303222656,stop_loss,-243.92323303222656,-0.0005350995372150976
55,baseline_71,policy_development,majority_view_consensus,2024-07-05T04:00:00+00:00,2024-07-05T04:18:00+00:00,ETHUSDT,long,0.02,4.153822084346851,250.0,stop_loss,-266.0,-0.000532
55,baseline_71,policy_development,majority_view_consensus,2024-07-05T04:00:00+00:00,2024-07-05T05:01:00+00:00,SOLUSDT,long,0.02,0.8795718024647754,250.0,timeout,121.41755676269531,0.00024283511352539064
55,baseline_71,policy_development,majority_view_consensus,2024-07-05T05:00:00+00:00,2024-07-05T06:01:00+00:00,BTCUSDT,long,0.02,11.91286738150337,250.0,timeout,152.65109252929688,0.00030530218505859375
55,baseline_71,policy_development,majority_view_consensus,2024-07-05T05:00:00+00:00,2024-07-05T06:01:00+00:00,ETHUSDT,long,0.02,9.373094822492202,250.0,timeout,130.8763427734375,0.000261752685546875
55,baseline_71,policy_development,majority_view_consensus,2024-07-05T05:00:00+00:00,2024-07-05T06:01:00+00:00,SOLUSDT,long,0.02,1.6130618409635848,250.0,timeout,109.33629608154297,0.00021867259216308592
55,baseline_71,policy_development,majority_view_consensus,2024-07-08T11:00:00+00:00,2024-07-08T12:01:00+00:00,BTCUSDT,long,0.04478987897451571,5.818833141388899,111.63236236572266,timeout,54.074195861816406,0.0002421976688295015
55,baseline_71,policy_development,majority_view_consensus,2024-07-08T11:00:00+00:00,2024-07-08T12:01:00+00:00,ETHUSDT,long,0.03720417357073096,10.069586843842718,134.39352416992188,timeout,119.34508514404297,0.00044401352625126397
55,baseline_71,policy_development,majority_view_consensus,2024-07-08T11:00:00+00:00,2024-07-08T12:01:00+00:00,SOLUSDT,long,0.02617802092787695,11.49131244320179,190.9999237060547,timeout,143.4195556640625,0.0003754440129640641
55,baseline_71,policy_development,majority_view_consensus,2024-07-09T15:00:00+00:00,2024-07-09T16:01:00+00:00,BTCUSDT,long,0.027247990390027607,17.91668988862931,183.49977111816406,timeout,64.45342254638672,0.0001756226238148334
55,baseline_71,policy_development,majority_view_consensus,2024-07-09T15:00:00+00:00,2024-07-09T16:01:00+00:00,ETHUSDT,long,0.024685522876484168,17.00101061494954,202.54786682128906,timeout,69.14197540283203,0.00017068058155319157
55,baseline_71,policy_development,majority_view_consensus,2024-07-09T15:00:00+00:00,2024-07-09T16:01:00+00:00,SOLUSDT,long,0.021393337745883343,17.165722155470274,233.71762084960938,timeout,112.3611831665039,0.000240378074100808
55,baseline_71,policy_development,majority_view_consensus,2024-07-16T06:00:00+00:00,2024-07-16T06:56:00+00:00,BTCUSDT,long,0.05956911648172815,1.40969179885899,125.90416717529297,stop_loss,-141.90415954589844,-0.0008453105409231359
55,baseline_71,policy_development,majority_view_consensus,2024-07-16T06:00:00+00:00,2024-07-16T07:01:00+00:00,ETHUSDT,long,0.05512082464126943,1.9956852123093203,136.06472778320312,timeout,-63.801509857177734,-0.0003516791836685717
55,baseline_71,policy_development,majority_view_consensus,2024-07-27T19:00:00+00:00,2024-07-27T20:01:00+00:00,ETHUSDT,long,0.12289294600378059,0.0864752912921477,81.37163543701172,timeout,5.7609076499938965,7.079749127634665e-05
55,baseline_71,policy_development,majority_view_consensus,2024-07-27T20:00:00+00:00,2024-07-27T20:23:00+00:00,BTCUSDT,long,0.06547437551776268,3.2900001405545174,152.73150634765625,stop_loss,-168.73150634765625,-0.0011047590008284203
55,baseline_71,policy_development,majority_view_consensus,2024-07-29T15:00:00+00:00,2024-07-29T16:01:00+00:00,BTCUSDT,long,0.0513151436990021,0.6109299916698098,146.1556854248047,timeout,-31.698949813842773,-0.00016266361648047977
55,baseline_71,policy_development,majority_view_consensus,2024-07-29T15:00:00+00:00,2024-07-29T16:01:00+00:00,SOLUSDT,long,0.04332653124187385,4.04041971239661,173.10409545898438,timeout,-52.09259033203125,-0.00022569912424908877
