round,selection_contaminated,active_days,bootstrap_lower_mean_hourly_bps,closed_trades,maximum_holding_hours,policy_id,stress_maximum_drawdown_fraction,stress_profit_factor,stress_total_net_return_fraction,symbol_net_bps
54,true,50,-0.9493972602197825,106,4,median_q_all_seed_consensus,0.1407272134346006,0.8883745735269093,-0.06945044764810326,"{""BTCUSDT"":-882.7935653924942,""ETHUSDT"":-928.0640061651357,""SOLUSDT"":-71.70825850963593}"
54,true,54,-0.6336249299729146,99,8,median_q_all_seed_consensus,0.12431722758124841,1.0279070636698442,0.010721668178457433,"{""BTCUSDT"":-1409.5915627777576,""ETHUSDT"":371.48904569773003,""SOLUSDT"":1721.9987329244614}"
54,true,61,-1.9357528492245863,88,12,median_q_all_seed_consensus,0.22381935587549184,0.944247731768762,-0.07709843729176591,"{""BTCUSDT"":-1557.22413662076,""ETHUSDT"":-1152.696645390708,""SOLUSDT"":796.165231615305}"
54,true,58,-2.096349660325875,73,24,median_q_all_seed_consensus,0.23889345412602037,0.9907924431762448,-0.03442549387053018,"{""BTCUSDT"":-94.60961062763818,""ETHUSDT"":-443.46470373496413,""SOLUSDT"":95.04651007056236}"
54,true,1,-0.011421098049743708,1,4,lower_tail_q_all_seed_consensus,0.0009035465592474035,0.2639965662252036,-0.000831539904650902,"{""BTCUSDT"":-24.94367814064026,""ETHUSDT"":0.0,""SOLUSDT"":0.0}"
54,true,1,-0.0049895505183200056,1,8,lower_tail_q_all_seed_consensus,0.0028782485689570203,0.9224964453943671,-0.0002793766150909205,"{""BTCUSDT"":-8.172883749008179,""ETHUSDT"":0.0,""SOLUSDT"":0.0}"
54,true,1,-0.015342789582717113,1,12,lower_tail_q_all_seed_consensus,0.0028782485689570203,0.7789764378309032,-0.0011240382641928282,"{""BTCUSDT"":-33.508652448654175,""ETHUSDT"":0.0,""SOLUSDT"":0.0}"
54,true,1,-0.046071003972392374,1,24,lower_tail_q_all_seed_consensus,0.003488129228780612,0.5399579444229813,-0.0033585377824190132,"{""BTCUSDT"":-100.61907267570496,""ETHUSDT"":0.0,""SOLUSDT"":0.0}"
