round,treatment,interval,controller,score_quintile,signals,minimum_score_bps,maximum_score_bps,mean_score_bps,mean_realized_stress_payoff_bps,median_realized_stress_payoff_bps,positive_payoff_fraction,stop_loss_fraction
55,baseline_71,policy_development,all_view_consensus,1,6,0.1124082458069311,1.0414986340768264,0.650687280031781,5.439487139383952,10.820006370544434,0.5,0.16666666666666666
55,baseline_71,policy_development,all_view_consensus,2,6,1.4811601679138104,2.2618042529506495,1.9189109702382126,33.32437674204508,44.42557907104492,0.8333333333333334,0.16666666666666666
55,baseline_71,policy_development,all_view_consensus,3,5,2.3585520405487,3.2401117580995007,2.8550302606872586,10.919482803344726,-7.637144088745117,0.4,0.0
55,baseline_71,policy_development,all_view_consensus,4,5,3.3181432759773815,5.512658630202562,4.6001834997475655,79.07222595214844,64.45342254638672,1.0,0.0
55,baseline_71,policy_development,all_view_consensus,5,5,5.627148358477178,9.12947719272385,6.937938124357933,62.05720691680908,112.3611831665039,0.8,0.0
55,baseline_71,policy_development,majority_view_consensus,1,13,0.0864752912921477,1.8110218836940506,1.153325501798893,27.45805047108577,5.7609076499938965,0.6153846153846154,0.23076923076923078
55,baseline_71,policy_development,majority_view_consensus,2,13,1.9411109167313851,3.2435860904875216,2.7431678638311636,-24.756718232081486,-46.14749526977539,0.38461538461538464,0.15384615384615385
55,baseline_71,policy_development,majority_view_consensus,3,13,3.2900001405545174,4.372554578950032,3.9196972835536052,-89.63285974355844,-52.09259033203125,0.23076923076923078,0.46153846153846156
55,baseline_71,policy_development,majority_view_consensus,4,13,4.461602703887731,6.780424654218785,5.403447540704064,-0.17867374420166016,28.177953720092773,0.5384615384615384,0.07692307692307693
55,baseline_71,policy_development,majority_view_consensus,5,13,7.632128202229136,17.91668988862931,11.816791928637004,83.41106363443228,112.3611831665039,0.7692307692307693,0.0
55,baseline_71,policy_development,pooled_nine_consensus,1,10,0.24303880993652605,1.8178747098573707,0.9285045617794013,-35.59327659606934,-15.28326416015625,0.5,0.2
55,baseline_71,policy_development,pooled_nine_consensus,2,9,2.055505833162664,3.2185890154249663,2.6963094374344596,-44.3482920328776,-22.54509162902832,0.4444444444444444,0.3333333333333333
55,baseline_71,policy_development,pooled_nine_consensus,3,9,3.2435860904875216,4.349114750700914,3.892277440142609,-12.774655024210611,-15.711832046508789,0.4444444444444444,0.1111111111111111
55,baseline_71,policy_development,pooled_nine_consensus,4,9,4.578187173442558,9.058757740290508,6.406380111011179,-8.712222629123264,-7.637144088745117,0.4444444444444444,0.1111111111111111
55,baseline_71,policy_development,pooled_nine_consensus,5,9,9.193482940061504,17.91668988862931,12.900219801340782,127.16554186079237,119.34508514404297,1.0,0.0
55,baseline_71,development_holdout,all_view_consensus,1,2,0.40063696995455844,1.106939562530055,0.7537882662423068,27.285070419311523,27.285070419311523,1.0,0.0
55,baseline_71,development_holdout,all_view_consensus,2,2,4.00843829719873,4.662131295453025,4.335284796325878,150.8519515991211,150.8519515991211,1.0,0.0
55,baseline_71,development_holdout,all_view_consensus,3,1,5.546604891324884,5.546604891324884,5.546604891324884,-192.7844696044922,-192.7844696044922,0.0,1.0
55,baseline_71,development_holdout,all_view_consensus,4,1,6.215744599494912,6.215744599494912,6.215744599494912,-186.85154724121094,-186.85154724121094,0.0,1.0
55,baseline_71,development_holdout,all_view_consensus,5,1,6.8581371359139744,6.8581371359139744,6.8581371359139744,-165.7284393310547,-165.7284393310547,0.0,1.0
55,baseline_71,development_holdout,majority_view_consensus,1,5,0.619219550460956,1.888233763523144,1.436126275583716,13.108785152435303,5.813163757324219,0.6,0.0
55,baseline_71,development_holdout,majority_view_consensus,2,4,1.8884236206640592,3.862007264856923,2.8534244151835284,-30.27748268842697,-19.328959941864014,0.25,0.25
55,baseline_71,development_holdout,majority_view_consensus,3,4,4.1309696381413,4.612391221880715,4.421427915079873,3.1819028854370117,9.745412826538086,0.5,0.0
55,baseline_71,development_holdout,majority_view_consensus,4,4,6.002510523360099,8.302967531274426,7.102209208520536,51.22600534558296,-2.4216970801353455,0.25,0.0
55,baseline_71,development_holdout,majority_view_consensus,5,4,10.824701419665207,12.326474294718272,11.812593743788149,-140.4340581893921,-176.2899932861328,0.0,0.75
55,baseline_71,development_holdout,pooled_nine_consensus,1,4,0.5798343485328888,1.009517506629861,0.7860422728186705,-45.133676648139954,-46.16575646400452,0.25,0.25
55,baseline_71,development_holdout,pooled_nine_consensus,2,4,1.3270297889513383,1.6170523195647608,1.466129624670448,-8.258987098932266,-2.4216970801353455,0.25,0.0
55,baseline_71,development_holdout,pooled_nine_consensus,3,4,1.710834218337678,2.2657734282546134,1.8880996481900636,27.562094688415527,37.00585174560547,0.75,0.0
55,baseline_71,development_holdout,pooled_nine_consensus,4,3,4.15503988361119,7.2470430259920064,6.02466870383008,95.11070887247722,87.25314331054688,0.6666666666666666,0.0
55,baseline_71,development_holdout,pooled_nine_consensus,5,3,12.357636832620976,13.14490567474441,12.715951108117478,-181.78815205891928,-186.85154724121094,0.0,1.0
55,ai_program_augmented,policy_development,all_view_consensus,1,3,0.6118734670170792,1.4607522189748128,0.9097829790860851,76.22395006815593,47.842803955078125,1.0,0.0
55,ai_program_augmented,policy_development,all_view_consensus,2,3,2.00295191919884,2.2968159407241386,2.1594459120675684,56.2430108388265,54.074195861816406,0.6666666666666666,0.0
55,ai_program_augmented,policy_development,all_view_consensus,3,3,2.815950700548521,3.498965067224703,3.1010709681754896,17.216949462890625,55.040443420410156,0.6666666666666666,0.0
55,ai_program_augmented,policy_development,all_view_consensus,4,3,3.6640760890296122,3.9723385369527286,3.8503937994972866,71.85491975148518,64.45342254638672,1.0,0.0
55,ai_program_augmented,policy_development,all_view_consensus,5,2,4.673738771019099,5.8734701984514235,5.273604484735261,115.85313415527344,115.85313415527344,1.0,0.0
55,ai_program_augmented,policy_development,majority_view_consensus,1,8,0.6046352413090732,2.261781192677452,1.0953213256894778,-29.27112340927124,-34.590243339538574,0.375,0.125
55,ai_program_augmented,policy_development,majority_view_consensus,2,8,2.27588062615914,3.072401026279972,2.688062951794938,-9.1366548538208,0.3680000305175781,0.5,0.25
55,ai_program_augmented,policy_development,majority_view_consensus,3,8,3.0780155851527873,3.9208955146909945,3.4473995800048653,-33.1099591255188,-30.92966365814209,0.25,0.125
55,ai_program_augmented,policy_development,majority_view_consensus,4,8,4.258559948175757,6.9281571046140895,5.234297133143688,54.16584932804108,53.70657920837402,0.75,0.125
55,ai_program_augmented,policy_development,majority_view_consensus,5,7,7.7897286817279,18.4878662082317,11.76334023995987,85.76742880684989,112.3611831665039,0.8571428571428571,0.0
55,ai_program_augmented,policy_development,pooled_nine_consensus,1,6,0.1652009447344388,1.111374677450575,0.6838742031464754,-36.085385958353676,4.852778434753418,0.5,0.3333333333333333
55,ai_program_augmented,policy_development,pooled_nine_consensus,2,6,1.2910502834893816,2.6005597604963357,1.8501872852894958,53.0704657236735,10.270404815673828,0.5,0.0
55,ai_program_augmented,policy_development,pooled_nine_consensus,3,6,3.1209230176891145,4.386546952705347,3.49892231989037,17.8591152826945,51.44162368774414,0.6666666666666666,0.16666666666666666
55,ai_program_augmented,policy_development,pooled_nine_consensus,4,5,4.837355385637939,7.7897286817279,6.355286534233765,52.24611682891846,54.074195861816406,0.8,0.0
55,ai_program_augmented,policy_development,pooled_nine_consensus,5,5,8.546138291364084,18.4878662082317,12.773720575787515,104.05049591064453,112.3611831665039,1.0,0.0
55,ai_program_augmented,development_holdout,all_view_consensus,1,1,2.5741972489528373,2.5741972489528373,2.5741972489528373,87.25314331054688,87.25314331054688,1.0,0.0
55,ai_program_augmented,development_holdout,all_view_consensus,2,1,3.0319750141946606,3.0319750141946606,3.0319750141946606,214.4507598876953,214.4507598876953,1.0,0.0
55,ai_program_augmented,development_holdout,all_view_consensus,3,1,3.855253553615382,3.855253553615382,3.855253553615382,-186.85154724121094,-186.85154724121094,0.0,1.0
55,ai_program_augmented,development_holdout,all_view_consensus,4,1,4.95478945147395,4.95478945147395,4.95478945147395,-165.7284393310547,-165.7284393310547,0.0,1.0
55,ai_program_augmented,development_holdout,all_view_consensus,5,1,5.787322189482626,5.787322189482626,5.787322189482626,-192.7844696044922,-192.7844696044922,0.0,1.0
55,ai_program_augmented,development_holdout,majority_view_consensus,1,3,0.2189177380554035,2.218597961673213,0.9767132140164354,25.422412753105164,34.91492462158203,0.6666666666666666,0.0
