architecture,augmented_viability_gate_passed,both_action_thresholds_selected,horizon_minutes,price_flow_viability_gate_passed,viability_brier_delta_augmented_minus_price,viability_log_loss_delta_augmented_minus_price,viability_mean_net_bps_delta
shared_direct_multiclass_lightgbm,False,True,15,False,0.0003134240017185208,0.0005658864974975586,2.8202781586418215
shared_direct_multiclass_lightgbm,False,True,30,False,0.0007551236429170771,0.001219034194946289,-0.7604037515354296
shared_direct_multiclass_lightgbm,False,True,60,False,0.0005815502135725348,0.0007554292678833008,-0.3532776204616521
shared_direct_multiclass_lightgbm,False,True,120,False,0.0006161693819251024,0.0006954669952392578,2.278915006167363
per_symbol_direct_multiclass_lightgbm,False,True,15,False,-2.5680445037701283e-05,6.23464584350586e-05,5.54783172910131
per_symbol_direct_multiclass_lightgbm,False,True,30,False,0.00056494427241216,0.0009881258010864258,3.1574657096390037
per_symbol_direct_multiclass_lightgbm,False,True,60,False,0.0006189388863928613,0.0008946657180786133,-0.5117946092993773
per_symbol_direct_multiclass_lightgbm,False,True,120,False,0.0002587649495569,0.0006281733512878418,-2.100697483254754
shared_two_stage_hurdle_lightgbm,False,True,15,False,0.00041403584672472515,0.0006929636001586914,1.9419247052160422
shared_two_stage_hurdle_lightgbm,False,True,30,False,0.0005532586181902222,0.0008453130722045898,-0.21393514079709952
shared_two_stage_hurdle_lightgbm,False,True,60,False,0.0006996639587899534,0.001028299331665039,-0.15992805307519298
shared_two_stage_hurdle_lightgbm,False,True,120,False,0.0008624744802178119,0.0012515783309936523,-10.618000602537085
per_symbol_two_stage_hurdle_lightgbm,False,True,15,False,0.00020515973518786534,0.0003529787063598633,1.7136844980934818
per_symbol_two_stage_hurdle_lightgbm,False,True,30,False,0.0005760285518745523,0.0008962154388427734,0.22342393069599886
per_symbol_two_stage_hurdle_lightgbm,False,True,60,False,0.0007309269941245811,0.0009601116180419922,0.35803395288028206
per_symbol_two_stage_hurdle_lightgbm,False,True,120,False,0.0009843338784465416,0.0014576911926269531,-2.8082218822638314
