conditional_gain_mean_bps,conditional_loss_mean_bps,direct_mean_net_bps,horizon_minutes,hurdle_identity_mean_net_bps,identity_absolute_error_bps,profit_prevalence,role,rows,side,symbol
20.16350899746044,21.318748682429845,-12.05321834412066,15,-12.053218344120662,1.7763568394002505e-15,0.22336128399300978,training,260936,short,BTCUSDT
19.61173007359068,21.310154806913527,-11.94678165491264,15,-11.946781654912638,1.7763568394002505e-15,0.228810896158445,training,260936,long,BTCUSDT
27.247293472526014,27.318001014932044,-12.105815219240288,30,-12.105815219240288,0.0,0.27878866848575895,training,260936,short,BTCUSDT
26.561503185495848,27.332804693042096,-11.894184781243975,30,-11.894184781243975,0.0,0.28646104791979643,training,260936,long,BTCUSDT
24.29380377645003,25.00249491720696,-12.041378520170785,15,-12.041378520170783,1.7763568394002505e-15,0.2629227090167704,training,260936,short,ETHUSDT
23.771388008938228,25.03732830867419,-11.958621480457845,15,-11.958621480457847,1.7763568394002505e-15,0.2679584265873624,training,260936,long,ETHUSDT
33.34877736812823,32.87680994030766,-12.081951160647566,30,-12.081951160647565,1.7763568394002505e-15,0.31400036790630653,training,260936,short,ETHUSDT
32.70980429041211,32.965095375946206,-11.918048840397713,30,-11.91804884039771,3.552713678800501e-15,0.3204732194867707,training,260936,long,ETHUSDT
36.683991756478676,40.29788222959127,-12.209127744431184,15,-12.209127744431177,7.105427357601002e-15,0.36487491185578075,training,260936,short,SOLUSDT
37.28217778747576,39.94571600692981,-11.790872256860796,15,-11.790872256860796,0.0,0.364568323267008,training,260936,long,SOLUSDT
51.62114503112482,55.25897532541775,-12.411653567834097,30,-12.411653567834094,3.552713678800501e-15,0.4008914063218567,training,260936,short,SOLUSDT
52.75306553129518,54.53031426983078,-11.588346431169963,30,-11.588346431169956,7.105427357601002e-15,0.4002667320722323,training,260936,long,SOLUSDT
19.3001584616944,22.86252497207219,-12.034927557624336,15,-12.034927557624336,0.0,0.25680522520481747,early_stop,26487,short,BTCUSDT
18.749764268650424,22.9319592604494,-11.965072437694966,15,-11.965072437694968,1.7763568394002505e-15,0.26311020500622945,early_stop,26487,long,BTCUSDT
26.892092653591018,29.311203682545333,-12.072725204998925,30,-12.072725204998928,3.552713678800501e-15,0.30671650243515686,early_stop,26487,short,BTCUSDT
25.722316683750016,29.6852135685023,-11.927274794334975,30,-11.927274794334974,1.7763568394002505e-15,0.32049684751009927,early_stop,26487,long,BTCUSDT
22.638478352242156,25.586582851020783,-11.72007980711054,15,-11.720079807110542,1.7763568394002505e-15,0.28753728244044247,early_stop,26487,short,ETHUSDT
21.314270113732032,26.008461295699323,-12.279920194401685,15,-12.279920194401686,1.7763568394002505e-15,0.2901045796050893,early_stop,26487,long,ETHUSDT
31.692183389772033,33.24807733854236,-11.449313487013564,30,-11.449313487013562,1.7763568394002505e-15,0.3356741042775701,early_stop,26487,short,ETHUSDT
29.432080589824253,34.157874946263746,-12.550686520817605,30,-12.550686520817603,1.7763568394002505e-15,0.3397893306150187,early_stop,26487,long,ETHUSDT
29.47897186131249,34.550453511517865,-12.126738113081865,15,-12.12673811308186,5.329070518200751e-15,0.3502095367538793,early_stop,26487,short,SOLUSDT
29.641190588877482,34.38543702621211,-11.87326188446977,15,-11.873261884469771,1.7763568394002505e-15,0.35160644844640765,early_stop,26487,long,SOLUSDT
41.56884127973451,46.189931213393464,-12.258659680108321,30,-12.258659680108327,5.329070518200751e-15,0.3866425038698229,early_stop,26487,short,SOLUSDT
