candidate_id,scenario,active_days,closed_trades,execution_charge_bps,maximum_drawdown_fraction,mean_net_payoff_bps,profit_factor,single_symbol_positive_pnl_share,symbols_with_positive_net_pnl,total_return_fraction,win_rate,bootstrap_lower_return_fraction,bootstrap_median_return_fraction,symbol_closed_trades,symbol_net_return_fraction
direct_barrier_mean_tcn,base,40,90,12.0,0.0737793962380691,-14.342341962291135,0.7369952456809801,1.0,1,-0.0430270258868734,0.34444444444444444,-0.13283382080820075,-0.04244385404512285,"{""BTCUSDT"":12,""ETHUSDT"":28,""SOLUSDT"":50}","{""BTCUSDT"":-0.009758993673324584,""ETHUSDT"":-0.035577447045346114,""SOLUSDT"":0.0023094148317972943}"
direct_barrier_mean_tcn,stress,40,90,16.0,0.08211424124311321,-18.342341962291133,0.6791319590721254,1.0,0,-0.0550270258868734,0.3333333333333333,-0.14708832458769902,-0.05284093654155731,"{""BTCUSDT"":12,""ETHUSDT"":28,""SOLUSDT"":50}","{""BTCUSDT"":-0.011358993673324585,""ETHUSDT"":-0.03931078037867945,""SOLUSDT"":-0.0043572518348694}"
competing_risk_barrier_tcn,base,108,610,12.0,0.37412205395423015,-17.570405013297425,0.6839400438906108,1.0,0,-0.35726490193704763,0.34098360655737703,-0.7690459361184138,-0.35188376215746,"{""BTCUSDT"":60,""ETHUSDT"":196,""SOLUSDT"":354}","{""BTCUSDT"":-0.033746826895078,""ETHUSDT"":-0.030557570786277563,""SOLUSDT"":-0.29296050425569065}"
competing_risk_barrier_tcn,stress,106,610,16.0,0.44836534680852946,-21.570405013297425,0.6296290591229919,1.0,0,-0.438598235270381,0.3344262295081967,-0.8818129616002988,-0.41291835157672563,"{""BTCUSDT"":60,""ETHUSDT"":196,""SOLUSDT"":354}","{""BTCUSDT"":-0.04174682689507805,""ETHUSDT"":-0.056690904119610856,""SOLUSDT"":-0.34016050425569083}"
