round,symbol,candidate,seed,role,side,actual_mean_net_bps,actual_sha256,executable_ratio,executable_rows,expected_payoff_mse_bps2,expected_payoff_mse_skill,expected_payoff_spearman,predicted_mean_net_bps,prediction_sha256,rejected_rows,role_rows,training_mean_baseline_mse_bps2,magnitude_floor_count,predicted_profitable_probability_mean,probability_brier_score,probability_brier_skill,probability_log_loss,probability_log_loss_skill,profitable_event_rate,training_prevalence_brier_score,training_prevalence_log_loss
52,BTCUSDT,executable_hurdle_lightgbm,5201,policy_calibration,long,-12.670247653843706,f2334b23af1a0fcb002087f5ff4864c55aa78ceb3b4a95a4c3d9cae2ba45b38d,0.9116243891086805,15669,159.9225984709839,-0.01914963912734713,0.08968158531197724,-11.135414192226035,dbbc9efc35f0bcc078b983c5e3debad5f88f8c81b1bb3b2da3fdce164f1b81c2,1519,17188,156.91768149760478,0,0.12992313988311693,0.09750598624807127,0.0881042642577824,0.33589134726907993,0.12585727329485286,0.11755695960176143,0.10692668298169901,0.3842522931411152
52,BTCUSDT,executable_hurdle_lightgbm,5201,policy_calibration,short,-11.918890697168925,d7a4cd551c30a2d618ba11180aaaf0ce57a66a931ff34cef3568859ff0b9cdaf,0.9124970909937166,15684,160.16415301831498,-0.00571211377444425,0.05160259524082319,-12.461089205747827,98040101e9ec7eb791c721a85c8acc5b1f5371879faf77e12ecdeffcfcd19e6b,1504,17188,159.25447334746505,0,0.096627434798705,0.10337828050211992,0.08809202286597329,0.35302244990688486,0.12533288516599939,0.12503187962254528,0.1133648165103462,0.40360777708429507
52,BTCUSDT,executable_hurdle_lightgbm,5201,evaluation,long,-12.459302139155852,de03345dcd5ebaa558dd2daea6f3839faf0c6c2f950244d2a0f4a20296d0c978,0.9156514316753317,47200,116.82892279152502,-0.028948206881200145,0.032068405096644235,-11.65181509375662,a4b88032625746ffb30d2df757cbd20f411af8c9c2592f870abf17c553e9bf16,4348,51548,113.54208308078017,0,0.08963839950655508,0.06892989343205508,0.030943655040363005,0.2574571065015887,0.05634000046589316,0.07677966101694915,0.07113094485225845,0.2728282502476501
52,BTCUSDT,executable_hurdle_lightgbm,5201,evaluation,short,-12.037685630849946,a753ebc48f6a0b86201eebd977266fa05b1782f9b65db97d2a5484fbedba2efe,0.9154574377279429,47190,117.29698404591245,-0.002027811413156666,0.04637132445038467,-12.863093056072282,7e285c62a5bf2af224f749230811627c973eefedd7c51c6fcfe7989c03e4e9fd,4358,51548,117.0596092342875,0,0.06381371405850589,0.06999476362032797,0.06412377162374838,0.25790652253410645,0.09191152890078158,0.08099173553719008,0.07479062027440223,0.2840103478264811
52,BTCUSDT,executable_hurdle_lightgbm,5202,policy_calibration,long,-12.670247653843706,f2334b23af1a0fcb002087f5ff4864c55aa78ceb3b4a95a4c3d9cae2ba45b38d,0.9116243891086805,15669,160.17427440303894,-0.020753511486746534,0.09727071711187413,-11.124770594800987,3705baa4987c771d7cf3d5f0ac894f8a16c3dd98d4c2d19aa09dfc3d813c4505,1519,17188,156.91768149760478,0,0.13101945861730113,0.09780986473499768,0.08526233108962811,0.3354379730289313,0.127037160177095,0.11755695960176143,0.10692668298169901,0.3842522931411152
52,BTCUSDT,executable_hurdle_lightgbm,5202,policy_calibration,short,-11.918890697168925,d7a4cd551c30a2d618ba11180aaaf0ce57a66a931ff34cef3568859ff0b9cdaf,0.9124970909937166,15684,160.37699464263665,-0.007048601345862604,0.06606693012319778,-12.661418988648586,5ab6ffed447041bfb0c3ae65dd058801df20f824ac6f93ee92163a0421214789,1504,17188,159.25447334746505,0,0.09632131426174712,0.10317009944949138,0.0899284043733658,0.3545740635238781,0.12148852510881147,0.12503187962254528,0.1133648165103462,0.40360777708429507
52,BTCUSDT,executable_hurdle_lightgbm,5202,evaluation,long,-12.459302139155852,de03345dcd5ebaa558dd2daea6f3839faf0c6c2f950244d2a0f4a20296d0c978,0.9156514316753317,47200,116.15618550203182,-0.02302320294222393,0.056049091968499,-11.505842687444854,299f8edc75c793e1e4577555779975aaa2475361f212df0741b16ddd463a4a24,4348,51548,113.54208308078017,0,0.09282581298150248,0.0685820454564198,0.03583390324889968,0.2565332787348898,0.05972611523172233,0.07677966101694915,0.07113094485225845,0.2728282502476501
52,BTCUSDT,executable_hurdle_lightgbm,5202,evaluation,short,-12.037685630849946,a753ebc48f6a0b86201eebd977266fa05b1782f9b65db97d2a5484fbedba2efe,0.9154574377279429,47190,117.77492815798553,-0.006110723659314088,0.04569155181770351,-12.919966652902714,ee211006c31f0ca4212b0912428016428c9bf8bd445223ea9d8929c088f4a9a5,4358,51548,117.0596092342875,0,0.0662541187245216,0.06995188402966512,0.06469710007731011,0.2573812182071745,0.09376112463189512,0.08099173553719008,0.07479062027440223,0.2840103478264811
52,BTCUSDT,executable_hurdle_lightgbm,5203,policy_calibration,long,-12.670247653843706,f2334b23af1a0fcb002087f5ff4864c55aa78ceb3b4a95a4c3d9cae2ba45b38d,0.9116243891086805,15669,161.05228006936412,-0.02634883801684551,0.0851778059882632,-11.130490835351162,8425c5a13dfe6d73e0e17c6416a3003131f19b2401114e58232c6dce632c3ad0,1519,17188,156.91768149760478,0,0.13112810362994012,0.09872447160737972,0.07670874234191971,0.33910746728123453,0.11748745984269615,0.11755695960176143,0.10692668298169901,0.3842522931411152
52,BTCUSDT,executable_hurdle_lightgbm,5203,policy_calibration,short,-11.918890697168925,d7a4cd551c30a2d618ba11180aaaf0ce57a66a931ff34cef3568859ff0b9cdaf,0.9124970909937166,15684,161.16519493766936,-0.011997914721274094,0.04245005876857116,-12.635891986263704,353d2310769a4662bc133358556ef260fe0b7e8275703645b0f0afda8bdf60e7,1504,17188,159.25447334746505,0,0.092652740238204,0.1040105673491519,0.0825145706502387,0.3562732436847429,0.11727854636870927,0.12503187962254528,0.1133648165103462,0.40360777708429507
52,BTCUSDT,executable_hurdle_lightgbm,5203,evaluation,long,-12.459302139155852,de03345dcd5ebaa558dd2daea6f3839faf0c6c2f950244d2a0f4a20296d0c978,0.9156514316753317,47200,116.34079577971524,-0.024649122360595577,0.03882900059733243,-11.619030415834326,af4d4c55d691f8e337c9b40209382bd88383c7e8f81b91c50d3fa174e98fc9fb,4348,51548,113.54208308078017,0,0.09189032418456893,0.06899997692642948,0.029958380705543353,0.2587628687247625,0.05155397767687275,0.07677966101694915,0.07113094485225845,0.2728282502476501
52,BTCUSDT,executable_hurdle_lightgbm,5203,evaluation,short,-12.037685630849946,a753ebc48f6a0b86201eebd977266fa05b1782f9b65db97d2a5484fbedba2efe,0.9154574377279429,47190,117.62473398329406,-0.004827666457313251,0.0520522416655539,-12.952920662635243,c660697e613c600d513bf2921a41a2e79242539974d1667156cc0796fd7899d9,4358,51548,117.0596092342875,0,0.06595891102185689,0.06992384970865578,0.06507193746877027,0.2571491915012509,0.09457809030831976,0.08099173553719008,0.07479062027440223,0.2840103478264811
52,BTCUSDT,executable_hurdle_lightgbm_fincast,5201,policy_calibration,long,-12.670247653843706,f2334b23af1a0fcb002087f5ff4864c55aa78ceb3b4a95a4c3d9cae2ba45b38d,0.9116243891086805,15669,160.03652626740842,-0.019875674557753742,0.09309864141760518,-11.135578754889927,7b3047821a6def179737edd803ae6cf83693dfe4f233f8e0487a34ed44625221,1519,17188,156.91768149760478,0,0.13049705760101393,0.09752217576605084,0.08795285660603347,0.3346009091907345,0.12921558266965616,0.11755695960176143,0.10692668298169901,0.3842522931411152
52,BTCUSDT,executable_hurdle_lightgbm_fincast,5201,policy_calibration,short,-11.918890697168925,d7a4cd551c30a2d618ba11180aaaf0ce57a66a931ff34cef3568859ff0b9cdaf,0.9124970909937166,15684,161.1926862511148,-0.012170539783965095,0.05130488545555776,-12.68664837362479,97135f44c3a9b09a63ced26ee2332b57f802e39a731e4cd984652994d54ff9c1,1504,17188,159.25447334746505,0,0.09638271847367716,0.10341176905524951,0.08779661769388858,0.353475055576148,0.1242114853938423,0.12503187962254528,0.1133648165103462,0.40360777708429507
52,BTCUSDT,executable_hurdle_lightgbm_fincast,5201,evaluation,long,-12.459302139155852,de03345dcd5ebaa558dd2daea6f3839faf0c6c2f950244d2a0f4a20296d0c978,0.9156514316753317,47200,115.71017336208345,-0.019095037033632467,0.038383140790334426,-11.562963867964504,ddb49eb6ea47d6588f079ebf452972e111f9447387278a060c96eea3bd3af413,4348,51548,113.54208308078017,0,0.09316114577791243,0.0686407600380599,0.03500845967069255,0.25729522358028584,0.05693335148858203,0.07677966101694915,0.07113094485225845,0.2728282502476501
52,BTCUSDT,executable_hurdle_lightgbm_fincast,5201,evaluation,short,-12.037685630849946,a753ebc48f6a0b86201eebd977266fa05b1782f9b65db97d2a5484fbedba2efe,0.9154574377279429,47190,117.76831973211532,-0.0060542701488894846,0.051951590092432436,-13.000272381970857,08f8f7f9ecf00525518fda1b36ba179486dd2fd8b1b4f12acea0ed9df1099f30,4358,51548,117.0596092342875,0,0.06580154297924616,0.06962336198370805,0.06908965685450685,0.25518445081596564,0.10149593925404055,0.08099173553719008,0.07479062027440223,0.2840103478264811
52,BTCUSDT,executable_hurdle_lightgbm_fincast,5202,policy_calibration,long,-12.670247653843706,f2334b23af1a0fcb002087f5ff4864c55aa78ceb3b4a95a4c3d9cae2ba45b38d,0.9116243891086805,15669,160.4211749907348,-0.022326951683794283,0.07080547381875585,-11.233679357168773,ca33165f7f5faf9c29b0f306bee2316d08048bbf9cace9bb8433580223a13953,1519,17188,156.91768149760478,0,0.12762045924768997,0.09739017435011038,0.0891873605881971,0.3356207368220973,0.12656152529754228,0.11755695960176143,0.10692668298169901,0.3842522931411152
52,BTCUSDT,executable_hurdle_lightgbm_fincast,5202,policy_calibration,short,-11.918890697168925,d7a4cd551c30a2d618ba11180aaaf0ce57a66a931ff34cef3568859ff0b9cdaf,0.9124970909937166,15684,160.23705452283494,-0.006169881163878399,0.06061829306405727,-12.68394831787996,b88b28c5c89c5dfb5bfde30f5775297f80e15a51fdd00f484afab001c43ecbf1,1504,17188,159.25447334746505,0,0.09676731141290908,0.10282972132598531,0.09293090668390414,0.35155670151779495,0.12896450098787138,0.12503187962254528,0.1133648165103462,0.40360777708429507
