record_type,symbol,horizon_seconds,feature_layer,head,metric,model_value,baseline_value,relative_improvement,q_value,passed,evaluation_report_sha256
layer_vs_uninformed_control,ETHUSDT,30,perpetual_only,continuous_return_bps,mean_absolute_error,4.297460908779215,4.298575997046631,0.0002594087595944039,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,30,spot_perpetual,binary_direction,log_loss,0.6926588358553616,0.6931528058115437,0.0007126422226680251,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,30,spot_perpetual,binary_direction,brier_score,0.24975612846451725,0.25000281230024124,0.0009867242430366433,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,30,spot_perpetual,continuous_return_bps,mean_squared_error,52.49149991056978,52.48907985006431,-4.610598075616146e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,30,spot_perpetual,continuous_return_bps,mean_absolute_error,4.297908978749898,4.298575997046631,0.00015517192139702374,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,60,perpetual_only,binary_direction,log_loss,0.6927500194748619,0.693148177627403,0.0005744199658779162,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,60,perpetual_only,binary_direction,brier_score,0.24980131371550915,0.25000049854440337,0.0007967377267403502,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,60,perpetual_only,continuous_return_bps,mean_squared_error,105.0363925564552,105.03074339605325,-5.378577947068308e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,60,perpetual_only,continuous_return_bps,mean_absolute_error,6.142178526728159,6.145072930813531,0.0004710121617691465,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,60,spot_perpetual,binary_direction,log_loss,0.692799215019763,0.693148177627403,0.0005034458993088906,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
