round,baseline_mean_loss,blocks,challenger_mean_loss,degenerate_baseline,family_index,head,horizon_seconds,mean_loss_difference,metric,one_sided_p_value,passed,permutation_draws,q_value,relative_improvement,rows,seed,symbol,evaluation_report_sha256
72,6.142178526728159,36,6.142989387642215,false,19,continuous_return_bps,60,0.0008108609140560219,mean_absolute_error,0.9814018598140186,false,10000,0.9814018598140186,-0.00013201519795093852,92982,20260741,ETHUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,0.6930578748878403,36,0.6931336717814899,false,20,binary_direction,300,7.57968936495601e-05,log_loss,0.6728327167283271,false,10000,0.9695030496950304,-0.00010936589337770175,92919,20260742,ETHUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,0.24995370573692033,36,0.24999207238600477,false,21,binary_direction,300,3.836664908443699e-05,brier_score,0.6818318168183182,false,10000,0.9695030496950304,-0.0001534950200931144,92919,20260743,ETHUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,528.5798509183285,36,528.6029885515748,false,22,continuous_return_bps,300,0.02313763324627871,mean_squared_error,0.7796220377962204,false,10000,0.9814018598140186,-4.377320324654928e-05,92919,20260744,ETHUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,13.81001949366492,36,13.811351296698119,false,23,continuous_return_bps,300,0.0013318030331994635,mean_absolute_error,0.9639036096390361,false,10000,0.9814018598140186,-9.643744773933176e-05,92919,20260745,ETHUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,0.6932084186521906,36,0.6932427221350453,false,24,binary_direction,30,3.430348285471396e-05,log_loss,0.7271272872712728,false,10000,0.9695030496950304,-4.94850926960905e-05,77312,20260746,SOLUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,0.2500305410086633,36,0.25004759326616116,false,25,binary_direction,30,1.7052257497873757e-05,brier_score,0.72002799720028,false,10000,0.9695030496950304,-6.820069831902221e-05,77312,20260747,SOLUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,114.28763205766127,36,114.2897948551802,false,26,continuous_return_bps,30,0.002162797518934667,mean_squared_error,0.5685431456854314,false,10000,0.9695030496950304,-1.8924160733713303e-05,77312,20260748,SOLUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,6.710915756449,36,6.710881377791787,false,27,continuous_return_bps,30,-3.43786572134519e-05,mean_absolute_error,0.47055294470552944,false,10000,0.9695030496950304,5.122796718229548e-06,77312,20260749,SOLUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,0.6933127221963752,36,0.6931639592418269,false,28,binary_direction,60,-0.00014876295454824273,log_loss,0.09829017098290171,false,10000,0.9695030496950304,0.00021456833227720122,77295,20260750,SOLUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,0.25008252767394046,36,0.2500083985584732,false,29,binary_direction,60,-7.412911546728074e-05,brier_score,0.09879012098790121,false,10000,0.9695030496950304,0.00029641861091523697,77295,20260751,SOLUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,231.23600474512943,36,231.24165632410197,false,30,continuous_return_bps,60,0.005651578972532434,mean_squared_error,0.6191380861913809,false,10000,0.9695030496950304,-2.4440739575835774e-05,77295,20260752,SOLUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,9.563943327261228,36,9.563598779614958,false,31,continuous_return_bps,60,-0.0003445476462697883,mean_absolute_error,0.2770722927707229,false,10000,0.9695030496950304,3.602568882729405e-05,77295,20260753,SOLUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,0.6932232900028282,36,0.6932918524607117,false,32,binary_direction,300,6.856245788344761e-05,log_loss,0.6074392560743925,false,10000,0.9695030496950304,-9.89038580673882e-05,77188,20260754,SOLUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,0.2500374904789287,36,0.2500713269481789,false,33,binary_direction,300,3.383646925020356e-05,brier_score,0.6003399660033997,false,10000,0.9695030496950304,-0.0001353255833170948,77188,20260755,SOLUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,1187.5146570947754,36,1187.5634449868307,false,34,continuous_return_bps,300,0.04878789205531575,mean_squared_error,0.5537446255374463,false,10000,0.9695030496950304,-4.108403358546672e-05,77188,20260756,SOLUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
72,21.56321122535433,36,21.56248085626529,false,35,continuous_return_bps,300,-0.0007303690890410053,mean_absolute_error,0.41275872412758724,false,10000,0.9695030496950304,3.387107242089374e-05,77188,20260757,SOLUSDT,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
