role,horizon_hours,rows,short_profitable_fraction,long_profitable_fraction,no_trade_fraction,mean_signed_utility_bps,finite
training,1,59040,0.37877708673477173,0.382909893989563,0.2383130081300813,0.4675295948982239,True
training,4,59040,0.4297764301300049,0.4382621943950653,0.13196138211382114,1.8598836660385132,True
training,12,59040,0.4645494520664215,0.45865514874458313,0.07679539295392954,5.60185432434082,True
training,24,59040,0.4727134108543396,0.47628727555274963,0.05099932249322493,11.214071273803711,True
early_stop,1,6480,0.3916666805744171,0.3740740716457367,0.23425925925925925,-0.7611437439918518,True
early_stop,4,6480,0.447376549243927,0.4285493791103363,0.12407407407407407,-3.027116298675537,True
early_stop,12,6480,0.46759259700775146,0.4601851999759674,0.07222222222222222,-8.317377090454102,True
early_stop,24,6480,0.4868827164173126,0.46759259700775146,0.04552469135802469,-14.326679229736328,True
calibration,1,6552,0.3876678943634033,0.39636752009391785,0.21596459096459097,0.043817877769470215,True
calibration,4,6552,0.43315017223358154,0.45772284269332886,0.10912698412698413,-0.10595986247062683,True
calibration,12,6552,0.45863857865333557,0.4888583719730377,0.052503052503052504,-0.6913031339645386,True
calibration,24,6552,0.4613858461380005,0.5009157657623291,0.037698412698412696,-1.7533434629440308,True
evaluation,1,19584,0.38842934370040894,0.40696486830711365,0.20460580065359477,0.4907403588294983,True
evaluation,4,19584,0.4374489486217499,0.4583333432674408,0.10421772875816994,1.938344120979309,True
evaluation,12,19584,0.45904821157455444,0.48366013169288635,0.057291666666666664,5.557674407958984,True
evaluation,24,19584,0.4661458432674408,0.4910641312599182,0.04279003267973856,11.861479759216309,True
