base_net_payoff_bps,candidate_id,decision_index,decision_time_ms,entry_time_ms,event_code,event_name,exit_time_ms,holding_minutes,mean_seed_expected_payoff_bps,side,side_name,stop_bps,stress_net_payoff_bps,symbol,symbol_index,take_profit_bps,trade_id,worst_seed_expected_payoff_bps,decision_time_utc,entry_time_utc,exit_time_utc
-92.0,direct_barrier_mean_tcn,319489,1737357000000,1737357060000,0,stop_loss,1737359940000,48,8.193028767903646,1,long,80.0,-96.0,BTCUSDT,0,160.0,direct_barrier_mean_tcn:BTCUSDT:1737357000000:1,5.8880615234375,2025-01-20T07:10:00+00:00,2025-01-20T07:11:00+00:00,2025-01-20T07:59:00+00:00
-92.0,direct_barrier_mean_tcn,320165,1737559800000,1737559860000,0,stop_loss,1737561180000,22,0.4621632893880208,-1,short,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1737559800000:-1,0.13031005859375,2025-01-22T15:30:00+00:00,2025-01-22T15:31:00+00:00,2025-01-22T15:53:00+00:00
148.0,direct_barrier_mean_tcn,320216,1737575100000,1737575160000,2,take_profit,1737575700000,9,2.899297078450521,1,long,80.0,144.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1737575100000:1,1.2418365478515625,2025-01-22T19:45:00+00:00,2025-01-22T19:46:00+00:00,2025-01-22T19:55:00+00:00
-92.0,direct_barrier_mean_tcn,320514,1737664500000,1737664560000,0,stop_loss,1737665400000,14,1.4772542317708333,1,long,80.0,-96.0,BTCUSDT,0,160.0,direct_barrier_mean_tcn:BTCUSDT:1737664500000:1,0.9520721435546875,2025-01-23T20:35:00+00:00,2025-01-23T20:36:00+00:00,2025-01-23T20:50:00+00:00
-68.01561737060547,direct_barrier_mean_tcn,320745,1737733800000,1737733860000,1,timeout,1737737460000,60,2.665125528971354,-1,short,80.0,-72.01561737060547,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1737733800000:-1,0.8493804931640625,2025-01-24T15:50:00+00:00,2025-01-24T15:51:00+00:00,2025-01-24T16:51:00+00:00
148.0,direct_barrier_mean_tcn,321757,1738037400000,1738037460000,2,take_profit,1738039020000,26,2.588958740234375,1,long,80.0,144.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1738037400000:1,1.1460113525390625,2025-01-28T04:10:00+00:00,2025-01-28T04:11:00+00:00,2025-01-28T04:37:00+00:00
148.0,direct_barrier_mean_tcn,323371,1738521600000,1738521660000,2,take_profit,1738522800000,19,4.1910044352213545,-1,short,80.0,144.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1738521600000:-1,1.546478271484375,2025-02-02T18:40:00+00:00,2025-02-02T18:41:00+00:00,2025-02-02T19:00:00+00:00
-92.0,direct_barrier_mean_tcn,323378,1738523700000,1738523760000,0,stop_loss,1738524660000,15,3.529790242513021,-1,short,80.0,-96.0,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1738523700000:-1,2.5490570068359375,2025-02-02T19:15:00+00:00,2025-02-02T19:16:00+00:00,2025-02-02T19:31:00+00:00
-92.0,direct_barrier_mean_tcn,323378,1738523700000,1738523760000,0,stop_loss,1738525140000,23,1.6765340169270833,-1,short,80.0,-96.0,BTCUSDT,0,160.0,direct_barrier_mean_tcn:BTCUSDT:1738523700000:-1,0.1059722900390625,2025-02-02T19:15:00+00:00,2025-02-02T19:16:00+00:00,2025-02-02T19:39:00+00:00
-92.0,direct_barrier_mean_tcn,323444,1738543500000,1738543560000,0,stop_loss,1738543800000,4,3.3788045247395835,-1,short,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1738543500000:-1,0.6475067138671875,2025-02-03T00:45:00+00:00,2025-02-03T00:46:00+00:00,2025-02-03T00:50:00+00:00
