candidate_id,event_log_loss_skill,expected_payoff_spearman,month,rows,side
direct_barrier_mean_tcn,0.03516960297274904,-0.01591619611917042,2025-01,26784,short
direct_barrier_mean_tcn,0.037838788860977295,-0.03765006553656514,2025-02,24192,short
direct_barrier_mean_tcn,0.033343190387929766,0.0014478874261286514,2025-03,26784,short
direct_barrier_mean_tcn,0.029184578157366994,-0.04927571703616236,2025-04,25920,short
direct_barrier_mean_tcn,0.022230579432126196,0.040760129841940565,2025-05,26784,short
direct_barrier_mean_tcn,0.019834502281399068,0.020585231673968665,2025-06,25848,short
direct_barrier_mean_tcn,0.029330181091791106,0.009247065308462749,2025-01,26784,long
direct_barrier_mean_tcn,0.036504802303493275,0.03354378094132557,2025-02,24192,long
direct_barrier_mean_tcn,0.031203298623970102,0.044786092861406585,2025-03,26784,long
direct_barrier_mean_tcn,0.029641981185990846,0.002298462888901941,2025-04,25920,long
direct_barrier_mean_tcn,0.021136249584315665,0.04067030113873125,2025-05,26784,long
direct_barrier_mean_tcn,0.023169435685870408,0.03257832282658755,2025-06,25848,long
competing_risk_barrier_tcn,0.03532677463122608,-0.09307058599903109,2025-01,26784,short
competing_risk_barrier_tcn,0.03962031046831207,-0.07303645149808702,2025-02,24192,short
competing_risk_barrier_tcn,0.03438585455503811,-0.05157136948861332,2025-03,26784,short
competing_risk_barrier_tcn,0.029740735927011052,-0.07344011478663465,2025-04,25920,short
competing_risk_barrier_tcn,0.021743757264817535,-0.027365141398880685,2025-05,26784,short
competing_risk_barrier_tcn,0.019194490093222254,-0.04130825728276523,2025-06,25848,short
competing_risk_barrier_tcn,0.032120987245845466,0.021185770843883622,2025-01,26784,long
competing_risk_barrier_tcn,0.03951941398372411,0.06774327715311981,2025-02,24192,long
competing_risk_barrier_tcn,0.03310887204130937,0.07596142824884979,2025-03,26784,long
competing_risk_barrier_tcn,0.029927167449532853,0.03827546223143084,2025-04,25920,long
competing_risk_barrier_tcn,0.021586732749840395,0.04407275054201669,2025-05,26784,long
competing_risk_barrier_tcn,0.024057956450967324,0.02889153469979948,2025-06,25848,long
