round,role,symbol,side,rows,log_loss,baseline_log_loss,log_loss_skill,integrated_brier,baseline_integrated_brier,integrated_brier_skill,predicted_fill_probability,observed_fill_ratio,absolute_calibration_error,passed
57,policy_calibration,BTCUSDT,long,16015,0.6427754333344383,0.7931969878329528,0.18963959370228123,0.12762285696045056,0.16351877938937165,0.2195217122031321,0.2676997032403889,0.25051514205432407,0.017184561186064817,true
57,policy_calibration,BTCUSDT,short,16132,0.6278384949511896,0.7852331464774163,0.20044320878748512,0.12475910311739963,0.16246250576088042,0.23207448676788445,0.26163554707153625,0.24733449045375652,0.014301056617779723,true
57,policy_calibration,ETHUSDT,long,15610,0.5772434288038784,0.7065163896095945,0.18297234530843587,0.10633548731075394,0.13450496127178474,0.2094307428862101,0.2222521356011005,0.20371556694426649,0.018536568656834007,true
57,policy_calibration,ETHUSDT,short,15654,0.5649664035255323,0.7033923464863464,0.19679762461490058,0.10354702123282356,0.13301479540552688,0.22153756717712403,0.21743314125273214,0.2019931008049061,0.015440040447826042,true
57,policy_calibration,SOLUSDT,long,2752,0.27169036004576363,0.2877272596490602,0.05573646245008801,0.04034414946836854,0.04176001046142328,0.03390470877306584,0.06599547242264453,0.05813953488372093,0.0078559375389236,true
57,policy_calibration,SOLUSDT,short,2750,0.27478194570117204,0.28232285613523583,0.026710237128132586,0.03734545989657137,0.03778530294458198,0.011640585458735364,0.06520018448211966,0.05709090909090909,0.00810927539121057,true
57,evaluation,BTCUSDT,long,48977,0.5979993313553511,0.7440896188596295,0.19633426377883378,0.11319796072533093,0.145867500477008,0.223967228099768,0.2414857464747825,0.22249219021173203,0.018993556263050465,true
57,evaluation,BTCUSDT,short,48965,0.5952600540436473,0.7378729054442936,0.1932756310041973,0.11242929447018499,0.14376240823591702,0.21795067396418233,0.2342909012860016,0.21915654038599,0.015134360900011606,true
57,evaluation,ETHUSDT,long,47444,0.5569495556628523,0.6793540383724739,0.18017775091595178,0.10404790714001409,0.12861597874989394,0.191018813126282,0.21561093625906813,0.19226878003541018,0.023342156223657956,true
57,evaluation,ETHUSDT,short,47618,0.5566226675042782,0.6807979726723594,0.18239670232954963,0.1042399902307323,0.1289908083618761,0.1918804792796308,0.21258023518110283,0.19299424587340921,0.01958598930769362,true
57,evaluation,SOLUSDT,long,3359,0.49894847177987905,0.530958232832089,0.06028677789112036,0.07856886160976226,0.08289484245872894,0.052186369147398604,0.09250095129028091,0.12533492110747246,0.032833969817191555,true
57,evaluation,SOLUSDT,short,3329,0.5266382572529483,0.5636706119341965,0.06569857270751489,0.08450785618494977,0.08896954663231732,0.05014851279175658,0.09237404655292979,0.1315710423550616,0.039196995802131804,true
