candidate_id,role,period,symbol,horizon_hours,rows,pinball_loss,baseline_pinball_loss,median_spearman,coverage_80,coverage_50
wavebound_ema,evaluation,2024-10,ALL,1,2232,16.181315940671254,14.885968513203224,0.1001139213546061,0.40456989247311825,0.22939068100358423
wavebound_ema,evaluation,2024-10,BTCUSDT,1,744,11.680159087193855,11.135801489866669,0.10861133879403263,0.5120967741935484,0.28225806451612906
wavebound_ema,evaluation,2024-10,ETHUSDT,1,744,15.229212973624966,14.106158464144094,0.13214550448150048,0.43548387096774194,0.25
wavebound_ema,evaluation,2024-10,SOLUSDT,1,744,21.63457576119494,19.08339782256084,0.07268118716653978,0.2661290322580645,0.15591397849462366
wavebound_ema,evaluation,2024-11,ALL,1,2160,22.457396606528164,20.072354064233394,0.08461950378123415,0.36018518518518516,0.22592592592592592
wavebound_ema,evaluation,2024-11,BTCUSDT,1,720,15.920061659281123,14.83235988677293,0.10378382931551436,0.4597222222222222,0.2777777777777778
wavebound_ema,evaluation,2024-11,ETHUSDT,1,720,22.24743755480469,19.965963320126345,0.09075644436042507,0.35,0.2361111111111111
wavebound_ema,evaluation,2024-11,SOLUSDT,1,720,29.20469060549867,24.738109684241312,0.06324324185296139,0.2708333333333333,0.1638888888888889
wavebound_ema,evaluation,2024-12,ALL,1,2232,22.094117521193844,19.89055765488413,0.09218208436568098,0.35528673835125446,0.21012544802867383
wavebound_ema,evaluation,2024-12,BTCUSDT,1,744,15.941914202257623,14.860118696120008,0.07160820031486775,0.4475806451612903,0.2553763440860215
wavebound_ema,evaluation,2024-12,ETHUSDT,1,744,21.868094062979274,19.832745314040974,0.09021823662984857,0.34408602150537637,0.20430107526881722
wavebound_ema,evaluation,2024-12,SOLUSDT,1,744,28.472344298344634,24.638339527314546,0.10488112114075837,0.27419354838709675,0.17069892473118278
wavebound_ema,evaluation,2025-01,ALL,1,2232,22.53650062300129,20.665657569528133,-0.009347328590184716,0.39157706093189965,0.23476702508960573
wavebound_ema,evaluation,2025-01,BTCUSDT,1,744,14.569383994851421,13.680729493921563,-0.030029222734699008,0.4798387096774194,0.28763440860215056
wavebound_ema,evaluation,2025-01,ETHUSDT,1,744,20.318812126666046,18.372965029365112,-0.004134045199811068,0.3951612903225806,0.24327956989247312
wavebound_ema,evaluation,2025-01,SOLUSDT,1,744,32.7213057474864,29.090682439926972,0.00662661713555427,0.29973118279569894,0.17338709677419356
wavebound_ema,evaluation,2025-02,ALL,1,2016,25.665018593140527,23.198420724642133,0.06724896678600009,0.34077380952380953,0.2003968253968254
wavebound_ema,evaluation,2025-02,BTCUSDT,1,672,14.246337931975434,13.385172459686242,0.022356553027271367,0.49702380952380953,0.2916666666666667
wavebound_ema,evaluation,2025-02,ETHUSDT,1,672,27.16629070185014,24.748942756216223,0.07173068326942587,0.29464285714285715,0.16666666666666666
wavebound_ema,evaluation,2025-02,SOLUSDT,1,672,35.582427145596014,30.14182083917001,0.09052805037264151,0.23065476190476192,0.14285714285714285
wavebound_ema,evaluation,2025-03,ALL,1,2232,23.644422758103875,21.277051729819828,0.010186435533919161,0.34901433691756273,0.20161290322580644
wavebound_ema,evaluation,2025-03,BTCUSDT,1,744,17.0634287751096,15.878147285941308,0.006473437440357678,0.42473118279569894,0.2540322580645161
wavebound_ema,evaluation,2025-03,ETHUSDT,1,744,22.64810653201957,20.46669259642741,0.04321494371804446,0.34543010752688175,0.1935483870967742
wavebound_ema,evaluation,2025-03,SOLUSDT,1,744,31.221732967182454,27.06568847112149,-0.02063598872463982,0.2768817204301075,0.15725806451612903
wavebound_ema,evaluation,2025-04,ALL,1,2160,22.03276815478933,20.02933320858109,0.035875710933114764,0.37546296296296294,0.21342592592592594
wavebound_ema,evaluation,2025-04,BTCUSDT,1,720,14.189249788658673,13.309872716088263,0.01373385493927779,0.4722222222222222,0.2722222222222222
wavebound_ema,evaluation,2025-04,ETHUSDT,1,720,23.274221777019918,21.26020015453051,0.06037039037498144,0.3611111111111111,0.21388888888888888
wavebound_ema,evaluation,2025-04,SOLUSDT,1,720,28.634832898689396,24.92032010277112,0.02310591594202909,0.29305555555555557,0.15416666666666667
wavebound_ema,evaluation,2025-05,ALL,1,2232,19.4881719902843,17.564635203032644,0.053310786707820614,0.3767921146953405,0.21774193548387097
