round,role,symbol,action_code,action_name,rows,mean_mse_bps2,baseline_mean_mse_bps2,mean_mse_skill,q20_pinball_bps,baseline_q20_pinball_bps,q20_pinball_skill,spearman,top_quintile_rows,top_quintile_mean_net_bps,top_quintile_mean_markout_5s_bps,top_quintile_mean_markout_15s_bps,passed
57,policy_calibration,BTCUSDT,0,passive_long,4012,154.98719305305227,155.20104947176475,0.0013779315245634471,3.220527381435318,3.5542234718009817,0.09388720011929197,0.08876141013938253,803,-8.412329239330608,-0.3478490488321025,-0.5066137921739292,true
57,policy_calibration,BTCUSDT,1,passive_short,3989,160.33257026943366,160.72351704003583,0.0024324179672150503,3.2618610489286257,3.5851066495880883,0.09016345460646258,0.05206863986941097,798,-9.368467430930567,-0.6535787372017537,-0.6065568381835904,true
57,policy_calibration,BTCUSDT,2,aggressive_long,16130,154.0095352730305,154.19470540563225,0.0012008851543547916,3.158989614333604,3.5308085830497395,0.1053070309450127,0.09398880576976743,3226,-11.429635488189504,-0.061063702196173505,-0.05208914367278919,true
57,policy_calibration,BTCUSDT,3,aggressive_short,16013,158.68599724247207,158.43822112123678,-0.001563865836676337,3.1903133381455717,3.5056877610164205,0.08996078497858317,0.08029204009650834,3203,-11.01183528694474,0.0070923240349578835,0.10034004841109309,false
57,policy_calibration,ETHUSDT,0,passive_long,3178,117.80091099099079,117.35554709964417,-0.0037949965072248126,2.8213636337436494,3.04016931712337,0.07197154518576487,0.027337606464528822,636,-10.549349451436624,-0.7521967378666995,-0.9870397449158991,false
57,policy_calibration,ETHUSDT,1,passive_short,3162,104.99134260534542,105.47490338769403,0.004584605122331165,2.65595075227822,2.7902297964064147,0.04812472589215944,0.08688356653320412,633,-8.388763481070564,-0.495410746411956,-0.45991236257845497,true
57,policy_calibration,ETHUSDT,2,aggressive_long,15654,105.18825155225063,105.2489520734286,0.0005767327843380077,2.659951939637312,2.877307927658057,0.07554144133528973,0.07429141975671633,3131,-12.480569522763641,-0.02122961463982295,-0.012371877689575619,true
57,policy_calibration,ETHUSDT,3,aggressive_short,15610,109.6385321996144,109.54076401991564,-0.0008925278235323297,2.588911509615955,2.7473186469386977,0.0576588148954813,0.11895191926248326,3122,-10.458268532522839,0.017198900531543528,0.12169758761052477,false
57,policy_calibration,SOLUSDT,0,passive_long,158,666.2288997004397,660.7081656099728,-0.008355783048889842,6.743259027300715,6.785471020435269,0.006220937795980208,0.01808774916426767,32,-8.405265763027895,-2.922949777508302,-3.3591807405680685,false
57,policy_calibration,SOLUSDT,1,passive_short,153,647.9006244585543,630.2111907937771,-0.02806905672762916,6.268975859290711,6.279385409388567,0.0016577339053425177,-0.07116393185835718,31,-10.620852261008539,-0.7188505606874915,-1.1499405083456862,false
57,policy_calibration,SOLUSDT,2,aggressive_long,2738,468.14843768349573,458.1874204518151,-0.021740049567179565,5.657350287895836,6.21236927846216,0.08934095281337107,-0.040615035732425836,548,-15.934752771777859,-1.2335109738826295,-1.5038322001796662,false
57,policy_calibration,SOLUSDT,3,aggressive_short,2736,475.0646754972769,474.11782086810086,-0.0019970871954198,5.598219096159388,6.076624526469149,0.07872881206101778,0.05364397455327008,548,-11.308789126297501,-1.213635689682491,-1.0173431647428952,false
57,evaluation,BTCUSDT,0,passive_long,10897,124.77487342976757,124.70128969597515,-0.0005900799740869989,2.832151821597473,3.0584984841990304,0.07400581160033959,0.04581970188419651,2180,-10.020356070246486,-0.5198780814323639,-0.5724831612293854,false
57,evaluation,BTCUSDT,1,passive_short,10727,135.0800426104348,134.62443819947725,-0.0033842623007454,2.834346943350906,2.952554403466617,0.04003565860697533,0.027334312450734033,2146,-8.761999784992183,-0.5444631060004512,-0.5763977408605188,false
57,evaluation,BTCUSDT,2,aggressive_long,48965,117.66869772342694,116.95509289785741,-0.006101528440431103,2.7389632057243634,2.905045880205512,0.057170413594087366,0.05206030719142215,9793,-12.145571176624903,-0.015647386623182786,-0.012662354865248427,false
57,evaluation,BTCUSDT,3,aggressive_short,48977,122.21713144827028,122.12240042527469,-0.0007757055435013704,2.6739722683193947,2.8209882616490813,0.052115067378459945,0.0532988149507431,9796,-11.325458824662654,0.036120642341561475,0.11858772441168498,false
57,evaluation,ETHUSDT,0,passive_long,9120,162.51078576390822,163.61821624571255,0.006768381340505836,3.1928459824348905,3.5483666693184976,0.10019277036887753,0.025934593208098364,1824,-10.975834345201692,-0.7460664353368549,-0.8785794304416472,true
57,evaluation,ETHUSDT,1,passive_short,9188,173.0231579243294,172.8971273579239,-0.0007289338367353349,3.0664983996373443,3.300362124204231,0.07086001952687992,0.004187300161164299,1838,-9.457221579332783,-0.7315635239781094,-0.6257649265375416,false
57,evaluation,ETHUSDT,2,aggressive_long,47618,145.7052714613377,146.38674247127798,0.004655278192791212,3.024550382346961,3.290698454555144,0.08087890029539724,0.028699206436457417,9524,-12.714318010970269,-0.015867287767805473,-0.044503972868887465,true
57,evaluation,ETHUSDT,3,aggressive_short,47444,157.0230114837541,157.43658437290114,0.002626917312735011,2.92166300657981,3.105499371948592,0.05919703833442769,0.026670664859950215,9489,-10.91123683234266,-0.025624362297487463,0.06999928028053863,true
57,evaluation,SOLUSDT,0,passive_long,419,1404.1563060488331,1403.9423524766912,-0.00015239484140106008,10.178288023021517,10.524111548937547,0.032860115963987746,0.026811584361735894,84,-7.478680699165135,-1.7179864574688137,-3.0774009432730076,false
57,evaluation,SOLUSDT,1,passive_short,432,1147.5525442022727,1135.5202229337604,-0.010596307336055544,9.582954937094193,9.934899236091022,0.03542504967924609,-0.0619784860131244,87,-16.520972364848568,-1.1991815638774612,-1.9244955484432953,false
57,evaluation,SOLUSDT,2,aggressive_long,3316,885.7410690427738,876.0487251355147,-0.011063704140154673,8.12497219117598,8.916106559506492,0.08873092341936994,-0.016167994412215142,664,-16.57837194184206,-1.334883015882616,-1.456176392436749,false
57,evaluation,SOLUSDT,3,aggressive_short,3346,1068.3398249948823,1044.206133167844,-0.023111999690926144,8.43641890288492,9.168139296252992,0.07981122120026307,0.002990192414385908,670,-10.716155915187112,-0.9805118403639971,-1.0766240874776687,false
