round,symbol,candidate,seed,cache_state,backend_kind,backend_device,model_sha256,artifact_sha256,artifact_bytes,role_rows,rejected_role_rows,role_mask_sha256,minimum_leaf_rows,best_iterations
52,ETHUSDT,executable_direct_mean_lightgbm,5202,trained,opencl,opencl:auto,c47bb22f013c8d0dc68683a15aaadda41f64f47edf57d2503298cf7cbb76c92e,556544c4695f1f29c7c16e52b3ea2f3f03c27022d095f4629974d07f8f840a34,226500,"{""long"":{""early_stop"":30050,""probability_calibration"":14506,""train"":112811},""short"":{""early_stop"":30031,""probability_calibration"":14507,""train"":112780}}","{""long"":{""early_stop"":4331,""probability_calibration"":2675,""train"":15257},""short"":{""early_stop"":4350,""probability_calibration"":2674,""train"":15288}}","{""long"":{""early_stop"":""5f99bd61209cead58e7dce99df192bcff456f3c72d2862f8eb6701c814a0e090"",""probability_calibration"":""bf5e19678fcf6e70d210b6a6ffefb3bb2fb74ba7310739ca05bbbcd8bc60c696"",""train"":""e02222b30dbe1836ef55a683a8fce59785e88e1c26a95c4342df1fc7fb072403""},""short"":{""early_stop"":""7d574503a56fc9d00c712c3150816838f6db8874384faeeeafaced76d5b3258c"",""probability_calibration"":""0d2f31da45ac8ef81cdd75ec8c9901532fce88d6b09e83a1b9f3594e4134f24a"",""train"":""dfad43bb7e7767807a3796fa0ef82f1db15e63c07290a6e84a66e002753b8c0e""}}","{""long"":226,""short"":226}","{""long_mean"":82,""short_mean"":8}"
52,ETHUSDT,executable_direct_mean_lightgbm,5203,trained,opencl,opencl:auto,e8182c0c526f9efc70e5ae7caae3a06734b34219a14deea506dab383accda2fa,8f361831a7b430ce08a87c29f91e57a6400f48dad21e6e263b8010a5c95bca60,124008,"{""long"":{""early_stop"":30050,""probability_calibration"":14506,""train"":112811},""short"":{""early_stop"":30031,""probability_calibration"":14507,""train"":112780}}","{""long"":{""early_stop"":4331,""probability_calibration"":2675,""train"":15257},""short"":{""early_stop"":4350,""probability_calibration"":2674,""train"":15288}}","{""long"":{""early_stop"":""5f99bd61209cead58e7dce99df192bcff456f3c72d2862f8eb6701c814a0e090"",""probability_calibration"":""bf5e19678fcf6e70d210b6a6ffefb3bb2fb74ba7310739ca05bbbcd8bc60c696"",""train"":""e02222b30dbe1836ef55a683a8fce59785e88e1c26a95c4342df1fc7fb072403""},""short"":{""early_stop"":""7d574503a56fc9d00c712c3150816838f6db8874384faeeeafaced76d5b3258c"",""probability_calibration"":""0d2f31da45ac8ef81cdd75ec8c9901532fce88d6b09e83a1b9f3594e4134f24a"",""train"":""dfad43bb7e7767807a3796fa0ef82f1db15e63c07290a6e84a66e002753b8c0e""}}","{""long"":226,""short"":226}","{""long_mean"":33,""short_mean"":15}"
52,ETHUSDT,executable_hurdle_lightgbm,5201,trained,opencl,opencl:auto,32e1191a03c0a3d5b189222acd5bf7fedea7c723489753aff9c01d94390340c6,9d54a4c8746dc8547f0c31b7092f70565ba8a4f17e12195cc5df020fae75efc7,1275409,"{""long"":{""early_stop"":30050,""probability_calibration"":14506,""train"":112811},""short"":{""early_stop"":30031,""probability_calibration"":14507,""train"":112780}}","{""long"":{""early_stop"":4331,""probability_calibration"":2675,""train"":15257},""short"":{""early_stop"":4350,""probability_calibration"":2674,""train"":15288}}","{""long"":{""early_stop"":""5f99bd61209cead58e7dce99df192bcff456f3c72d2862f8eb6701c814a0e090"",""probability_calibration"":""bf5e19678fcf6e70d210b6a6ffefb3bb2fb74ba7310739ca05bbbcd8bc60c696"",""train"":""e02222b30dbe1836ef55a683a8fce59785e88e1c26a95c4342df1fc7fb072403""},""short"":{""early_stop"":""7d574503a56fc9d00c712c3150816838f6db8874384faeeeafaced76d5b3258c"",""probability_calibration"":""0d2f31da45ac8ef81cdd75ec8c9901532fce88d6b09e83a1b9f3594e4134f24a"",""train"":""dfad43bb7e7767807a3796fa0ef82f1db15e63c07290a6e84a66e002753b8c0e""}}","{""long"":226,""short"":226}","{""long_conditional_gain"":52,""long_conditional_loss"":73,""long_probability"":101,""short_conditional_gain"":26,""short_conditional_loss"":60,""short_probability"":110}"
52,ETHUSDT,executable_hurdle_lightgbm,5202,trained,opencl,opencl:auto,dfcb28c7407bc905a7cac14e7c43cf77f75c82785bfd0cbb59a39c34a54cbc9c,0b495b488523e924e33a105b09e58bb51ad4beb7f0bd6852dc45b980ef5537f7,1213941,"{""long"":{""early_stop"":30050,""probability_calibration"":14506,""train"":112811},""short"":{""early_stop"":30031,""probability_calibration"":14507,""train"":112780}}","{""long"":{""early_stop"":4331,""probability_calibration"":2675,""train"":15257},""short"":{""early_stop"":4350,""probability_calibration"":2674,""train"":15288}}","{""long"":{""early_stop"":""5f99bd61209cead58e7dce99df192bcff456f3c72d2862f8eb6701c814a0e090"",""probability_calibration"":""bf5e19678fcf6e70d210b6a6ffefb3bb2fb74ba7310739ca05bbbcd8bc60c696"",""train"":""e02222b30dbe1836ef55a683a8fce59785e88e1c26a95c4342df1fc7fb072403""},""short"":{""early_stop"":""7d574503a56fc9d00c712c3150816838f6db8874384faeeeafaced76d5b3258c"",""probability_calibration"":""0d2f31da45ac8ef81cdd75ec8c9901532fce88d6b09e83a1b9f3594e4134f24a"",""train"":""dfad43bb7e7767807a3796fa0ef82f1db15e63c07290a6e84a66e002753b8c0e""}}","{""long"":226,""short"":226}","{""long_conditional_gain"":50,""long_conditional_loss"":69,""long_probability"":107,""short_conditional_gain"":29,""short_conditional_loss"":65,""short_probability"":84}"
52,ETHUSDT,executable_hurdle_lightgbm,5203,trained,opencl,opencl:auto,d36b8ab53ac01ed63f4748f195558d1cb41fc9ab592b71aca14a8ff7d596feff,047c85fefe6c9add87b90d0ba9f1f81691b0e45cf5c9c31032b8cca4c19bd852,1310201,"{""long"":{""early_stop"":30050,""probability_calibration"":14506,""train"":112811},""short"":{""early_stop"":30031,""probability_calibration"":14507,""train"":112780}}","{""long"":{""early_stop"":4331,""probability_calibration"":2675,""train"":15257},""short"":{""early_stop"":4350,""probability_calibration"":2674,""train"":15288}}","{""long"":{""early_stop"":""5f99bd61209cead58e7dce99df192bcff456f3c72d2862f8eb6701c814a0e090"",""probability_calibration"":""bf5e19678fcf6e70d210b6a6ffefb3bb2fb74ba7310739ca05bbbcd8bc60c696"",""train"":""e02222b30dbe1836ef55a683a8fce59785e88e1c26a95c4342df1fc7fb072403""},""short"":{""early_stop"":""7d574503a56fc9d00c712c3150816838f6db8874384faeeeafaced76d5b3258c"",""probability_calibration"":""0d2f31da45ac8ef81cdd75ec8c9901532fce88d6b09e83a1b9f3594e4134f24a"",""train"":""dfad43bb7e7767807a3796fa0ef82f1db15e63c07290a6e84a66e002753b8c0e""}}","{""long"":226,""short"":226}","{""long_conditional_gain"":50,""long_conditional_loss"":99,""long_probability"":104,""short_conditional_gain"":25,""short_conditional_loss"":54,""short_probability"":103}"
52,ETHUSDT,executable_hurdle_lightgbm_fincast,5201,trained,opencl,opencl:auto,1f6905e3ebca510ac6058fb187dda6d6b23b42a689ee867d39b7b5409fdddc21,6381561d96caa8ee5480013cc6a7fb0c74216238782ac73a390e39ecec2526aa,1154843,"{""long"":{""early_stop"":30050,""probability_calibration"":14506,""train"":112811},""short"":{""early_stop"":30031,""probability_calibration"":14507,""train"":112780}}","{""long"":{""early_stop"":4331,""probability_calibration"":2675,""train"":15257},""short"":{""early_stop"":4350,""probability_calibration"":2674,""train"":15288}}","{""long"":{""early_stop"":""5f99bd61209cead58e7dce99df192bcff456f3c72d2862f8eb6701c814a0e090"",""probability_calibration"":""bf5e19678fcf6e70d210b6a6ffefb3bb2fb74ba7310739ca05bbbcd8bc60c696"",""train"":""e02222b30dbe1836ef55a683a8fce59785e88e1c26a95c4342df1fc7fb072403""},""short"":{""early_stop"":""7d574503a56fc9d00c712c3150816838f6db8874384faeeeafaced76d5b3258c"",""probability_calibration"":""0d2f31da45ac8ef81cdd75ec8c9901532fce88d6b09e83a1b9f3594e4134f24a"",""train"":""dfad43bb7e7767807a3796fa0ef82f1db15e63c07290a6e84a66e002753b8c0e""}}","{""long"":226,""short"":226}","{""long_conditional_gain"":37,""long_conditional_loss"":52,""long_probability"":104,""short_conditional_gain"":27,""short_conditional_loss"":60,""short_probability"":91}"
52,ETHUSDT,executable_hurdle_lightgbm_fincast,5202,trained,opencl,opencl:auto,73314e009fbb26b06f5dba6f9823371c1a6e941cfb741ea756dd620fd9244a4a,892dd8c002e5baf754ff6b09ebe69a9b791203d47a5a0694a4b8686cc0c5c152,1127977,"{""long"":{""early_stop"":30050,""probability_calibration"":14506,""train"":112811},""short"":{""early_stop"":30031,""probability_calibration"":14507,""train"":112780}}","{""long"":{""early_stop"":4331,""probability_calibration"":2675,""train"":15257},""short"":{""early_stop"":4350,""probability_calibration"":2674,""train"":15288}}","{""long"":{""early_stop"":""5f99bd61209cead58e7dce99df192bcff456f3c72d2862f8eb6701c814a0e090"",""probability_calibration"":""bf5e19678fcf6e70d210b6a6ffefb3bb2fb74ba7310739ca05bbbcd8bc60c696"",""train"":""e02222b30dbe1836ef55a683a8fce59785e88e1c26a95c4342df1fc7fb072403""},""short"":{""early_stop"":""7d574503a56fc9d00c712c3150816838f6db8874384faeeeafaced76d5b3258c"",""probability_calibration"":""0d2f31da45ac8ef81cdd75ec8c9901532fce88d6b09e83a1b9f3594e4134f24a"",""train"":""dfad43bb7e7767807a3796fa0ef82f1db15e63c07290a6e84a66e002753b8c0e""}}","{""long"":226,""short"":226}","{""long_conditional_gain"":46,""long_conditional_loss"":63,""long_probability"":96,""short_conditional_gain"":30,""short_conditional_loss"":59,""short_probability"":76}"
52,ETHUSDT,executable_hurdle_lightgbm_fincast,5203,trained,opencl,opencl:auto,b8bf00e68ff15192547be5b3153bf74f2ee1e12a3221ee35792a3b86454bbfd0,ec4e4a8277a5cf05a3bbf3a8c70a131d262f6abcf12d87f503c1175e2e376eda,1151933,"{""long"":{""early_stop"":30050,""probability_calibration"":14506,""train"":112811},""short"":{""early_stop"":30031,""probability_calibration"":14507,""train"":112780}}","{""long"":{""early_stop"":4331,""probability_calibration"":2675,""train"":15257},""short"":{""early_stop"":4350,""probability_calibration"":2674,""train"":15288}}","{""long"":{""early_stop"":""5f99bd61209cead58e7dce99df192bcff456f3c72d2862f8eb6701c814a0e090"",""probability_calibration"":""bf5e19678fcf6e70d210b6a6ffefb3bb2fb74ba7310739ca05bbbcd8bc60c696"",""train"":""e02222b30dbe1836ef55a683a8fce59785e88e1c26a95c4342df1fc7fb072403""},""short"":{""early_stop"":""7d574503a56fc9d00c712c3150816838f6db8874384faeeeafaced76d5b3258c"",""probability_calibration"":""0d2f31da45ac8ef81cdd75ec8c9901532fce88d6b09e83a1b9f3594e4134f24a"",""train"":""dfad43bb7e7767807a3796fa0ef82f1db15e63c07290a6e84a66e002753b8c0e""}}","{""long"":226,""short"":226}","{""long_conditional_gain"":47,""long_conditional_loss"":54,""long_probability"":85,""short_conditional_gain"":30,""short_conditional_loss"":77,""short_probability"":89}"
52,SOLUSDT,executable_direct_mean_lightgbm,5201,trained,opencl,opencl:auto,ab426ee281a50039499014b8cc6eb3eda8bcce4eb4a894e13598e3c2675559a5,348e309673e16d4659fa3f4f3f575ee3ec7e53bbfe8e6b0542619b8252f9453a,109050,"{""long"":{""early_stop"":836,""probability_calibration"":595,""train"":4846},""short"":{""early_stop"":825,""probability_calibration"":596,""train"":4938}}","{""long"":{""early_stop"":10746,""probability_calibration"":11612,""train"":54959},""short"":{""early_stop"":10757,""probability_calibration"":11611,""train"":54867}}","{""long"":{""early_stop"":""5b8a4ae02cc256cf3bba6e463bec6638aaedf4044c68a8e84784c71d69e2bb16"",""probability_calibration"":""ce3af80e5dd15aac5d45cdee8c44cdf3bcd5f857f5d61f89b9aefa62d2f6a432"",""train"":""fc69bb0b7f7870c041bc900de6cb4d1d96cb2309f41eb18b2e4b25baec06410b""},""short"":{""early_stop"":""34281e73112c6293c77a81505f3165930db16ebf44f371367797abc3e4046b6c"",""probability_calibration"":""bcbc5648d29fd9229d35bc39c0e163dbc8376696124c34fb4298926637ccd659"",""train"":""075cf3431759d973939f8cd08e47f911c2ca9fe59fc22b734142e07149ba154e""}}","{""long"":64,""short"":64}","{""long_mean"":25,""short_mean"":26}"
52,SOLUSDT,executable_direct_mean_lightgbm,5202,trained,opencl,opencl:auto,462d56ff4b74451312398f4dc28dfce2802ddb0fcd61ad1fc196fd0eeec817c4,549b1280bf140aafd2a7d0efe889951297c326336d5ffabc528301036e8a566e,110462,"{""long"":{""early_stop"":836,""probability_calibration"":595,""train"":4846},""short"":{""early_stop"":825,""probability_calibration"":596,""train"":4938}}","{""long"":{""early_stop"":10746,""probability_calibration"":11612,""train"":54959},""short"":{""early_stop"":10757,""probability_calibration"":11611,""train"":54867}}","{""long"":{""early_stop"":""5b8a4ae02cc256cf3bba6e463bec6638aaedf4044c68a8e84784c71d69e2bb16"",""probability_calibration"":""ce3af80e5dd15aac5d45cdee8c44cdf3bcd5f857f5d61f89b9aefa62d2f6a432"",""train"":""fc69bb0b7f7870c041bc900de6cb4d1d96cb2309f41eb18b2e4b25baec06410b""},""short"":{""early_stop"":""34281e73112c6293c77a81505f3165930db16ebf44f371367797abc3e4046b6c"",""probability_calibration"":""bcbc5648d29fd9229d35bc39c0e163dbc8376696124c34fb4298926637ccd659"",""train"":""075cf3431759d973939f8cd08e47f911c2ca9fe59fc22b734142e07149ba154e""}}","{""long"":64,""short"":64}","{""long_mean"":4,""short_mean"":44}"
