round,symbol,trigger_id,trigger_operator,trigger_value_bps,horizon_hours,episodes,first_decision_time_ms,last_decision_time_ms,mean_future_settlements,mean_gross_funding_bps,median_gross_funding_bps,p10_gross_funding_bps,p90_gross_funding_bps,bootstrap_lower_95_mean_gross_bps,bootstrap_upper_95_mean_gross_bps,symbol_gate_passed,optimistic_futures_maker_only_cost_reference_bps,optimistic_futures_maker_only_mean_net_reference_bps,optimistic_futures_maker_only_median_net_reference_bps,optimistic_futures_maker_only_positive_net_reference_fraction,optimistic_futures_maker_only_bootstrap_lower_95_mean_net_reference_bps,optimistic_futures_maker_only_bootstrap_upper_95_mean_net_reference_bps,repo_offline_four_leg_taker_cost_reference_bps,repo_offline_four_leg_taker_mean_net_reference_bps,repo_offline_four_leg_taker_median_net_reference_bps,repo_offline_four_leg_taker_positive_net_reference_fraction,repo_offline_four_leg_taker_bootstrap_lower_95_mean_net_reference_bps,repo_offline_four_leg_taker_bootstrap_upper_95_mean_net_reference_bps,stress_four_leg_cost_reference_bps,stress_four_leg_mean_net_reference_bps,stress_four_leg_median_net_reference_bps,stress_four_leg_positive_net_reference_fraction,stress_four_leg_bootstrap_lower_95_mean_net_reference_bps,stress_four_leg_bootstrap_upper_95_mean_net_reference_bps
59,BTCUSDT,positive,strictly_greater,0.0,24,1117,1638316800000,1751155200004,2.7681289167412713,2.123753625783303,1.9491999999998733,0.16534000000023585,3.1190999999998192,1.8182505908683588,2.4890876477170485,false,4.0,-1.8762463742166968,-2.0508000000001267,0.07430617726051925,-2.181749409131641,-1.5109123522829517,28.0,-25.8762463742167,-26.050800000000127,0.0,-26.181749409131644,-25.51091235228295,32.0,-29.8762463742167,-30.050800000000127,0.0,-30.181749409131644,-29.51091235228295
59,BTCUSDT,positive,strictly_greater,0.0,72,407,1638316800000,1750982400000,8.744471744471744,6.384000737100612,5.6363000000000945,0.8993599999999812,9.603779999999231,5.132766038083436,7.799803968058792,false,4.0,2.384000737100613,1.6363000000000945,0.6388206388206388,1.1327660380834361,3.7998039680587916,28.0,-21.615999262899386,-22.363699999999906,0.022113022113022112,-22.86723396191656,-20.20019603194121,32.0,-25.615999262899386,-26.363699999999906,0.019656019656019656,-26.86723396191656,-24.20019603194121
59,BTCUSDT,positive,strictly_greater,0.0,168,181,1638316800000,1750233600001,20.773480662983424,14.840630386740056,11.794200000000421,2.79110000000006,24.682600000000416,11.485328991712546,19.382265193369797,false,4.0,10.840630386740056,7.794200000000421,0.8674033149171271,7.485328991712545,15.382265193369797,28.0,-13.159369613259944,-16.205799999999577,0.07734806629834254,-16.514671008287454,-8.617734806630203,32.0,-17.15936961325994,-20.205799999999577,0.06077348066298342,-20.514671008287454,-12.617734806630203
59,BTCUSDT,at_least_1bp,greater_or_equal,1.0,24,608,1638316800000,1751212800001,2.7697368421052633,3.157474342105198,2.9999999999996696,1.2773200000000124,5.1105500000000195,2.730218207236801,3.688364358552589,false,4.0,-0.842525657894802,-1.0000000000003304,0.13322368421052633,-1.2697817927631994,-0.31163564144741096,28.0,-24.842525657894804,-25.00000000000033,0.0,-25.2697817927632,-24.31163564144741,32.0,-28.842525657894804,-29.00000000000033,0.0,-29.2697817927632,-28.31163564144741
59,BTCUSDT,at_least_1bp,greater_or_equal,1.0,72,264,1638316800000,1750579200000,8.761363636363637,8.618973863636192,7.8011999999993975,3.2746999999996307,13.531220000000062,7.157331638257504,10.575793484848244,false,4.0,4.618973863636193,3.8011999999993975,0.8446969696969697,3.157331638257504,6.575793484848244,28.0,-19.381026136363804,-20.198800000000602,0.03409090909090909,-20.842668361742497,-17.42420651515176,32.0,-23.381026136363804,-24.198800000000602,0.030303030303030304,-24.842668361742497,-21.42420651515176
59,BTCUSDT,at_least_1bp,greater_or_equal,1.0,168,134,1638316800000,1750579200000,20.71641791044776,17.98644029850711,15.86204999999962,6.58573000000055,30.093119999999892,14.036841902984772,23.412131268656168,false,4.0,13.986440298507112,11.86204999999962,0.9477611940298507,10.036841902984772,19.412131268656168,28.0,-10.01355970149289,-12.13795000000038,0.11940298507462686,-13.963158097015228,-4.587868731343834,32.0,-14.01355970149289,-16.13795000000038,0.08955223880597014,-17.963158097015228,-8.587868731343834
59,BTCUSDT,at_least_2bp,greater_or_equal,2.0,24,74,1638345600000,1733702400000,2.8783783783783785,8.26004999999996,7.241649999999849,3.1373999999998876,14.569569999999894,6.372615405405329,10.418041655405364,false,4.0,4.26004999999996,3.2416499999998494,0.7837837837837838,2.3726154054053286,6.418041655405363,28.0,-19.73995000000004,-20.75835000000015,0.0,-21.62738459459467,-17.58195834459464,32.0,-23.73995000000004,-24.75835000000015,0.0,-25.62738459459467,-21.58195834459464
59,BTCUSDT,at_least_2bp,greater_or_equal,2.0,72,34,1638345600000,1733702400000,8.735294117647058,21.402747058823365,18.25259999999995,9.475699999999533,36.701339999999945,15.124403235293922,28.63848647058807,false,4.0,17.402747058823365,14.252599999999953,1.0,11.124403235293922,24.63848647058807,28.0,-6.5972529411766345,-9.747400000000047,0.23529411764705882,-12.875596764706078,0.6384864705880691,32.0,-10.597252941176635,-13.747400000000047,0.20588235294117646,-16.875596764706078,-3.361513529411931
59,BTCUSDT,at_least_2bp,greater_or_equal,2.0,168,20,1638345600000,1733212800000,20.8,43.437779999999634,33.56929999999987,20.80044000000046,78.62635999999925,30.200316874999537,58.49722874999945,false,4.0,39.437779999999634,29.56929999999987,1.0,26.200316874999537,54.49722874999945,28.0,15.43777999999963,5.5692999999998705,0.65,2.2003168749995363,30.49722874999945,32.0,11.437779999999632,1.5692999999998705,0.5,-1.7996831250004637,26.49722874999945
59,ETHUSDT,positive,strictly_greater,0.0,24,1102,1638316800000,1751155200004,2.767695099818512,2.177261343012674,1.9988499999999687,0.027399999999795695,3.310899999999922,1.8694820372050585,2.5648286456442415,false,4.0,-1.822738656987326,-2.001150000000031,0.07985480943738657,-2.1305179627949418,-1.4351713543557587,28.0,-25.822738656987326,-26.00115000000003,0.0,-26.13051796279494,-25.43517135435576,32.0,-29.822738656987333,-30.00115000000003,0.0,-30.13051796279494,-29.43517135435576
59,ETHUSDT,positive,strictly_greater,0.0,72,407,1638316800000,1750982400000,8.74938574938575,6.320581326781243,5.656199999999334,0.4800399999997651,11.15669999999982,4.916507659705072,7.864432530712433,false,4.0,2.320581326781244,1.656199999999334,0.6314496314496314,0.9165076597050718,3.864432530712433,28.0,-21.67941867321876,-22.343800000000666,0.02702702702702703,-23.083492340294928,-20.13556746928757,32.0,-25.67941867321876,-26.343800000000666,0.019656019656019656,-27.083492340294928,-24.13556746928757
59,ETHUSDT,positive,strictly_greater,0.0,168,181,1638316800000,1750291200005,20.76243093922652,14.178820994474943,12.731200000000165,-0.3272000000000518,27.017099999998017,9.975118632596661,18.827217182320236,false,4.0,10.178820994474947,8.731200000000165,0.8342541436464088,5.9751186325966605,14.827217182320235,28.0,-13.821179005525053,-15.268799999999835,0.08287292817679558,-18.02488136740334,-9.172782817679765,32.0,-17.821179005525057,-19.268799999999835,0.08287292817679558,-22.02488136740334,-13.172782817679765
59,ETHUSDT,at_least_1bp,greater_or_equal,1.0,24,627,1638316800000,1750147200006,2.7607655502392343,3.1524972886761953,2.959699999999996,0.9809399999999372,5.7116400000001,2.7059802870813088,3.6704155422647142,false,4.0,-0.8475027113238051,-1.0403000000000042,0.14035087719298245,-1.294019712918691,-0.329584457735286,28.0,-24.847502711323806,-25.040300000000006,0.0,-25.294019712918693,-24.329584457735287,32.0,-28.847502711323813,-29.040300000000006,0.0,-29.294019712918693,-28.329584457735287
59,ETHUSDT,at_least_1bp,greater_or_equal,1.0,72,271,1638316800000,1750147200006,8.793357933579335,8.465727306272948,7.324899999999468,2.3422999999999847,16.646200000000334,6.7637664667896376,10.48636230627294,false,4.0,4.465727306272949,3.3248999999994684,0.8118081180811808,2.763766466789638,6.48636230627294,28.0,-19.534272693727054,-20.675100000000533,0.03690036900369004,-21.236233533210363,-17.513637693727063,32.0,-23.534272693727054,-24.675100000000533,0.02952029520295203,-25.236233533210363,-21.513637693727063
59,ETHUSDT,at_least_1bp,greater_or_equal,1.0,168,139,1638316800000,1750147200006,20.741007194244606,17.533475539568116,14.672900000000377,4.960840000000022,32.31510000000013,12.64726843525171,22.97366133093479,false,4.0,13.533475539568116,10.672900000000377,0.9280575539568345,8.64726843525171,18.97366133093479,28.0,-10.466524460431886,-13.327099999999623,0.12949640287769784,-15.35273156474829,-5.02633866906521,32.0,-14.466524460431886,-17.327099999999625,0.1079136690647482,-19.35273156474829,-9.026338669065211
