baseline_brier,baseline_log_loss,brier,brier_skill,candidate_id,evaluation_prevalence,expected_calibration_error_10_bin,horizon_minutes,log_loss,log_loss_skill,month,roc_auc,rows,scope,side,symbol,training_prevalence
0.21219219146795168,0.6156350380960857,0.20378449089368889,0.03962304416622531,direct_action_mean_tcn,0.3044551921797431,0.009410122657304022,15,0.5940452985899568,0.035069055804389127,,0.6180248023533644,156312,pooled,short,,0.28371963495518704
0.17731482145830502,0.5397870804573548,0.16883571287734464,0.0478195139651888,direct_action_mean_tcn,0.2303086135421465,0.012487230640555088,15,0.5143900182622154,0.0470501483170378,,0.6495929967501164,52104,symbol,short,BTCUSDT,0.22336128399300972
0.22071876674654373,0.6346266669565426,0.2137196748824599,0.031710452025681346,direct_action_mean_tcn,0.319706740365423,0.010692317455603204,15,0.6178782089126789,0.026391040458768833,,0.581196105911202,52104,symbol,short,ETHUSDT,0.26292270901677034
0.23132916302241313,0.6553264866044216,0.22879808492126225,0.010941457047962677,direct_action_mean_tcn,0.3633502226316598,0.008839533052699114,15,0.6498676685949759,0.008329921224046077,,0.5627250720234297,52104,symbol,short,SOLUSDT,0.36487491185578064
0.21258250631001202,0.6162521791353321,0.2069645979283053,0.02642695525244232,direct_action_mean_tcn,0.3096998207885305,0.011512251658537977,15,0.6017646828277607,0.023509038666441606,2025-01,0.6083313470750134,26784,month,short,,0.283719634955187
0.22091987402689975,0.6339443817162992,0.2119229702930769,0.040724736846117104,direct_action_mean_tcn,0.3325479497354497,0.011301089351312242,15,0.6108421728464273,0.03644201216410581,2025-02,0.624736068631105,24192,month,short,,0.283719634955187
0.22036316844035803,0.6333150236217614,0.21368098798441912,0.030323490550769883,direct_action_mean_tcn,0.32661290322580644,0.007294371311042077,15,0.6166412226999343,0.026327815226100393,2025-03,0.6030132997227614,26784,month,short,,0.283719634955187
0.21081340010536834,0.6123202880391017,0.20458517510860472,0.029543781342412978,direct_action_mean_tcn,0.3052469135802469,0.015842359600858905,15,0.5960952521114703,0.02649762917310894,2025-04,0.6161971876952564,25920,month,short,,0.283719634955187
0.2017002614513323,0.5922368769214407,0.1983772588921032,0.016474954148886445,direct_action_mean_tcn,0.2852822580645161,0.020932139777014663,15,0.5832562209439062,0.015163959434977503,2025-05,0.6048943909251924,26784,month,short,,0.283719634955187
0.19286533238660455,0.5725077504923558,0.18741741059952988,0.028247283841318582,direct_action_mean_tcn,0.2688409161250387,0.009770885165196612,15,0.5560355748045452,0.028771969765727268,2025-06,0.635947867355055,25848,month,short,,0.28371963495518704
