round,treatment,view,objective,seed,fold,loss_skill,final_iterations,backend,device,reload_max_abs_prediction_error_bps,model_sha256,file_sha256
56,baseline_72,raw_stress_payoff,conditional_mean,5602,2024-01,-0.0015397844496445323,26,opencl,opencl:auto,0.0,f753fd76eb52614e3c2b9838878491ae4bb3d45ff199c5a49b14082a7be8ef44,47f8a47522196b5593aa3e2df5c2eda8a3a78580f39c1e1bd0d0de0331186c62
56,baseline_72,raw_stress_payoff,conditional_mean,5602,2024-02,0.0002698540782680725,26,opencl,opencl:auto,0.0,f753fd76eb52614e3c2b9838878491ae4bb3d45ff199c5a49b14082a7be8ef44,47f8a47522196b5593aa3e2df5c2eda8a3a78580f39c1e1bd0d0de0331186c62
56,baseline_72,raw_stress_payoff,conditional_mean,5602,2024-03,6.872191244067238e-06,26,opencl,opencl:auto,0.0,f753fd76eb52614e3c2b9838878491ae4bb3d45ff199c5a49b14082a7be8ef44,47f8a47522196b5593aa3e2df5c2eda8a3a78580f39c1e1bd0d0de0331186c62
56,baseline_72,raw_stress_payoff,conditional_mean,5602,2024-04,-9.723892964852432e-05,26,opencl,opencl:auto,0.0,f753fd76eb52614e3c2b9838878491ae4bb3d45ff199c5a49b14082a7be8ef44,47f8a47522196b5593aa3e2df5c2eda8a3a78580f39c1e1bd0d0de0331186c62
56,baseline_72,raw_stress_payoff,conditional_mean,5602,2024-05,0.0020795504478092752,26,opencl,opencl:auto,0.0,f753fd76eb52614e3c2b9838878491ae4bb3d45ff199c5a49b14082a7be8ef44,47f8a47522196b5593aa3e2df5c2eda8a3a78580f39c1e1bd0d0de0331186c62
56,baseline_72,raw_stress_payoff,conditional_mean,5602,2024-06,-0.0056186842699164075,26,opencl,opencl:auto,0.0,f753fd76eb52614e3c2b9838878491ae4bb3d45ff199c5a49b14082a7be8ef44,47f8a47522196b5593aa3e2df5c2eda8a3a78580f39c1e1bd0d0de0331186c62
56,baseline_72,raw_stress_payoff,conditional_mean,5603,2023-07,2.300056122561678e-06,46,opencl,opencl:auto,0.0,1910ac1e44d7461a64b41a7cb683fe8f76dd2a9fd558b1fa873fad485ec90b47,a9ed13a2da4f61f13b20f8f7685897035cfc1264038a1a66a9c6e9f2db2751e1
56,baseline_72,raw_stress_payoff,conditional_mean,5603,2023-08,0.0016955433718757185,46,opencl,opencl:auto,0.0,1910ac1e44d7461a64b41a7cb683fe8f76dd2a9fd558b1fa873fad485ec90b47,a9ed13a2da4f61f13b20f8f7685897035cfc1264038a1a66a9c6e9f2db2751e1
56,baseline_72,raw_stress_payoff,conditional_mean,5603,2023-09,-0.005251707024780838,46,opencl,opencl:auto,0.0,1910ac1e44d7461a64b41a7cb683fe8f76dd2a9fd558b1fa873fad485ec90b47,a9ed13a2da4f61f13b20f8f7685897035cfc1264038a1a66a9c6e9f2db2751e1
56,baseline_72,raw_stress_payoff,conditional_mean,5603,2023-10,0.0050541298584572125,46,opencl,opencl:auto,0.0,1910ac1e44d7461a64b41a7cb683fe8f76dd2a9fd558b1fa873fad485ec90b47,a9ed13a2da4f61f13b20f8f7685897035cfc1264038a1a66a9c6e9f2db2751e1
