scope,member,trades,total_net_bps,mean_net_bps,median_net_bps,positive_rate,profit_factor,day_block_lower_95_mean_net_bps,day_block_median_mean_net_bps,day_block_upper_95_mean_net_bps,bootstrap_samples,bootstrap_seed
overall,all,180,3360.0398031920195,18.66688779551122,15.033994197845459,0.5777777777777777,1.5815543969877868,-0.17872218697091233,18.544897782630002,39.46091218121491,50000,3939
candidate,rolling_per_symbol_direct_h30_equal,131,1449.6736051291227,11.066210726176509,12.322737693786621,0.549618320610687,1.3092414460418966,,,,,
candidate,rolling_per_symbol_direct_h30_utility,10,693.650571346283,69.3650571346283,25.947645902633667,0.6,2.6332596074004533,,,,,
candidate,rolling_shared_hurdle_h120_equal,38,1239.1441431045532,32.609056397488246,39.549150466918945,0.6842105263157895,2.927972373877807,,,,,
candidate,rolling_shared_hurdle_h120_utility,1,-22.428516387939453,-22.428516387939453,-22.428516387939453,0.0,0.0,,,,,
month,2025-01,30,1995.38094997406,66.51269833246867,39.279178619384766,0.6333333333333333,5.9959395412895535,,,,,
month,2025-02,30,1216.8135441988707,40.560451473295686,25.211268424987793,0.6333333333333333,2.366643779710593,,,,,
month,2025-03,30,-75.79218935966492,-2.5264063119888305,14.476912498474121,0.5666666666666667,0.9466221882927687,,,,,
month,2025-04,30,-557.4183919429779,-18.58061306476593,4.456860303878784,0.5333333333333333,0.6368556380984163,,,,,
month,2025-05,30,404.7756974697113,13.492523248990377,2.208432674407959,0.5,1.9698839282038487,,,,,
month,2025-06,30,376.28019285202026,12.542673095067341,23.425766944885254,0.6,1.3372653951961495,,,,,
symbol,BTCUSDT,60,484.2734363079071,8.071223938465119,9.699441909790039,0.55,1.38663158293798,,,,,
symbol,ETHUSDT,60,-68.72007377445698,-1.1453345629076164,-2.5449531078338623,0.48333333333333334,0.9759849669771383,,,,,
symbol,SOLUSDT,60,2944.4864406585693,49.07477401097616,52.27393913269043,0.7,2.7699496900278335,,,,,
