candidate_id,role,period,symbol,horizon_hours,rows,pinball_loss,baseline_pinball_loss,median_spearman,coverage_80,coverage_50
cost_aware_utility,evaluation,2024-10,ALL,1,2232,14.256193450411805,14.885968513203224,0.06215167125099745,0.7804659498207885,0.4560931899641577
cost_aware_utility,evaluation,2024-10,BTCUSDT,1,744,10.762592614762992,11.135801489866669,0.05402971575361526,0.7755376344086021,0.46639784946236557
cost_aware_utility,evaluation,2024-10,ETHUSDT,1,744,13.776730102145262,14.106158464144094,0.07294322730520017,0.7553763440860215,0.4475806451612903
cost_aware_utility,evaluation,2024-10,SOLUSDT,1,744,18.229257634327155,19.08339782256084,0.0750526023433303,0.8104838709677419,0.4543010752688172
cost_aware_utility,evaluation,2024-11,ALL,1,2160,19.467046749568127,20.072354064233394,0.06886158430865766,0.7527777777777778,0.4425925925925926
cost_aware_utility,evaluation,2024-11,BTCUSDT,1,720,14.412403989721309,14.83235988677293,0.0473214968907476,0.7527777777777778,0.44583333333333336
cost_aware_utility,evaluation,2024-11,ETHUSDT,1,720,19.461870354674264,19.965963320126345,0.08708636269231486,0.75,0.4375
cost_aware_utility,evaluation,2024-11,SOLUSDT,1,720,24.526865904308806,24.738109684241312,0.07123120093467258,0.7555555555555555,0.4444444444444444
cost_aware_utility,evaluation,2024-12,ALL,1,2232,19.198116890533644,19.89055765488413,0.052997570068646256,0.7773297491039427,0.4681899641577061
cost_aware_utility,evaluation,2024-12,BTCUSDT,1,744,14.40116305289476,14.860118696120008,0.020439451187193633,0.7580645161290323,0.4650537634408602
cost_aware_utility,evaluation,2024-12,ETHUSDT,1,744,19.04637634703225,19.832745314040974,0.06819826936374045,0.7782258064516129,0.4637096774193548
cost_aware_utility,evaluation,2024-12,SOLUSDT,1,744,24.146811271673922,24.638339527314546,0.0574812419522474,0.7956989247311828,0.47580645161290325
cost_aware_utility,evaluation,2025-01,ALL,1,2232,19.792770295860034,20.665657569528133,-0.007103334213889346,0.7862903225806451,0.4923835125448029
cost_aware_utility,evaluation,2025-01,BTCUSDT,1,744,13.34748703380328,13.680729493921563,-0.004114872241956901,0.7768817204301075,0.5053763440860215
cost_aware_utility,evaluation,2025-01,ETHUSDT,1,744,18.022670491184034,18.372965029365112,0.026218000027389943,0.7916666666666666,0.478494623655914
cost_aware_utility,evaluation,2025-01,SOLUSDT,1,744,28.008153362592793,29.090682439926972,-0.023804101322963237,0.7903225806451613,0.4932795698924731
cost_aware_utility,evaluation,2025-02,ALL,1,2016,21.817659061946923,23.198420724642133,0.05180062874076517,0.7554563492063492,0.4444444444444444
cost_aware_utility,evaluation,2025-02,BTCUSDT,1,672,12.897037490034057,13.385172459686242,0.027922054196017124,0.7708333333333334,0.47172619047619047
cost_aware_utility,evaluation,2025-02,ETHUSDT,1,672,23.440708081271076,24.748942756216223,0.038130112768385245,0.75,0.44642857142857145
cost_aware_utility,evaluation,2025-02,SOLUSDT,1,672,29.115231614535634,30.14182083917001,0.07139001657977129,0.7455357142857143,0.41517857142857145
cost_aware_utility,evaluation,2025-03,ALL,1,2232,20.368501977124147,21.277051729819828,0.020925367247005184,0.7827060931899642,0.4852150537634409
cost_aware_utility,evaluation,2025-03,BTCUSDT,1,744,15.078257350505664,15.878147285941308,0.026738030086391952,0.7728494623655914,0.4637096774193548
cost_aware_utility,evaluation,2025-03,ETHUSDT,1,744,19.770484475294484,20.46669259642741,0.021429568372428588,0.7849462365591398,0.4825268817204301
cost_aware_utility,evaluation,2025-03,SOLUSDT,1,744,26.25676410557229,27.06568847112149,0.012435076463351798,0.7903225806451613,0.5094086021505376
cost_aware_utility,evaluation,2025-04,ALL,1,2160,19.237161904183736,20.02933320858109,0.023165219583110158,0.7944444444444444,0.4949074074074074
cost_aware_utility,evaluation,2025-04,BTCUSDT,1,720,12.805341129305177,13.309872716088263,0.04115745465043978,0.8055555555555556,0.5
cost_aware_utility,evaluation,2025-04,ETHUSDT,1,720,20.589925085477713,21.26020015453051,0.0341771492614762,0.7930555555555555,0.5
cost_aware_utility,evaluation,2025-04,SOLUSDT,1,720,24.316219497768312,24.92032010277112,0.009098043820109092,0.7847222222222222,0.4847222222222222
cost_aware_utility,evaluation,2025-05,ALL,1,2232,16.96025946186689,17.564635203032644,0.056122433438674804,0.7661290322580645,0.45654121863799285
cost_aware_utility,evaluation,2025-05,BTCUSDT,1,744,10.245971816079342,10.412691706168193,0.019873411856988384,0.7809139784946236,0.4852150537634409
cost_aware_utility,evaluation,2025-05,ETHUSDT,1,744,20.414520073176426,21.11143009335063,0.05635150850093403,0.7567204301075269,0.4583333333333333
cost_aware_utility,evaluation,2025-05,SOLUSDT,1,744,20.220286496344897,20.70651190770602,0.0834461620389287,0.760752688172043,0.4260752688172043
cost_aware_utility,evaluation,2025-06,ALL,1,2088,14.72867554807802,15.40098691537366,0.02964084083879185,0.8055555555555556,0.507183908045977
cost_aware_utility,evaluation,2025-06,BTCUSDT,1,696,8.581839557695828,8.926946332157959,0.006717701087732199,0.8117816091954023,0.5316091954022989
cost_aware_utility,evaluation,2025-06,ETHUSDT,1,696,16.245745282625183,16.54036913492813,0.04972695513755977,0.8045977011494253,0.5129310344827587
cost_aware_utility,evaluation,2025-06,SOLUSDT,1,696,19.358441803913053,20.02517553404967,0.036774698710306274,0.8002873563218391,0.47701149425287354
cost_aware_utility,evaluation,2024-10,ALL,4,2232,26.845971582230778,27.874766448363502,-0.043390962861224416,0.7952508960573477,0.4905913978494624
