candidate_id,scenario,month,return_fraction,maximum_drawdown_fraction,closed_trades,active_days,mean_net_payoff_bps
direct_barrier_mean_tcn,base,2025-01,0.016399479420979815,0.010565267293941819,21,10,23.42782774425688
direct_barrier_mean_tcn,base,2025-02,-0.029244590104122954,0.031233505483964974,30,9,-29.244590104122956
direct_barrier_mean_tcn,base,2025-03,-0.013358185879389445,0.01959999999999995,14,8,-28.624684027263097
direct_barrier_mean_tcn,base,2025-04,-0.013009008534749343,0.026952254231770834,16,7,-24.39189100265503
direct_barrier_mean_tcn,base,2025-05,-0.0010861227671305337,0.0018059407922425082,4,3,-8.145920753479004
direct_barrier_mean_tcn,base,2025-06,-0.0027285980224609372,0.005220735169091492,5,3,-16.371588134765624
direct_barrier_mean_tcn,stress,2025-01,0.013599479420979818,0.01175599586502755,21,10,19.42782774425688
direct_barrier_mean_tcn,stress,2025-02,-0.03324459010412295,0.03510017215063188,30,9,-33.244590104122956
direct_barrier_mean_tcn,stress,2025-03,-0.01522485254605611,0.02080000000000004,14,8,-32.62468402726309
direct_barrier_mean_tcn,stress,2025-04,-0.015142341868082686,0.028152254231770812,16,7,-28.39189100265503
direct_barrier_mean_tcn,stress,2025-05,-0.0016194561004638673,0.0019399534676987301,4,3,-12.145920753479004
direct_barrier_mean_tcn,stress,2025-06,-0.003395264689127604,0.005488925531126357,5,3,-20.371588134765624
competing_risk_barrier_tcn,base,2025-01,-0.15273350533147645,0.16828030054431822,172,16,-26.639564883397068
competing_risk_barrier_tcn,base,2025-02,-0.11189034799734755,0.11255701466401402,147,19,-22.83476489741786
competing_risk_barrier_tcn,base,2025-03,-0.02743287330865858,0.04950292901595432,116,21,-7.094708614308258
competing_risk_barrier_tcn,base,2025-04,-0.02734379901885986,0.04745890561070502,92,20,-8.916456201802129
competing_risk_barrier_tcn,base,2025-05,-0.04006417617797852,0.043502765923924984,33,15,-36.421978343616836
competing_risk_barrier_tcn,base,2025-06,0.0021997998972733863,0.01104860674540209,50,17,1.319879938364029
competing_risk_barrier_tcn,stress,2025-01,-0.17566683866480984,0.18772677969197926,172,16,-30.639564883397068
competing_risk_barrier_tcn,stress,2025-02,-0.13149034799734752,0.1314903479973477,147,18,-26.83476489741786
competing_risk_barrier_tcn,stress,2025-03,-0.042899539975325286,0.061369595682621014,116,20,-11.094708614308258
competing_risk_barrier_tcn,stress,2025-04,-0.03961046568552654,0.05602058285181793,92,20,-12.916456201802129
competing_risk_barrier_tcn,stress,2025-05,-0.044464176177978515,0.04657499446961856,33,15,-40.421978343616836
competing_risk_barrier_tcn,stress,2025-06,-0.004466866769393286,0.011715273412068683,50,17,-2.680120061635971
