model,model_digest,model_metadata_sha256,case_set_sha256,cases,batches,valid_responses,approvals,vetoes,cooldowns,provider_failures,average_batch_latency_seconds,retained_active_days,maximum_retained_symbol_fraction,baseline_total_net_bps,ai_total_net_bps,baseline_mean_case_net_bps,ai_mean_retained_case_net_bps,ai_profit_factor,ai_median_monthly_net_bps,ai_negative_month_fraction,baseline_max_drawdown_bps,ai_max_drawdown_bps,matched_days,positive_daily_delta_rate,exact_sign_test_p_value,mean_daily_delta_bps,bootstrap_delta_lower_95_bps,bootstrap_delta_upper_95_bps,uplift_gate_passed,btcusdt_retained,ethusdt_retained,solusdt_retained,uplift_gate_reasons
qwen3:8b,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,eea2062b2476b07f0304e0aba224d618597123483ee0d9db2471414ff50e1c5b,fb94623fc8c5906bfb8f18a951def9ca19bae7d66ca3d2e91ef4d3cb93e5985f,180,15,180,0,180,0,0,34.621643373335246,0,1.0,3360.0398031920195,0.0,18.66688779551122,0.0,,0.0,0.0,1067.109412431717,0.0,95,0.4105263157894737,0.9678935966864345,-18.56375581874044,-39.160276638335695,0.9667489233061315,False,0,0,0,ai_retained_trades<90;BTCUSDT_ai_retained_trades<20;ETHUSDT_ai_retained_trades<20;SOLUSDT_ai_retained_trades<20;ai_retained_active_days<45;ai_retained_symbol_fraction>0.50;ai_positive_daily_delta_rate<0.55;ai_exact_sign_test_p_value>0.05;ai_block_bootstrap_delta_lower_95<=0;ai_mean_retained_net_bps<=0;ai_profit_factor<1.05;ai_median_monthly_net_bps<=0
fino1:8b,083c6422a2dd90d62ec33638ab84271edddd2cf1fa6a9841898ea18a35e27b87,f170a767d32e869d3953e4dcc401f31311521ef9b3bb5b1922e6ca3848132240,fb94623fc8c5906bfb8f18a951def9ca19bae7d66ca3d2e91ef4d3cb93e5985f,180,15,180,97,83,0,0,23.142484733330395,76,0.35051546391752575,3360.0398031920195,221.3828866410255,18.66688779551122,2.2822978004229437,1.1082632676495765,69.41215952396391,0.3333333333333333,1067.109412431717,908.0248352646826,95,0.3894736842105263,0.9882559985815395,-17.340645947795544,-31.023617332144426,-4.628375759929583,False,30,34,33,ai_positive_daily_delta_rate<0.55;ai_exact_sign_test_p_value>0.05;ai_block_bootstrap_delta_lower_95<=0
