round,treatment,interval,controller,symbol,closed_trades,active_days,total_initial_capital_return_fraction,mean_trade_initial_capital_bps,mean_stress_payoff_bps,positive_trade_fraction,stop_loss_fraction,mean_stop_bps
55,baseline_71,policy_development,all_view_consensus,BTCUSDT,6,6,0.0010345133372277543,1.7241888953795905,55.92142645517985,0.8333333333333334,0.0,157.7982546488444
55,baseline_71,policy_development,all_view_consensus,ETHUSDT,11,11,4.1760647060778825e-05,0.03796422460070802,17.881564313715156,0.7272727272727273,0.18181818181818182,154.83298076282847
55,baseline_71,policy_development,all_view_consensus,SOLUSDT,10,10,0.001371128283929353,1.371128283929353,46.06019954681396,0.6,0.0,183.59160919189452
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,19,18,-0.0039949892803315245,-2.102625937016592,-36.37130147532413,0.3684210526315789,0.21052631578947367,152.01105539422286
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,21,17,0.0015163335772101038,0.7220636081952875,7.0809819130670455,0.5714285714285714,0.23809523809523808,156.13640667143324
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,21,19,0.001945193995451446,0.926282854976879,33.40404029119583,0.5714285714285714,0.09523809523809523,190.52211289178757
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,12,12,-0.002245718907224736,-1.8714324226872803,-32.675849278767906,0.5,0.16666666666666666,141.4161408742269
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,15,14,0.000505968018473938,0.33731201231595864,14.696715609232585,0.6,0.2,160.7805201212565
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,16,16,-0.00035473345138261757,-0.22170840711413597,-1.5727306604385376,0.5,0.125,176.61689281463623
55,baseline_71,development_holdout,all_view_consensus,BTCUSDT,2,2,-0.0002603701409013992,-1.301850704506996,-58.48573112487793,0.5,0.5,158.05023956298828
55,baseline_71,development_holdout,all_view_consensus,ETHUSDT,3,3,-4.1305214067998596e-05,-0.13768404689332867,-33.23938751220703,0.6666666666666666,0.3333333333333333,162.88514963785806
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,2,2,0.0012020889720785258,6.010444860392629,13.799606323242188,0.5,0.5,146.73549270629883
55,baseline_71,development_holdout,majority_view_consensus,BTCUSDT,7,7,-0.0005423686846981717,-0.7748124067116738,-26.06962445804051,0.42857142857142855,0.14285714285714285,158.31455557686942
55,baseline_71,development_holdout,majority_view_consensus,ETHUSDT,10,9,-0.0015417180117228153,-1.5417180117228153,-23.188461577892305,0.3,0.2,142.18413238525392
55,baseline_71,development_holdout,majority_view_consensus,SOLUSDT,4,3,0.0007010562414933184,1.752640603733296,3.675345540046692,0.25,0.25,161.8817081451416
55,baseline_71,development_holdout,pooled_nine_consensus,BTCUSDT,6,6,-0.0005196937545314988,-0.866156257552498,-29.6306711435318,0.5,0.16666666666666666,158.77220662434897
55,baseline_71,development_holdout,pooled_nine_consensus,ETHUSDT,9,8,-0.0013523653180270803,-1.5026281311412002,-23.001534236801994,0.3333333333333333,0.2222222222222222,145.3221147325304
55,baseline_71,development_holdout,pooled_nine_consensus,SOLUSDT,3,3,0.0007377667799878806,2.4592225999596025,7.1477430661519366,0.3333333333333333,0.3333333333333333,154.62600453694662
55,ai_program_augmented,policy_development,all_view_consensus,BTCUSDT,4,4,0.0013497443478018276,3.374360869504569,81.55478858947754,1.0,0.0,168.4008388519287
55,ai_program_augmented,policy_development,all_view_consensus,ETHUSDT,6,6,0.002041088667009178,3.4018144450152965,67.09437799453735,1.0,0.0,159.80248006184897
55,ai_program_augmented,policy_development,all_view_consensus,SOLUSDT,4,4,0.0002678577932664748,0.669644483166187,41.884334087371826,0.5,0.0,199.1634521484375
55,ai_program_augmented,policy_development,majority_view_consensus,BTCUSDT,10,10,-0.001532828987788846,-1.532828987788846,-25.163862228393555,0.5,0.1,138.69749603271484
55,ai_program_augmented,policy_development,majority_view_consensus,ETHUSDT,16,14,0.0025204842038986323,1.575302627436645,40.568211138248444,0.6875,0.125,161.2567629814148
55,ai_program_augmented,policy_development,majority_view_consensus,SOLUSDT,11,11,-0.0013661573790958914,-1.2419612537235378,-19.94757218794389,0.2727272727272727,0.18181818181818182,173.4164484197443
55,ai_program_augmented,policy_development,pooled_nine_consensus,BTCUSDT,7,7,-0.00035122860497057687,-0.5017551499579669,-6.981351579938616,0.7142857142857143,0.14285714285714285,142.79047284807478
