baseline_brier,baseline_log_loss,brier,brier_skill,candidate_id,evaluation_prevalence,expected_calibration_error_10_bin,horizon_minutes,log_loss,log_loss_skill,roc_auc,rows,side,training_prevalence
0.21219185664746085,0.6156342143262934,0.20376957952976227,0.03969180180034659,single_logistic_tcn,0.3044551921797431,0.009655805505410632,15,0.5941161773294661,0.034952633391851284,0.6181996273470824,156312,short,0.2837277101107117
0.21298676403132882,0.6172915444816259,0.20453965663909912,0.039660245699527086,single_logistic_tcn,0.30662393162393164,0.005468653335618621,15,0.5958022890673513,0.034812165509767845,0.6180007360929869,156312,long,0.2871029723259159
0.228274898563268,0.6491142166509716,0.22319971024990082,0.02223279188955829,single_logistic_tcn,0.3512526229592098,0.01621111377538321,30,0.6375004641723532,0.0178916932963481,0.5845685461992709,156312,short,0.3312356116992056
0.22969158808931933,0.6520291001730546,0.22386766970157623,0.025355383870124037,single_logistic_tcn,0.3560507190746712,0.006785977481091219,30,0.6386410092521176,0.020532965349834287,0.5877872643554236,156312,long,0.33572872192285186
0.23685427654539548,0.6666327117514061,0.23550137877464294,0.005711941496201911,single_logistic_tcn,0.3847625262295921,0.02935276140171796,60,0.6637778798621575,0.004282465950025571,0.5544107178891671,156312,short,0.3731887668411787
0.2399458145948184,0.6729382595796084,0.23617587983608246,0.015711608744257477,single_logistic_tcn,0.39764061620349045,0.01052753744517545,60,0.66487356924862,0.011984294571134257,0.5666801164992381,156312,long,0.37706738004532714
0.2429525097868183,0.6789908494770013,0.2433975636959076,-0.0018318555732550479,single_logistic_tcn,0.4153871743692103,0.0353614209521341,120,0.6799939804968542,-0.001477385182179658,0.5346357770441998,156312,short,0.40481172884456673
0.2456459453854655,0.6844315253316184,0.24383600056171417,0.007368103800415526,single_logistic_tcn,0.43099058293669074,0.01916720123631822,120,0.6808541734464827,0.005226749138129594,0.5491162393198592,156312,long,0.4107855086016807
0.21219185664746085,0.6156342143262934,0.20371489226818085,0.03994952734384982,state_mixture_logistic_tcn,0.3044551921797431,0.005564983747413354,15,0.5938516469347004,0.035382321002789485,0.6179052458327093,156312,short,0.2837277101107117
0.21298676403132882,0.6172915444816259,0.2046595811843872,0.03909718467630574,state_mixture_logistic_tcn,0.30662393162393164,0.008686120836732952,15,0.5959113805213324,0.03463543952841219,0.6171415882853288,156312,long,0.2871029723259159
0.228274898563268,0.6491142166509716,0.22333383560180664,0.02164523122147788,state_mixture_logistic_tcn,0.3512526229592098,0.0158675760666595,30,0.6377735652653251,0.01747096442311369,0.5827967362877926,156312,short,0.3312356116992056
0.22969158808931933,0.6520291001730546,0.22435159981250763,0.023248514763784756,state_mixture_logistic_tcn,0.3560507190746712,0.009730639440503279,30,0.6395546345059873,0.01913176216177548,0.5845038583435229,156312,long,0.33572872192285186
0.23685427654539548,0.6666327117514061,0.235613614320755,0.0052380824308345675,state_mixture_logistic_tcn,0.3847625262295921,0.02960146093232285,60,0.6641799730075069,0.0036792955110999115,0.5525336525521016,156312,short,0.3731887668411787
0.2399458145948184,0.6729382595796084,0.23723377287387848,0.011302725682127757,state_mixture_logistic_tcn,0.39764061620349045,0.015561832741846292,60,0.6670454835606642,0.008756785537243017,0.5594727097302916,156312,long,0.37706738004532714
0.2429525097868183,0.6789908494770013,0.2439204603433609,-0.003984114250937143,state_mixture_logistic_tcn,0.4153871743692103,0.03828333644918513,120,0.6814207243513432,-0.0035786562900126384,0.5351838961276191,156312,short,0.40481172884456673
0.2456459453854655,0.6844315253316184,0.24555836617946625,0.0003565261615119386,state_mixture_logistic_tcn,0.43099058293669074,0.023497047670417406,120,0.6843224658739392,0.00015934312439280784,0.5372975946150244,156312,long,0.4107855086016807
