candidate_id,symbol,side,direct_mean_risk_units,stop_residual_mean_risk_units,take_residual_mean_risk_units,training_stop_probability,training_take_probability,training_timeout_probability,pooled_timeout_profit_probability,pooled_timeout_mean_risk_units
direct_barrier_mean_tcn,BTCUSDT,short,-0.3227561779203573,0.0008951382251064991,0.0013182438539947189,0.2753842026597173,0.07922814547963053,0.6453876518606523,0.4296051813287372,-0.059589885193880684
direct_barrier_mean_tcn,BTCUSDT,long,-0.3198868268374137,-0.001225835616602467,-0.0011060113172581848,0.27915149656996124,0.07746522055723758,0.6433832828728011,0.4450856067143924,-0.04093500939455886
direct_barrier_mean_tcn,ETHUSDT,short,-0.2774711968635942,0.0009943175149737045,0.0009401341136803336,0.30663013068639083,0.09549304411144752,0.5978768252021615,0.4296051813287372,-0.059589885193880684
direct_barrier_mean_tcn,ETHUSDT,long,-0.28377447669503986,-0.00091719059747338,-0.0009864718617501672,0.31394626911432183,0.08916567661825009,0.5968880542674281,0.4450856067143924,-0.04093500939455886
direct_barrier_mean_tcn,SOLUSDT,short,-0.17028362777463596,1.3174589266509693e-05,-0.0004378698856175282,0.3860843904495459,0.13169049170275554,0.4822251178476986,0.4296051813287372,-0.059589885193880684
direct_barrier_mean_tcn,SOLUSDT,long,-0.19695493865972216,0.00032110765153450105,9.416567186788338e-05,0.4019967040968842,0.12410608209098226,0.4738972138121335,0.4450856067143924,-0.04093500939455886
competing_risk_barrier_tcn,BTCUSDT,short,-0.3227561779203573,0.0008951382251064991,0.0013182438539947189,0.2753842026597173,0.07922814547963053,0.6453876518606523,0.4296051813287372,-0.059589885193880684
competing_risk_barrier_tcn,BTCUSDT,long,-0.3198868268374137,-0.001225835616602467,-0.0011060113172581848,0.27915149656996124,0.07746522055723758,0.6433832828728011,0.4450856067143924,-0.04093500939455886
competing_risk_barrier_tcn,ETHUSDT,short,-0.2774711968635942,0.0009943175149737045,0.0009401341136803336,0.30663013068639083,0.09549304411144752,0.5978768252021615,0.4296051813287372,-0.059589885193880684
competing_risk_barrier_tcn,ETHUSDT,long,-0.28377447669503986,-0.00091719059747338,-0.0009864718617501672,0.31394626911432183,0.08916567661825009,0.5968880542674281,0.4450856067143924,-0.04093500939455886
competing_risk_barrier_tcn,SOLUSDT,short,-0.17028362777463596,1.3174589266509693e-05,-0.0004378698856175282,0.3860843904495459,0.13169049170275554,0.4822251178476986,0.4296051813287372,-0.059589885193880684
competing_risk_barrier_tcn,SOLUSDT,long,-0.19695493865972216,0.00032110765153450105,9.416567186788338e-05,0.4019967040968842,0.12410608209098226,0.4738972138121335,0.4450856067143924,-0.04093500939455886
