round,treatment,interval,controller,symbol,stage,relation,eligible_rows,total_rows,eligible_fraction
55,baseline_71,policy_development,majority_view_consensus,ALL,all_rows,denominator,4461,4461,1.0
55,baseline_71,policy_development,majority_view_consensus,ALL,any_view_vote,independent_model_stage,201,4461,0.04505716207128446
55,baseline_71,policy_development,majority_view_consensus,ALL,two_view_side_agreement,independent_model_stage,70,4461,0.015691548980049316
55,baseline_71,policy_development,majority_view_consensus,ALL,all_view_positive,exact_rule_stage,31,4461,0.006949114548307554
55,baseline_71,policy_development,majority_view_consensus,ALL,all_view_positive_preferred,exact_rule_stage,31,4461,0.006949114548307554
55,baseline_71,policy_development,majority_view_consensus,ALL,all_view_seed_supported,exact_rule_stage,31,4461,0.006949114548307554
55,baseline_71,policy_development,majority_view_consensus,ALL,controller_model_eligible,controller_stage,70,4461,0.015691548980049316
55,baseline_71,policy_development,majority_view_consensus,ALL,liquidity_eligible,market_gate,3062,4461,0.6863931853844429
55,baseline_71,policy_development,majority_view_consensus,ALL,volatility_eligible,market_gate,4426,4461,0.9921542255099753
55,baseline_71,policy_development,majority_view_consensus,ALL,model_plus_liquidity,controller_stage,68,4461,0.015243219009190765
55,baseline_71,policy_development,majority_view_consensus,ALL,model_plus_volatility,controller_stage,67,4461,0.015019054023761488
55,baseline_71,policy_development,majority_view_consensus,ALL,market_eligible,controller_stage,65,4461,0.014570724052902937
55,baseline_71,policy_development,majority_view_consensus,ALL,market_eligible_long,controller_side,61,4461,0.013674064111185833
55,baseline_71,policy_development,majority_view_consensus,ALL,market_eligible_short,controller_side,4,4461,0.0008966599417171038
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,all_rows,denominator,1487,1487,1.0
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,any_view_vote,independent_model_stage,56,1487,0.03765971755211836
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,two_view_side_agreement,independent_model_stage,21,1487,0.014122394082044385
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,all_view_positive,exact_rule_stage,7,1487,0.004707464694014795
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,all_view_positive_preferred,exact_rule_stage,7,1487,0.004707464694014795
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,all_view_seed_supported,exact_rule_stage,7,1487,0.004707464694014795
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,controller_model_eligible,controller_stage,21,1487,0.014122394082044385
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,liquidity_eligible,market_gate,992,1487,0.6671149966375253
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,volatility_eligible,market_gate,1474,1487,0.9912575655682583
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,model_plus_liquidity,controller_stage,20,1487,0.013449899125756557
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,model_plus_volatility,controller_stage,21,1487,0.014122394082044385
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,market_eligible,controller_stage,20,1487,0.013449899125756557
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,market_eligible_long,controller_side,19,1487,0.012777404169468728
55,baseline_71,policy_development,majority_view_consensus,BTCUSDT,market_eligible_short,controller_side,1,1487,0.0006724949562878278
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,all_rows,denominator,1487,1487,1.0
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,any_view_vote,independent_model_stage,65,1487,0.04371217215870881
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,two_view_side_agreement,independent_model_stage,25,1487,0.016812373907195696
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,all_view_positive,exact_rule_stage,13,1487,0.008742434431741762
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,all_view_positive_preferred,exact_rule_stage,13,1487,0.008742434431741762
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,all_view_seed_supported,exact_rule_stage,13,1487,0.008742434431741762
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,controller_model_eligible,controller_stage,25,1487,0.016812373907195696
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,liquidity_eligible,market_gate,991,1487,0.6664425016812374
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,volatility_eligible,market_gate,1472,1487,0.9899125756556826
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,model_plus_liquidity,controller_stage,24,1487,0.01613987895090787
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,model_plus_volatility,controller_stage,23,1487,0.01546738399462004
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,market_eligible,controller_stage,22,1487,0.014794889038332213
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,market_eligible_long,controller_side,22,1487,0.014794889038332213
55,baseline_71,policy_development,majority_view_consensus,ETHUSDT,market_eligible_short,controller_side,0,1487,0.0
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,all_rows,denominator,1487,1487,1.0
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,any_view_vote,independent_model_stage,80,1487,0.05379959650302623
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,two_view_side_agreement,independent_model_stage,24,1487,0.01613987895090787
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,all_view_positive,exact_rule_stage,11,1487,0.007397444519166106
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,all_view_positive_preferred,exact_rule_stage,11,1487,0.007397444519166106
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,all_view_seed_supported,exact_rule_stage,11,1487,0.007397444519166106
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,controller_model_eligible,controller_stage,24,1487,0.01613987895090787
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,liquidity_eligible,market_gate,1079,1487,0.7256220578345662
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,volatility_eligible,market_gate,1480,1487,0.9952925353059852
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,model_plus_liquidity,controller_stage,24,1487,0.01613987895090787
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,model_plus_volatility,controller_stage,23,1487,0.01546738399462004
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,market_eligible,controller_stage,23,1487,0.01546738399462004
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,market_eligible_long,controller_side,20,1487,0.013449899125756557
55,baseline_71,policy_development,majority_view_consensus,SOLUSDT,market_eligible_short,controller_side,3,1487,0.0020174848688634837
55,baseline_71,policy_development,pooled_nine_consensus,ALL,all_rows,denominator,4461,4461,1.0
55,baseline_71,policy_development,pooled_nine_consensus,ALL,any_view_vote,independent_model_stage,201,4461,0.04505716207128446
55,baseline_71,policy_development,pooled_nine_consensus,ALL,two_view_side_agreement,independent_model_stage,70,4461,0.015691548980049316
55,baseline_71,policy_development,pooled_nine_consensus,ALL,all_view_positive,exact_rule_stage,31,4461,0.006949114548307554
55,baseline_71,policy_development,pooled_nine_consensus,ALL,all_view_positive_preferred,exact_rule_stage,31,4461,0.006949114548307554
55,baseline_71,policy_development,pooled_nine_consensus,ALL,all_view_seed_supported,exact_rule_stage,31,4461,0.006949114548307554
55,baseline_71,policy_development,pooled_nine_consensus,ALL,controller_model_eligible,controller_stage,50,4461,0.011208249271463798
55,baseline_71,policy_development,pooled_nine_consensus,ALL,liquidity_eligible,market_gate,3062,4461,0.6863931853844429
55,baseline_71,policy_development,pooled_nine_consensus,ALL,volatility_eligible,market_gate,4426,4461,0.9921542255099753
55,baseline_71,policy_development,pooled_nine_consensus,ALL,model_plus_liquidity,controller_stage,49,4461,0.01098408428603452
55,baseline_71,policy_development,pooled_nine_consensus,ALL,model_plus_volatility,controller_stage,47,4461,0.01053575431517597
55,baseline_71,policy_development,pooled_nine_consensus,ALL,market_eligible,controller_stage,46,4461,0.010311589329746693
