candidate_id,architecture,weighting,horizon_minutes,evaluation_month,maximum_action_probability,direction_probability_margin,evaluation_rows,multiclass_log_loss,balanced_accuracy,total_trades,btcusdt_trades,ethusdt_trades,solusdt_trades,mean_net_bps,profit_factor,day_block_lower_95_net_bps,day_block_upper_95_net_bps
rolling_shared_hurdle_h120_equal,shared_two_stage_hurdle_lightgbm,equal,120,2025-01,0.4,0.05,26712,0.9967676997184753,0.3635064269650499,884,275,311,298,-11.537497218150426,0.7463016422255592,-17.878295196783963,-6.122065305059361
rolling_shared_hurdle_h120_equal,shared_two_stage_hurdle_lightgbm,equal,120,2025-02,0.4,0.1,24120,0.9618604779243469,0.4058855216048503,222,81,87,54,-21.924592115186357,0.6396480620430423,-40.742835700662134,11.754003762828669
rolling_shared_hurdle_h120_equal,shared_two_stage_hurdle_lightgbm,equal,120,2025-03,0.4,0.05,26712,0.9777353405952454,0.37356624989165277,736,230,258,248,-11.5673076563411,0.7494012464281808,-21.737948980055624,-1.7038652162988863
rolling_shared_hurdle_h120_equal,shared_two_stage_hurdle_lightgbm,equal,120,2025-04,0.4,0.05,25848,0.9825742244720459,0.38395822953579956,789,236,282,271,-9.229530661788276,0.7901820907218318,-20.34122696545962,1.7172610200206109
rolling_shared_hurdle_h120_equal,shared_two_stage_hurdle_lightgbm,equal,120,2025-05,0.4,0.05,26712,1.001415729522705,0.37321769618851564,780,211,283,286,-9.985942113065185,0.7505312091212127,-16.230440581158376,-2.2075630285673937
rolling_shared_hurdle_h120_equal,shared_two_stage_hurdle_lightgbm,equal,120,2025-06,0.45,0.1,25848,1.0154774188995361,0.408749811181071,318,77,128,113,-10.554017471700156,0.7488661660803037,-28.72274898687752,5.761801226025534
rolling_shared_hurdle_h120_utility,shared_two_stage_hurdle_lightgbm,bounded_economic_utility,120,2025-01,0.4,0.05,26712,0.9967877268791199,0.35529881916693506,666,199,242,225,-14.49929241836071,0.7082332731911307,-21.232658805573454,-8.708197488207377
rolling_shared_hurdle_h120_utility,shared_two_stage_hurdle_lightgbm,bounded_economic_utility,120,2025-02,0.4,0.1,24120,0.962788462638855,0.3885657949084562,136,39,56,41,-8.733309236519476,0.8590825212218279,-35.350208264383014,27.112789661919223
rolling_shared_hurdle_h120_utility,shared_two_stage_hurdle_lightgbm,bounded_economic_utility,120,2025-03,0.4,0.05,26712,0.9758586883544922,0.36489278002489695,527,147,180,200,-13.533088298913876,0.7290771145680874,-22.879906964483908,-2.6620207204557453
rolling_shared_hurdle_h120_utility,shared_two_stage_hurdle_lightgbm,bounded_economic_utility,120,2025-04,0.4,0.05,25848,0.982546329498291,0.3672203130442259,448,115,167,166,-7.99998142041399,0.8329572860799223,-23.452745140399944,8.842921752101798
rolling_shared_hurdle_h120_utility,shared_two_stage_hurdle_lightgbm,bounded_economic_utility,120,2025-05,0.4,0.05,26712,1.0018831491470337,0.36318155147655334,642,167,246,229,-4.2125510271650235,0.8884047037990069,-9.086879887288212,1.4737961237517092
rolling_shared_hurdle_h120_utility,shared_two_stage_hurdle_lightgbm,bounded_economic_utility,120,2025-06,0.45,0.05,25848,1.0162253379821777,0.3906659278649908,377,55,154,168,-9.121575692920533,0.8034226464561833,-27.709024733669967,8.396406138269926
rolling_per_symbol_direct_h30_equal,per_symbol_direct_multiclass_lightgbm,equal,30,2025-01,0.5,0.2,26766,1.0449204444885254,0.432588767060589,182,56,106,20,5.634195978006164,1.2300706279830536,-6.168105019814387,16.40078652392267
rolling_per_symbol_direct_h30_equal,per_symbol_direct_multiclass_lightgbm,equal,30,2025-02,0.55,0.15,24174,1.028562307357788,0.44111718061985,111,26,40,45,9.276513715719318,1.2607366157582194,-7.322324552183703,23.979432678531584
rolling_per_symbol_direct_h30_equal,per_symbol_direct_multiclass_lightgbm,equal,30,2025-03,0.4,0.05,26766,1.052552342414856,0.4152894523345397,2545,618,886,1041,-13.221375487943881,0.5737235083679724,-16.62861811879329,-10.026152963561794
rolling_per_symbol_direct_h30_equal,per_symbol_direct_multiclass_lightgbm,equal,30,2025-04,0.4,0.15,25902,1.0503385066986084,0.4294885224976601,711,187,369,155,-13.456891904117438,0.5755985919406449,-21.79089808785763,-2.3676343633112755
rolling_per_symbol_direct_h30_equal,per_symbol_direct_multiclass_lightgbm,equal,30,2025-05,0.4,0.05,26766,1.053407073020935,0.42800537252046206,2140,282,925,933,-11.463390973897077,0.5715514050775924,-14.390749761133504,-8.50597823885422
rolling_per_symbol_direct_h30_equal,per_symbol_direct_multiclass_lightgbm,equal,30,2025-06,0.4,0.1,25848,1.036255955696106,0.44512907378768657,840,92,430,318,-13.376464569187235,0.5211181769799196,-17.335767658675284,-8.995047970312255
rolling_per_symbol_direct_h30_utility,per_symbol_direct_multiclass_lightgbm,bounded_economic_utility,30,2025-01,0.5,0.1,26766,1.0459957122802734,0.4187034507729545,317,45,50,222,-1.8588404111822696,0.9571082914769884,-11.596442061953072,11.987556416418004
rolling_per_symbol_direct_h30_utility,per_symbol_direct_multiclass_lightgbm,bounded_economic_utility,30,2025-02,0.5,0.15,24174,1.027870774269104,0.43564161415761665,127,32,29,66,8.055314372022321,1.1982180642185665,-8.558779914101745,34.932168186728305
rolling_per_symbol_direct_h30_utility,per_symbol_direct_multiclass_lightgbm,bounded_economic_utility,30,2025-03,0.4,0.05,26766,1.050872564315796,0.40453789947907776,2004,443,725,836,-14.393378083993813,0.5675879731571615,-18.157151018891266,-9.968172737808919
rolling_per_symbol_direct_h30_utility,per_symbol_direct_multiclass_lightgbm,bounded_economic_utility,30,2025-04,0.4,0.1,25902,1.0527338981628418,0.4212471150221218,724,180,324,220,-12.902475956528967,0.6251171198417278,-20.943883433093127,-0.6340337458752414
rolling_per_symbol_direct_h30_utility,per_symbol_direct_multiclass_lightgbm,bounded_economic_utility,30,2025-05,0.4,0.05,26766,1.0570969581604004,0.42254018317285164,1520,204,768,548,-11.9681928764416,0.578202008979024,-14.98449203416294,-8.822276905413801
rolling_per_symbol_direct_h30_utility,per_symbol_direct_multiclass_lightgbm,bounded_economic_utility,30,2025-06,0.4,0.05,25848,1.0426033735275269,0.44228628271173537,931,97,444,390,-13.795727328033458,0.5192293668776387,-17.831388815258634,-9.509908485048312
