candidate_id,conditional_gain_gamma_score,conditional_gain_gamma_score_skill,conditional_loss_gamma_score,conditional_loss_gamma_score_skill,gain_rows,horizon_minutes,loss_rows,month,scope,side,symbol,training_gain_baseline_gamma_score,training_loss_baseline_gamma_score
hurdle_action_value_tcn,4.1097254757616435,0.033024595160159764,4.268841637922132,0.01598486522782805,47590,15,108722,,pooled,short,,4.250082737566976,4.338186972002715
hurdle_action_value_tcn,4.100220356890236,0.03285011025676521,4.269687196925556,0.016177086509848837,47929,15,108383,,pooled,long,,4.239488005296458,4.339894038225507
hurdle_action_value_tcn,3.7006300368589535,0.04291495278788848,3.9829088096187903,0.014401791523721008,12000,15,40104,,symbol,short,BTCUSDT,3.866563423635654,4.041108004626258
hurdle_action_value_tcn,3.708522062917425,0.04120361672076844,3.978936380241715,0.014366548702953064,12148,15,39956,,symbol,long,BTCUSDT,3.8678932540751845,4.036933177344603
hurdle_action_value_tcn,4.142206559027795,0.03252487993071018,4.335929458843394,0.018376114612870698,16658,15,35446,,symbol,short,ETHUSDT,4.281460549322585,4.417098568392522
hurdle_action_value_tcn,4.117283093464849,0.029766405984561373,4.342170784961156,0.01944050612907089,16944,15,35160,,symbol,long,ETHUSDT,4.243599808191483,4.428258368923319
hurdle_action_value_tcn,4.340449930747105,0.028018091503310694,4.542839444683928,0.015214825123757714,18932,15,33172,,symbol,short,SOLUSDT,4.465566583909199,4.613025825916627
hurdle_action_value_tcn,4.337478936635496,0.030824359206868657,4.542291179132785,0.014768320847102445,18837,15,33267,,symbol,long,SOLUSDT,4.475431236680579,4.610378731465728
hurdle_action_value_tcn,4.152458096251831,0.0342379470509101,4.311023692104319,0.01851731697152703,8295,15,18489,2025-01,month,short,,4.299669968986374,4.392358384563832
hurdle_action_value_tcn,4.178363440280475,0.03330145830875242,4.301684061461919,0.017354263513848944,8394,15,18390,2025-01,month,long,,4.3223024139152955,4.377655040609383
hurdle_action_value_tcn,4.269796761150318,0.033642440241374194,4.340511032737197,0.020356281678622246,8045,15,16147,2025-02,month,short,,4.418443999358598,4.430703684983225
hurdle_action_value_tcn,4.224176550851129,0.03591282737158108,4.3746760939091915,0.021512965506398474,7511,15,16681,2025-02,month,long,,4.38152966949517,4.470857497026751
hurdle_action_value_tcn,4.15582520402929,0.032266075648577086,4.336189072894327,0.016816226215857766,8748,15,18036,2025-03,month,short,,4.2943882605071755,4.410354593429586
hurdle_action_value_tcn,4.149570707802587,0.032307761811071534,4.346402063015125,0.017449681984788135,8561,15,18223,2025-03,month,long,,4.288109942442714,4.4235923426242625
hurdle_action_value_tcn,4.125013570386117,0.03200541696356973,4.296159226721057,0.01674921553365627,7912,15,18008,2025-04,month,short,,4.261401502316954,4.369342282348429
hurdle_action_value_tcn,4.1093197758812305,0.03523277934275282,4.283431273672982,0.016766296347328735,8189,15,17731,2025-04,month,long,,4.259389921106314,4.356473194277432
hurdle_action_value_tcn,4.0115536744709,0.02952916644928605,4.227199141647297,0.011663370629525383,7641,15,19143,2025-05,month,short,,4.133615906614743,4.2770843617723955
hurdle_action_value_tcn,3.9960854241169246,0.02834467232460347,4.211636836131487,0.011536031180690243,8306,15,18478,2025-05,month,long,,4.112657349059385,4.2607894359186
hurdle_action_value_tcn,3.905904829365098,0.036857843061564366,4.11821986492284,0.012293851543367151,6949,15,18899,2025-06,month,short,,4.055377289039965,4.169478818531075
hurdle_action_value_tcn,3.9252739218327344,0.03191350214900679,4.115621582931185,0.012677570671036476,6968,15,18880,2025-06,month,long,,4.0546727286727515,4.168467625847798
