round,considered_symbol_hours,maximum_holding_hours,median_holding_hours,nonflat_runs,policy_id,position_changes,unanimous_fraction,unanimous_symbol_hours
54,6552,791,430.0,15,median_q_all_seed_consensus,15,0.894993894993895,5864
54,6552,13,13.0,1,lower_tail_q_all_seed_consensus,2,0.9685592185592186,6346
