round,day_utc,symbol,eligible_decisions,none_rows,none_ratio,bid_only_rows,bid_only_ratio,ask_only_rows,ask_only_ratio,singleton_rows,singleton_ratio,both_rows,both_ratio
58,2023-06-01,BTCUSDT,8639,4297,0.4973955318902651,1989,0.23023498090056718,2088,0.24169464058340084,4077,0.47192962148396805,265,0.03067484662576687
58,2023-06-01,ETHUSDT,8639,4394,0.5086236832966778,2045,0.2367172126403519,1996,0.23104525986804028,4041,0.4677624725083922,204,0.02361384419492997
58,2023-06-01,SOLUSDT,8431,5800,0.6879373739769897,1126,0.133554738465188,1237,0.1467204364844028,2363,0.2802751749495908,268,0.03178745107341952
