round,symbol,episode_id,decision_time_ms,decision_time_utc,episode_stress_net_committed_capital_bps,cumulative_stress_net_committed_capital_bps
61,BTCUSDT,a5a1c1d899a02556f02d,1608134400000,2020-12-16T16:00:00Z,-14.795007430358316,-14.795007430358316
61,BTCUSDT,f8ade2fb7fc7fc1c82bb,1609430400010,2020-12-31T16:00:00Z,59.153674557167726,44.35866712680941
61,BTCUSDT,cbe32743b0220a1ac710,1610064000000,2021-01-08T00:00:00Z,32.5285684378257,76.8872355646351
61,BTCUSDT,bba306f8da36bfbccbfd,1610668800002,2021-01-15T00:00:00Z,0.875898260654046,77.76313382528915
61,BTCUSDT,f82db5b37b6ee77a3a94,1611504000005,2021-01-24T16:00:00Z,-12.230894367855445,65.5322394574337
61,BTCUSDT,203bcbc3c1dfa2ea68a0,1612800000000,2021-02-08T16:00:00Z,55.668729572820745,121.20096903025444
61,BTCUSDT,3188833027ffd64d9026,1613404800000,2021-02-15T16:00:00Z,54.77229718357698,175.97326621383144
61,BTCUSDT,17e68e056a96edf6165c,1614009600000,2021-02-22T16:00:00Z,-50.216053504279216,125.75721270955222
61,BTCUSDT,3f0bea3b1097fe9881b1,1614787200000,2021-03-03T16:00:00Z,-55.681978361239345,70.07523434831288
61,BTCUSDT,a0de51a6d7a379f69a35,1615392000008,2021-03-10T16:00:00Z,4.087929573728087,74.16316392204097
61,BTCUSDT,3ed877dc663be46d76e1,1615996800009,2021-03-17T16:00:00Z,-6.72595303763202,67.43721088440894
61,BTCUSDT,2ab4c64dba499f9d9f07,1617062400018,2021-03-30T00:00:00Z,34.450225328548136,101.88743621295708
61,BTCUSDT,ccc9c27fe6615346f7fe,1617696000000,2021-04-06T08:00:00Z,33.27955262156942,135.1669888345265
61,BTCUSDT,cf435aaf539e0ea68203,1618300800008,2021-04-13T08:00:00Z,41.25609291869465,176.42308175322114
61,BTCUSDT,2ae57e6546fbfa30464e,1619884800000,2021-05-01T16:00:00Z,1.076373408570714,177.49945516179184
61,BTCUSDT,0713b28c330900dee59b,1620489600000,2021-05-08T16:00:00Z,-9.523426800506439,167.97602836128542
61,BTCUSDT,3c0f960711243950915f,1621094400002,2021-05-15T16:00:00Z,-16.191566444316496,151.78446191696892
61,BTCUSDT,e157fd72ec74109d259a,1630886400003,2021-09-06T00:00:00Z,-12.222015947742552,139.56244596922636
61,BTCUSDT,ae949add0f4540532e85,1633593600002,2021-10-07T08:00:00Z,-17.168966892421565,122.3934790768048
61,BTCUSDT,39454c1c6fc31aad4161,1634198400017,2021-10-14T08:00:00Z,-1.448998573059193,120.9444805037456
61,BTCUSDT,fff25da348e09e513a9d,1636128000016,2021-11-05T16:00:00Z,12.415095032407464,133.35957553615305
61,BTCUSDT,56dfcb2bc5ac7aa5e4b7,1638547200006,2021-12-03T16:00:00Z,-24.904382670245717,108.45519286590732
61,BTCUSDT,c724fb6d2b072c340a76,1673683200001,2023-01-14T08:00:00Z,-6.682854416089427,101.7723384498179
61,BTCUSDT,9510dc2d31944c3a3137,1676563200001,2023-02-16T16:00:00Z,-18.049462004350275,83.72287644546762
61,BTCUSDT,ac70db04fed8e18f464e,1678809600010,2023-03-14T16:00:00Z,-14.568469600943267,69.15440684452435
61,BTCUSDT,116af7fc93b6d73fb1bf,1699545600000,2023-11-09T16:00:00Z,-15.248622332359016,53.905784512165326
61,BTCUSDT,4e698125cec77ab2365c,1703088000000,2023-12-20T16:00:00Z,4.791053092299013,58.696837604464335
61,BTCUSDT,d1ac269b5144d0489d6e,1709510400000,2024-03-04T00:00:00Z,25.318131778601668,84.014969383066
61,BTCUSDT,f711f18d06110c7ad920,1712592000006,2024-04-08T16:00:00Z,-13.734737187990241,70.28023219507577
61,BTCUSDT,109533f3488eb86d63f3,1732550400000,2024-11-25T16:00:00Z,-11.976020197979018,58.30421199709675
61,ETHUSDT,290cfc2031b82419cb17,1609632000018,2021-01-03T00:00:00Z,107.05926210315921,107.05926210315921
61,ETHUSDT,2e52266b24dd577308f0,1610265600005,2021-01-10T08:00:00Z,18.14275067638333,125.20201277954254
61,ETHUSDT,649f04a361d7da16339f,1610899200001,2021-01-17T16:00:00Z,17.682473809842673,142.8844865893852
61,ETHUSDT,377f77658a6382a01d43,1613404800000,2021-02-15T16:00:00Z,61.952931194707894,204.8374177840931
61,ETHUSDT,476bc9a15e7b57581c4e,1614009600000,2021-02-22T16:00:00Z,-67.27242043857898,137.56499734551414
61,ETHUSDT,11c2f98da4ecf15d17b2,1614614400001,2021-03-01T16:00:00Z,-17.954537547662056,119.61045979785209
61,ETHUSDT,c54c075b89df29fc075a,1615219200006,2021-03-08T16:00:00Z,8.940578061572237,128.55103785942433
61,ETHUSDT,a1b2fe16c368c45bcf6a,1618358400008,2021-04-14T00:00:00Z,25.651884274717812,154.20292213414214
61,ETHUSDT,445b843ec952c7e0407b,1619049600000,2021-04-22T00:00:00Z,-27.802351813078527,126.40057032106361
