best_early_stop_composite,best_epoch,candidate_id,early_stop_auxiliary_mse,early_stop_composite,early_stop_pairwise_rank_loss,early_stop_primary_loss,early_stop_profit_bce,epoch,optimizer_updates,stale_epochs,training_auxiliary_mse,training_composite,training_pairwise_rank_loss,training_primary_loss,training_profit_bce,training_windows,early_stop_gain_score,early_stop_loss_score
1.3606624092362374,1,direct_action_mean_tcn,2.966154057251982,1.3606624092362374,0.692973017531858,0.8598557590893959,0.616794798528045,1,113,0,3.387923497014341,1.466808642961283,0.6977182741010436,1.0204697143187564,0.600338462179741,3588,,
1.3580769379291224,2,direct_action_mean_tcn,2.959984707652394,1.3580769379291224,0.6932957520651796,0.8576074703637945,0.6159423381803562,2,226,0,3.378321182762978,1.45216914439975,0.6932126273096134,1.0098243775972575,0.5920945096508241,3588,,
1.3580769379291224,2,direct_action_mean_tcn,2.9613905697678935,1.3583384491774224,0.6930333779357783,0.8585691746756355,0.6155889704144207,3,339,1,3.3563298641052928,1.443249671508429,0.6930616564806936,0.9993590738921039,0.590610597865068,3588,,
1.3580769379291224,2,direct_action_mean_tcn,2.9629960950637524,1.3583759814963485,0.692367030759717,0.8582879010015909,0.6156232457201848,4,452,2,3.3680233034060767,1.4449311779663625,0.692944783376733,1.0016510484844534,0.5899796946562145,3588,,
1.3580769379291224,2,direct_action_mean_tcn,2.9666183824329084,1.3589698454772174,0.6933092048043262,0.8590740277225729,0.6154382632525318,5,565,3,3.3586366711112956,1.443399441277383,0.6924130995716667,1.0016846504710768,0.5893831119424826,3588,,
1.3580769379291224,2,direct_action_mean_tcn,2.974143317305392,1.3606783436280931,0.6927132415179603,0.8590438482016486,0.6164242567587809,6,678,4,3.3418673885255434,1.4380953062248791,0.691897428141231,0.9956344336183374,0.5887939084244338,3588,,
1.3580769379291224,2,direct_action_mean_tcn,2.9727583549929477,1.3614329311459468,0.6931286164534359,0.8606042974751165,0.6165267314977582,7,791,5,3.3405840920839336,1.437377508059364,0.6919044178847367,0.9952755774368579,0.5883836930831977,3588,,
1.3580769379291224,2,direct_action_mean_tcn,2.9843306981640616,1.3635678731658138,0.6957177781820839,0.8624316698809987,0.6165260239543561,8,904,6,3.3389529499684114,1.4372168498053313,0.690951767748436,0.9960764394221405,0.5880095315190544,3588,,
1.3580769379291224,2,direct_action_mean_tcn,2.9973517826606844,1.366610098957741,0.6957140646730906,0.865468580476627,0.6167477788365315,9,1017,7,3.3295387370748157,1.4351606558909458,0.6911368122143028,0.9946878095292061,0.5875844436760849,3588,,
1.3580769379291224,2,direct_action_mean_tcn,3.039475478417279,1.3780364618616012,0.6981003602200917,0.8748477018110394,0.6192125541088515,10,1130,8,3.2817043016793805,1.4239262977180929,0.689773877989226,0.9838063109413361,0.5866083627605158,3588,,
1.354721714530867,1,hurdle_action_value_tcn,2.9813883607958735,1.354721714530867,0.6931272251590016,0.8451747942888016,0.6166673006779038,1,113,0,3.401071521736528,1.413226003492125,0.6947544930958818,0.9116856937563173,0.5999071290359385,3588,0.7556505892411515,0.934698999336452
1.3507428209801933,2,hurdle_action_value_tcn,2.967376231721739,1.3507428209801933,0.6929439664763762,0.8418959155575685,0.6157336408673256,2,226,0,3.354555446138072,1.388471440931337,0.6931284045399466,0.8887840679964836,0.5912956449486162,3588,0.7520791426427472,0.9317126884723897
1.3505466614580903,3,hurdle_action_value_tcn,2.9715409260444474,1.3505466614580903,0.6924350817662775,0.8395637994643167,0.6162997920773302,3,339,0,3.356348374600256,1.3864135794934973,0.6929057375871326,0.8861719807692332,0.5903700971673723,3588,0.7486329951687217,0.9304946037599119
1.3490548839407595,4,hurdle_action_value_tcn,2.9696441540992082,1.3490548839407595,0.6929375376749475,0.8387711238059806,0.6153814681859745,4,452,0,3.3436166076181912,1.3813875994499456,0.6923536213450023,0.8812177156628407,0.589108229914246,3588,0.7478500326951725,0.9296922149167887
1.3490548839407595,4,hurdle_action_value_tcn,2.969835188390697,1.3489823540063444,0.6922061902295168,0.8378324687445167,0.6157774460392783,5,565,1,3.3478391286546145,1.381876551647805,0.6921817769343172,0.8812031251842645,0.5891865231646198,3588,0.7465317560410584,0.9291331814479747
1.3490548839407595,4,hurdle_action_value_tcn,2.9873641075001665,1.3509265281766485,0.6929024724624648,0.8384554236326786,0.6156398437987308,6,678,2,3.3801374983998524,1.3842692245072672,0.6918026702945563,0.8811106460284341,0.5884050744473055,3588,0.7471683233123695,0.9297425239529876
1.3490548839407595,4,hurdle_action_value_tcn,2.984971683688246,1.3524745186741587,0.6921465072071472,0.8391073730402621,0.6171200011050243,7,791,3,3.3277485447998947,1.3755418456057882,0.6916431686167872,0.8759598492872751,0.5874959754381209,3588,0.7476334523591633,0.9305812937213608
1.3490548839407595,4,hurdle_action_value_tcn,2.982358939227712,1.350587703489677,0.6937879370863577,0.8366925793970786,0.6166608214412072,8,904,4,3.3090479039864555,1.3719783588848282,0.6909356069775809,0.8739289755666502,0.5868356790514471,3588,0.7448278405502418,0.9285573182439157
1.3490548839407595,4,hurdle_action_value_tcn,3.0048336148431347,1.3541549098693402,0.6932244231102912,0.8376546528747223,0.6175136113699083,9,1017,5,3.2906253816103868,1.3688887072875437,0.6908638213588072,0.8743575338417098,0.5853757962013065,3588,0.7460464304860098,0.9292628752634347
1.3490548839407595,4,hurdle_action_value_tcn,3.0368146870563444,1.35989794376965,0.6944583071506037,0.8406467103913681,0.6185316621895661,10,1130,6,3.268731332106576,1.3663841267954282,0.6896067319718082,0.8746269139568363,0.5849573575289903,3588,0.7499492976448762,0.9313441231378601
1.3490548839407595,4,hurdle_action_value_tcn,3.096580406342209,1.3665966481102043,0.695723275097806,0.8399512069456933,0.6195699221256917,11,1243,7,3.180085911863322,1.3532938011276336,0.6887588817461403,0.871666967868805,0.5822327420071515,3588,0.7480055014866361,0.9318969124047506
1.3490548839407595,4,hurdle_action_value_tcn,3.2170085791426524,1.3840775976087114,0.6991970500411502,0.8418344421748563,0.6239795923559891,12,1356,8,3.080456491768536,1.340812497082713,0.6869611188022086,0.8709781104836141,0.5801037541181289,3588,0.7511887604097683,0.9324801239399442
