minimum_remaining_seconds,margin_quote,attempts,filled_conditions,wins,losses,unknown_entries,total_utility_quote,mean_condition_utility_quote,median_condition_utility_quote,maximum_drawdown_quote,bootstrap_lower_mean_group_utility_quote,bootstrap_upper_mean_group_utility_quote,market_prior_total_utility_quote,market_prior_bootstrap_lower_mean_group_utility_quote,gate_passed,gate_reasons,candidate_sha256
60.0,0.01,44,42,31,11,0,16.89486,0.40225857142857147,1.32944,16.45633,-1.852719839285714,3.8953410892857105,8.67484,-0.10096782142857144,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,01bb38ed689844412e3f74fa12417d7904b8d0052eac7d559f128d5a4575c391
60.0,0.02,45,42,32,10,0,22.441050000000004,0.5343107142857144,1.353685,12.363990000000001,-1.381515892857143,4.011524964285713,7.68291,-0.10096782142857144,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,d9592bfcf501e1b1dc85159ee5c87e679e3433b109609d6808526ed57d5fcf6a
60.0,0.05,46,42,32,10,0,21.44753,0.5106554761904762,1.353685,12.363290000000001,-1.4319136607142855,3.8806362142857136,6.06145,-0.26866285714285715,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,82fb2c4b99d24a83663c0f209e7364388bab80c598fdb40254b2c63899f417a8
45.0,0.0,44,42,31,11,0,17.18674,0.40920809523809526,1.32944,16.35745,-1.8144319642857145,3.898206982142852,8.67484,-0.10096782142857144,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,789c0f04223a0434ffb5df97eb46f9458b487f00250b0315863581ecd7978322
45.0,0.0025,45,42,31,11,0,16.991220000000002,0.4045528571428572,1.32944,16.45633,-1.8423673928571431,3.886649714285708,8.67484,-0.10096782142857144,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,a79477be46a65243430ba7b904160adaf61549d03492c54490d2fe1a4fe3ba8a
45.0,0.005,45,42,31,11,0,16.749090000000002,0.3987878571428572,1.305225,16.45633,-1.8579209464285715,3.8862173392857104,8.67484,-0.10096782142857144,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,a2f2c7464cbe456d205d27f3a1379ec6be2834e93ca63de534c6ce6604ea43c7
45.0,0.01,44,42,31,11,0,16.89486,0.40225857142857147,1.32944,16.45633,-1.852719839285714,3.8953410892857105,8.67484,-0.10096782142857144,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,37f6bff37d620427d0034095c722720684d05b10600ba61bf0422af773422521
45.0,0.02,45,42,32,10,0,22.441050000000004,0.5343107142857144,1.353685,12.363990000000001,-1.381515892857143,4.011524964285713,7.68291,-0.10096782142857144,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,c80cc5661ef907be78a2e27f2a53fc8cb2e37dcb39b6594b790bcff8e32f091d
45.0,0.05,46,42,32,10,0,21.44753,0.5106554761904762,1.353685,12.363290000000001,-1.4319136607142855,3.8806362142857136,7.78081,-0.08680728571428571,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,e50cf30a2ad20e7bf55abcbbfb63c41b60aac71946670123809ce1985f9454e3
30.0,0.0,44,42,31,11,0,17.18674,0.40920809523809526,1.32944,16.35745,-1.8144319642857145,3.898206982142852,8.8614,-0.09289248214285718,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,1354e44d867af9a48c0548c96e608763fe4a700b4d34f16bdab640c0f1940564
30.0,0.0025,45,42,31,11,0,16.991220000000002,0.4045528571428572,1.32944,16.45633,-1.8423673928571431,3.886649714285708,8.8614,-0.09289248214285718,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,817e4a657b509ff730d5bdac71bbd3b6d164a8426fc08377d8a45831743db769
30.0,0.005,45,42,31,11,0,16.749090000000002,0.3987878571428572,1.305225,16.45633,-1.8579209464285715,3.8862173392857104,8.8614,-0.09289248214285718,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,3c92cbd4f5fe105006ab22901ff81c6a1c40f8b809cad2bf039f4602e38b6af3
30.0,0.01,44,42,31,11,0,16.89486,0.40225857142857147,1.32944,16.45633,-1.852719839285714,3.8953410892857105,8.8614,-0.09289248214285718,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,bca208e6a684d41920991fba384d6c8aad3030cf513ab7d46eb31e5c2d8b8256
30.0,0.02,45,42,32,10,0,22.441050000000004,0.5343107142857144,1.353685,12.363990000000001,-1.381515892857143,4.011524964285713,7.86947,-0.09289248214285718,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,943c155baf531722809f455c9244bb1cd129a54a65025170c6af66148ffe0133
30.0,0.05,46,42,32,10,0,21.44753,0.5106554761904762,1.353685,12.363290000000001,-1.4319136607142855,3.8806362142857136,7.96737,-0.07348157142857142,False,nonpositive_bootstrap_lower_mean_group_utility|bootstrap_lower_not_better_than_market_prior_policy,d86abbf00598b26b6b300d9ec18049f1959e610ddaf9bc3267ea5596445421e1
