candidate_id,family,kind,selected_best_control,selected_best_challenger,tune_log_loss,tune_brier_score,tune_balanced_accuracy,test_log_loss,test_brier_score,test_accuracy,test_balanced_accuracy,test_calibration_intercept,test_calibration_slope,test_expected_calibration_error,calibration_retained,model_backend,model_device,best_iteration
training-prevalence,training_prevalence,control,False,False,0.692995416760531,0.24992412193907904,0.5,0.69190266212075,0.24937779990106518,0.5400696864111498,0.5,-0.1606231943328758,0.0,0.03135888502726203,True,cpu,cpu,
calendar_ridge_logistic-l2-10,calendar_ridge_logistic,control,True,False,0.6929055501840556,0.24987927118142844,0.4699917419605557,0.6913174736863489,0.24908537943163955,0.5357142857142857,0.5059445259042034,-0.02921438948352014,3.782218496742892,0.03135888639901886,True,cpu,cpu,
binance_ridge_logistic-l2-1,binance_ridge_logistic,challenger,False,False,0.6564239625434938,0.23239572441917908,0.6015678130768483,0.6499999846802695,0.2297172794105452,0.6084494773519163,0.6110123411534701,-0.2082495868063741,0.95590632486536,0.04847412130608819,True,cpu,cpu,
lgbm-depth2-leaves3,binance_shallow_lightgbm,challenger,False,True,0.654890119469671,0.23150068694409515,0.6129317254444768,0.6446668121801812,0.2266334047047051,0.625,0.6207844574780059,-0.14400928609871966,0.9412421643669883,0.039149935179899065,True,opencl,opencl:0:0:AMD Radeon RX 9070 XT,95
