round,evidence_type,status,conditions,held_out_log_loss_skill,held_out_brier_skill,held_out_balanced_accuracy,profitability_claim,live_trading_authority
9,historical execution screen,failed before fit,141,,,,False,False
10,historical execution screen,no positive score,141,,,,False,False
11,historical execution screen,failed uncertainty gate,42,,,,False,False
12,retrospective capture,invalidated before outcome access,,,,,False,False
13,prospective capture,failed prospective capture,,,,,False,False
14,held-out BTC direction screen,passed predictive gates; execution untested,287,0.06748080770678322,0.09013766596082484,0.6207844574780059,False,False
