symbol,candidate_index,name,selected,score,signal_threshold,stop_loss_pct,take_profit_pct,cooldown_minutes,min_position_hold_bars,flat_signal_exit_grace_bars,label_threshold,label_lookahead,label_mode,probability_inverted,round_selection_gate_passed,round_selection_reject_reason,threshold_source,decision_threshold,long_decision_threshold,short_decision_threshold,threshold_calibration_score,threshold_calibration_pnl,threshold_calibration_trades,threshold_diagnostic_best_threshold,threshold_diagnostic_best_long_threshold,threshold_diagnostic_best_short_threshold,threshold_diagnostic_best_score,threshold_diagnostic_best_pnl,threshold_diagnostic_best_trades,selection_realized_pnl,selection_closed_trades,selection_max_drawdown,selection_win_rate,selection_total_fees,selection_profit_factor,selection_expectancy,selection_edge_vs_buy_hold,selection_trades_per_day_cap_hit,selection_regime_entry_skips,selection_meta_label_skips,selection_liquidation_events,selection_reject_reason
BTCUSDT,1,default,True,0.0,0.66,0.01,0.022,15,0,0,0.0015,8,forward_return,False,False,realized_pnl<=0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.55,0.55,0.44999999999999996,-1.136516363405168,-0.5482835984241774,1,0.55,0.55,0.44999999999999996,-1.136516363405168,-0.5482835984241774,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.3202111781769656,0,791,0,0,realized_pnl<=0.0; market_edge_pct<0.002
BTCUSDT,2,intraday_micro_triple_barrier,False,0.0,0.5800000000000001,0.0025,0.0035199999999999997,2,2,2,0.0015,3,triple_barrier,False,False,realized_pnl<=0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.525,0.525,0.475,-1.136516363405168,-0.5482835984241774,1,0.525,0.525,0.475,-1.136516363405168,-0.5482835984241774,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.3226981584227713,0,370,0,0,realized_pnl<=0.0; market_edge_pct<0.002
BTCUSDT,3,intraday_activity_triple_barrier,False,0.0,0.56,0.0012,0.0022,0,1,1,0.0015,2,triple_barrier,False,False,realized_pnl<=0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5125,0.5125,0.48750000000000004,-14.772184026451143,-7.147212697525902,12,0.5125,0.5125,0.48750000000000004,-14.772184026451143,-7.147212697525902,12,0.0,0,0.0,0.0,0.0,0.0,0.0,1.3226981584227713,0,154,0,0,realized_pnl<=0.0; market_edge_pct<0.002
ETHUSDT,1,default,False,0.0,0.66,0.01,0.022,15,0,0,0.0015,8,forward_return,False,False,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5375,0.5375,0.4625,-1.2786089945809607,-0.6193334668607804,1,0.5375,0.5375,0.4625,-1.2786089945809607,-0.6193334668607804,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.6004658299650987,0,440,0,0,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002
ETHUSDT,2,intraday_micro_triple_barrier,False,0.0,0.5800000000000001,0.0025,0.0035199999999999997,2,2,2,0.0015,3,triple_barrier,False,False,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5375,0.5375,0.4625,-1.2546984214485386,-0.607377582440563,1,0.5375,0.5375,0.4625,-1.2546984214485386,-0.607377582440563,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.517476304932028,0,936,0,0,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002
ETHUSDT,3,intraday_activity_triple_barrier,True,0.0,0.56,0.0012,0.0022,0,1,1,0.0015,2,triple_barrier,False,False,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.5375,0.5375,0.4625,-1.2350664130520745,-0.59756108736849,1,0.5375,0.5375,0.4625,-1.2350664130520745,-0.59756108736849,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.517476304932028,0,1517,0,0,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002
SOLUSDT,1,default,False,0.0,0.66,0.01,0.022,15,0,0,0.0015,8,forward_return,False,False,realized_pnl<=0.0; market_edge_pct<0.002,round_selection_rejected_best_threshold_diagnostic,0.6125,0.6125,0.38749999999999996,-1.2515618228019902,-0.6058092046905585,1,0.6125,0.6125,0.38749999999999996,-1.2515618228019902,-0.6058092046905585,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.30273329833317,0,1813,0,0,realized_pnl<=0.0; market_edge_pct<0.002
SOLUSDT,2,intraday_micro_triple_barrier,True,0.0006882476924760191,0.5800000000000001,0.0025,0.0035199999999999997,2,2,2,0.0015,3,triple_barrier,True,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.6125,0.6125,0.38749999999999996,-1.2492561185699842,-0.6046562949233021,1,0.6125,0.6125,0.38749999999999996,-1.2492561185699842,-0.6046562949233021,1,-0.6216588635464859,1,0.0006216588635464859,0.0,0.04005816007034761,0.0,-0.6216588635464749,0.6776005634599085,0,16890,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
SOLUSDT,3,intraday_activity_triple_barrier,False,-0.021476822389036445,0.56,0.0012,0.0022,0,1,1,0.0015,2,triple_barrier,False,False,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0; max_consecutive_losses>3,round_selection_rejected_best_threshold_diagnostic,0.6125,0.6125,0.38749999999999996,-1.2350664130518472,-0.5975610873683763,1,0.6125,0.6125,0.38749999999999996,-1.2350664130518472,-0.5975610873683763,1,-14.24420559725911,24,0.014244205597259111,0.0,0.9522128215877516,0.0,-0.5935085665524528,-12.944946170252717,3,27108,0,0,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0; max_consecutive_losses>3
