symbol,candidate_index,name,selected,score,signal_threshold,stop_loss_pct,take_profit_pct,cooldown_minutes,min_position_hold_bars,flat_signal_exit_grace_bars,label_threshold,label_lookahead,label_mode,probability_inverted,round_selection_gate_passed,round_selection_reject_reason,threshold_source,decision_threshold,threshold_calibration_score,threshold_calibration_pnl,threshold_calibration_trades,threshold_diagnostic_best_threshold,threshold_diagnostic_best_score,threshold_diagnostic_best_pnl,threshold_diagnostic_best_trades,selection_realized_pnl,selection_closed_trades,selection_max_drawdown,selection_win_rate,selection_total_fees,selection_profit_factor,selection_expectancy,selection_edge_vs_buy_hold,selection_trades_per_day_cap_hit,selection_regime_entry_skips,selection_meta_label_skips,selection_liquidation_events,selection_reject_reason
BTCUSDT,11,lower_signal_triple_barrier,False,-0.004108928562216685,0.6000000000000001,0.0075,0.0165,8,1,1,0.0015,6,triple_barrier,False,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.9,-1.8475019701616227,-0.9037078040087181,1,0.9,-1.8475019701616227,-0.9037078040087181,1,-1.8605654738875046,1,0.0018605654738875045,0.0,0.040182038343554397,0.0,-1.8605654738874688,1.095398365731445,0,11865,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
BTCUSDT,12,frequency_probe_forward,False,-0.0021055482597459258,0.56,0.005,0.0121,4,1,1,0.0015,4,forward_return,False,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.9,-1.8475019701616227,-0.9037078040087181,1,0.9,-1.8475019701616227,-0.9037078040087181,1,-1.3597203982698147,1,0.0013597203982698147,0.0,0.04013195884394259,0.0,-1.359720398269852,1.612198617903648,0,12290,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
BTCUSDT,13,high_conviction_triple_barrier,False,0.0,0.7000000000000001,0.01,0.022,15,0,0,0.0015,10,triple_barrier,False,False,closed_trades<5; realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.525,-1.7703397260086144,-0.8651286106990028,1,0.525,-1.7703397260086144,-0.8651286106990028,1,0.0,0,0.0,0.0,0.0,0.0,0.0,2.9677926774093817,0,0,0,0,closed_trades<5; realized_pnl<=0.0
ETHUSDT,1,default,False,0.0,0.66,0.01,0.022,15,0,0,0.0015,8,forward_return,False,False,realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5,-1.8245461142226174,-0.8923156771571712,1,0.5,-1.8245461142226174,-0.8923156771571712,1,0.0,0,0.0,0.0,0.0,0.0,0.0,4.588984474588916,0,37,0,0,realized_pnl<=0.0
ETHUSDT,2,intraday_micro_triple_barrier,True,0.0,0.5800000000000001,0.0025,0.0035199999999999997,2,2,2,0.0015,3,triple_barrier,False,False,realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5,-1.7541617411085269,-0.8571217307268171,1,0.5,-1.7541617411085269,-0.8571217307268171,1,0.0,0,0.0,0.0,0.0,0.0,0.0,4.6040966780783386,0,148,0,0,realized_pnl<=0.0
ETHUSDT,3,intraday_activity_triple_barrier,False,0.0,0.56,0.0012,0.0022,0,1,1,0.0015,2,triple_barrier,False,False,realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5125,-6.198044854280953,-2.988600304101624,5,0.5125,-6.198044854280953,-2.988600304101624,5,0.0,0,0.0,0.0,0.0,0.0,0.0,4.6040966780783386,0,197,0,0,realized_pnl<=0.0
ETHUSDT,4,intraday_breakout_forward,False,-0.000893801722984487,0.56,0.0034999999999999996,0.0044,2,1,1,0.0015,2,forward_return,True,False,realized_pnl<=0.0; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.56,-2.158528616942759,-1.0592133528992917,1,0.56,-2.158528616942759,-1.0592133528992917,1,-1.056783764079455,1,0.001056783764079455,0.0,0.039898311454737524,0.0,-1.0567837640795166,3.5473129139988835,0,12785,0,0,realized_pnl<=0.0; profit_factor<1.1; expectancy<=0.0
ETHUSDT,5,lower_lr_more_l2,False,0.0,0.66,0.01,0.022,15,0,0,0.0015,10,forward_return,False,False,realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5,-1.8245461142226174,-0.8923156771571712,1,0.5,-1.8245461142226174,-0.8923156771571712,1,0.0,0,0.0,0.0,0.0,0.0,0.0,4.588984474588916,0,37,0,0,realized_pnl<=0.0
ETHUSDT,6,short_horizon_forward,False,0.0,0.66,0.0075,0.0165,8,1,1,0.0015,6,forward_return,False,False,realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5,-1.8245461142226174,-0.8923156771571712,1,0.5,-1.8245461142226174,-0.8923156771571712,1,0.0,0,0.0,0.0,0.0,0.0,0.0,4.6040966780783386,0,37,0,0,realized_pnl<=0.0
ETHUSDT,7,triple_barrier_base,False,0.0,0.66,0.01,0.022,15,0,0,0.0015,8,triple_barrier,False,False,realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5,-1.8245461142226174,-0.8923156771571712,1,0.5,-1.8245461142226174,-0.8923156771571712,1,0.0,0,0.0,0.0,0.0,0.0,0.0,4.588984474588916,0,38,0,0,realized_pnl<=0.0
ETHUSDT,8,triple_barrier_conservative,False,0.0,0.66,0.011000000000000001,0.0242,15,0,0,0.0015,12,triple_barrier,False,False,realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5,-1.8245461142226174,-0.8923156771571712,1,0.5,-1.8245461142226174,-0.8923156771571712,1,0.0,0,0.0,0.0,0.0,0.0,0.0,4.588984474588916,0,38,0,0,realized_pnl<=0.0
ETHUSDT,9,long_horizon_forward,False,0.0,0.66,0.0125,0.027499999999999997,15,0,0,0.0015,14,forward_return,False,False,realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5,-1.8245461142226174,-0.8923156771571712,1,0.5,-1.8245461142226174,-0.8923156771571712,1,0.0,0,0.0,0.0,0.0,0.0,0.0,4.588984474588916,0,37,0,0,realized_pnl<=0.0
ETHUSDT,10,lower_signal_short_forward,False,0.0,0.6000000000000001,0.006500000000000001,0.015399999999999999,5,1,1,0.0015,5,forward_return,False,False,realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5,-1.8245461142226174,-0.8923156771571712,1,0.5,-1.8245461142226174,-0.8923156771571712,1,0.0,0,0.0,0.0,0.0,0.0,0.0,4.6040966780783386,0,116,0,0,realized_pnl<=0.0
ETHUSDT,11,lower_signal_triple_barrier,False,0.0,0.6000000000000001,0.0075,0.0165,8,1,1,0.0015,6,triple_barrier,False,False,realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5,-1.8245461142226174,-0.8923156771571712,1,0.5,-1.8245461142226174,-0.8923156771571712,1,0.0,0,0.0,0.0,0.0,0.0,0.0,4.6040966780783386,0,116,0,0,realized_pnl<=0.0
