"symbol","horizon_seconds","model","test_examples","test_utc_days","negative_log_likelihood","multiclass_brier","stressed_brier","accuracy","stressed_prevalence","mean_predicted_stress_probability"
"BTCUSDT","60","challenger","1435196","1063","0.3350849581213029","0.19291644337683697","0.040124653004713025","0.8689168587426387","0.19650208055206397","0.19616651480494568"
"BTCUSDT","60","marginal","1435196","1063","1.071191741066803","0.6489388357722634","0.16417387491725385","0.4348137815322785","0.19650208055206397","0.27826151398229854"
"BTCUSDT","60","pre_state_transition","1435196","1063","0.4533705914874249","0.23622927624624127","0.050159013285712435","0.8672878129537708","0.19650208055206397","0.20911642013266846"
"BTCUSDT","300","challenger","279825","1063","0.4609781595530313","0.27247242571605645","0.056962617752337914","0.8095202358616993","0.20243723755918877","0.20181153433771495"
"BTCUSDT","300","marginal","279825","1063","1.0740857253092162","0.6506881353593317","0.16738820639319227","0.43321361565264005","0.20243723755918877","0.2820074542965435"
"BTCUSDT","300","pre_state_transition","279825","1063","0.5856800458344178","0.32553348828741774","0.07049487676072241","0.8063897078531225","0.20243723755918877","0.22029229037350892"
"ETHUSDT","60","challenger","1436643","1064","0.4132828969664957","0.2434662276582214","0.06763381878901163","0.8307352626922625","0.267866825648404","0.2616870977346567"
"ETHUSDT","60","marginal","1436643","1064","1.07448307367707","0.6498577388476346","0.19732245139218205","0.4553539049019137","0.267866825648404","0.2737276237416952"
"ETHUSDT","60","pre_state_transition","1436643","1064","0.5420414929269901","0.2962149265217878","0.08304006585389762","0.8273321903910714","0.267866825648404","0.270815847929549"
"ETHUSDT","300","challenger","280116","1064","0.5496323328984979","0.3308139034986689","0.09278722997824151","0.7625590826657528","0.27457553299347415","0.2643396109106625"
"ETHUSDT","300","marginal","280116","1064","1.076578241402676","0.6514027931513335","0.2002420123582821","0.44918176755344214","0.27457553299347415","0.2798616814735022"
"ETHUSDT","300","pre_state_transition","280116","1064","0.6780039153035236","0.3902061581241164","0.11151002851620856","0.7563402304759457","0.27457553299347415","0.2789871861777304"
"SOLUSDT","60","challenger","1432400","1061","0.43905929305623553","0.25848740232892636","0.04585228139310499","0.8197032951689472","0.09016056967327563","0.092605923432171"
"SOLUSDT","60","marginal","1432400","1061","1.0644748606235956","0.6480803478495761","0.1057621488389064","0.43435353253281206","0.09016056967327563","0.24672695743305534"
"SOLUSDT","60","pre_state_transition","1432400","1061","0.5551161516469519","0.30732322511950244","0.05399515214619303","0.8158426417201899","0.09016056967327563","0.12100156302007523"
"SOLUSDT","300","challenger","279267","1061","0.5742454310167991","0.34830868473122706","0.05949629689196103","0.748803116730584","0.09224863660940963","0.09881204403684218"
"SOLUSDT","300","marginal","279267","1061","1.0661899070048977","0.6487892021138848","0.10743268495420182","0.43698682622723056","0.09224863660940963","0.24883493403016882"
"SOLUSDT","300","pre_state_transition","279267","1061","0.6934711560389047","0.40462082716613035","0.07017866388834279","0.737946123244064","0.09224863660940963","0.1372056402638118"
