"symbol","horizon_seconds","baseline","metric","challenger_mean_loss","baseline_mean_loss","relative_improvement","one_sided_p_value","q_value","passed"
"BTCUSDT","60","marginal","negative_log_likelihood","0.3350849581213029","1.071191741066803","0.6871848939130255","9.99900009999E-05","9.99900009999E-05","True"
"BTCUSDT","60","marginal","multiclass_brier","0.19291644337683697","0.6489388357722634","0.7027201444227658","9.99900009999E-05","9.99900009999E-05","True"
"BTCUSDT","60","pre_state_transition","negative_log_likelihood","0.3350849581213029","0.4533705914874249","0.2609027484073212","9.99900009999E-05","9.99900009999E-05","True"
"BTCUSDT","60","pre_state_transition","multiclass_brier","0.19291644337683697","0.23622927624624127","0.1833508257641011","9.99900009999E-05","9.99900009999E-05","True"
"BTCUSDT","300","marginal","negative_log_likelihood","0.4609781595530313","1.0740857253092162","0.5708180932948147","9.99900009999E-05","9.99900009999E-05","True"
"BTCUSDT","300","marginal","multiclass_brier","0.27247242571605645","0.6506881353593317","0.5812549654596236","9.99900009999E-05","9.99900009999E-05","True"
"BTCUSDT","300","pre_state_transition","negative_log_likelihood","0.4609781595530313","0.5856800458344178","0.21291810634204525","9.99900009999E-05","9.99900009999E-05","True"
"BTCUSDT","300","pre_state_transition","multiclass_brier","0.27247242571605645","0.32553348828741774","0.16299724753513833","9.99900009999E-05","9.99900009999E-05","True"
"ETHUSDT","60","marginal","negative_log_likelihood","0.4132828969664957","1.07448307367707","0.6153658376840048","9.99900009999E-05","9.99900009999E-05","True"
"ETHUSDT","60","marginal","multiclass_brier","0.2434662276582214","0.6498577388476346","0.625354576695586","9.99900009999E-05","9.99900009999E-05","True"
"ETHUSDT","60","pre_state_transition","negative_log_likelihood","0.4132828969664957","0.5420414929269901","0.23754379995008507","9.99900009999E-05","9.99900009999E-05","True"
"ETHUSDT","60","pre_state_transition","multiclass_brier","0.2434662276582214","0.2962149265217878","0.17807576236265912","9.99900009999E-05","9.99900009999E-05","True"
"ETHUSDT","300","marginal","negative_log_likelihood","0.5496323328984979","1.076578241402676","0.48946364345764526","9.99900009999E-05","9.99900009999E-05","True"
"ETHUSDT","300","marginal","multiclass_brier","0.3308139034986689","0.6514027931513335","0.4921515428291779","9.99900009999E-05","9.99900009999E-05","True"
"ETHUSDT","300","pre_state_transition","negative_log_likelihood","0.5496323328984979","0.6780039153035236","0.18933752373326232","9.99900009999E-05","9.99900009999E-05","True"
"ETHUSDT","300","pre_state_transition","multiclass_brier","0.3308139034986689","0.3902061581241164","0.15220737394553388","9.99900009999E-05","9.99900009999E-05","True"
"SOLUSDT","60","marginal","negative_log_likelihood","0.43905929305623553","1.0644748606235956","0.5875343708924945","9.99900009999E-05","9.99900009999E-05","True"
"SOLUSDT","60","marginal","multiclass_brier","0.25848740232892636","0.6480803478495761","0.601149142715676","9.99900009999E-05","9.99900009999E-05","True"
"SOLUSDT","60","pre_state_transition","negative_log_likelihood","0.43905929305623553","0.5551161516469519","0.20906770276165076","9.99900009999E-05","9.99900009999E-05","True"
"SOLUSDT","60","pre_state_transition","multiclass_brier","0.25848740232892636","0.30732322511950244","0.1589070359768166","9.99900009999E-05","9.99900009999E-05","True"
"SOLUSDT","300","marginal","negative_log_likelihood","0.5742454310167991","1.0661899070048977","0.4614041764567546","9.99900009999E-05","9.99900009999E-05","True"
"SOLUSDT","300","marginal","multiclass_brier","0.34830868473122706","0.6487892021138848","0.4631404413076423","9.99900009999E-05","9.99900009999E-05","True"
"SOLUSDT","300","pre_state_transition","negative_log_likelihood","0.5742454310167991","0.6934711560389047","0.17192600439666572","9.99900009999E-05","9.99900009999E-05","True"
"SOLUSDT","300","pre_state_transition","multiclass_brier","0.34830868473122706","0.40462082716613035","0.13917262447734183","9.99900009999E-05","9.99900009999E-05","True"
