"symbol","snapshots","first_timestamp_ms","last_timestamp_ms","panel_sha256","certificate_sha256","certificate_status","certificate_verified"
"BTCUSDT","3589970","1672531565000","1782863971000","9b1a7dbde52964fe9e6103ca8f924099e0a2bb63efc2b522779e77bd53d1fecb","3f45d3053ce7f92f8fcfb0edf8c80654f938cab83c495a40e50740d7375de172","pass","True"
"ETHUSDT","3592851","1672531565000","1782863971000","f3bc727d8d77b9232b541c919073cd37d62e0c702ba6796c8ac280f53d7b9341","8851a88413c25a61fe29ae2e08e3b79d842e60d736f33f6d268c9bc617ef45bb","pass","True"
"SOLUSDT","3584277","1672531565000","1782863971000","3fa1d17f10c751469bcc7f483cf617c7ea4cfc08b78bc16bfe2d104a49fc2c3d","07172ad00e21c169b6a783c2f8ed5994e80d3679c2e1f3e1ae850f219c690029","pass","True"
