period,forecast_status,direction_auc,spearman_ic,mae_bps,zero_baseline_mae_bps,selected_signals,long_signals,short_signals,overlap_suppressed,scheduled_signals,participation_rejections,quote_rejections,executable_trades,mean_quote_gross_bps,mean_net_bps,positive_net_rate,model_sha256,predictions_sha256,period_fingerprint
2023-07-08,rejected,0.5335373801112819,0.04851623279208146,0.6476279575699898,0.6421549113246154,1,0,1,0,1,0,0,1,2.1910750210818453,-9.807610333905506,0.0,599a19bd63401572568c1e808ef26cbf8a97a428ec1ec20f08e94a876b9fa9e1,03e4ce0828d8271ed33da1d24f67577139307327b76759eca6d20811f18b02f6,760febbf517646444edae8133937a8e5439a2c8a892654f3eb8a2d6a8ffccee3
2023-10-21,rejected,0.5666831473984607,0.126554554147068,1.3330272944322477,1.3288137246304983,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0d9d79e1e573a5d786908ad7e23677d13094b144e0d935e3185879a95ee1a961,509d05e2b3a728a627cd0b443df4e23c7350814e1f585046f77663df33104463,c9db909bb55ef82423cfe3ac239eee91d948edc465bb484938b1840b8cf16824
2024-02-05,rejected,0.5668100118609531,0.11543746565360415,1.7653834644323503,1.7419083566505749,18,5,13,7,11,0,0,11,-0.023676482395661547,-12.024050848796332,0.0,0722f3e8667cdef6dd6f40abd596189bf417c22868a4207b35bc4b7cadd3b0ac,4bd1c40782db7d32dc18c023098ca676ce613a9a6fad34410ab1293895d5ae0d,ba2e3c14a1f9487ef8ee577cefa1643b0e6acfaf4871ea21fd12e509ff3ed958
