round_id,symbol,objective,timestamp_ms,timestamp_utc,strategy_equity,baseline_equity,strategy_drawdown,baseline_drawdown,quote_volume,trade_count,rolling_quote_volume_median,rolling_trade_count_median,clock_bucket,clock_bucket_quote_volume_median,clock_bucket_trade_count_median,data_probed_low_session_flag,low_liquidity_flag,weekend_flag,utc_hour,utc_weekday
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996413999,2017-08-17T19:00:13Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996414999,2017-08-17T19:00:14Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996415999,2017-08-17T19:00:15Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996416999,2017-08-17T19:00:16Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996417999,2017-08-17T19:00:17Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996418999,2017-08-17T19:00:18Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996419999,2017-08-17T19:00:19Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996420999,2017-08-17T19:00:20Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996421999,2017-08-17T19:00:21Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996422999,2017-08-17T19:00:22Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996423999,2017-08-17T19:00:23Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996424999,2017-08-17T19:00:24Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996425999,2017-08-17T19:00:25Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996426999,2017-08-17T19:00:26Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996427999,2017-08-17T19:00:27Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996428999,2017-08-17T19:00:28Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996429999,2017-08-17T19:00:29Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996430999,2017-08-17T19:00:30Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
round-005-conservative-5x-spot-1s-realdata,BTCUSDT,conservative,1502996431999,2017-08-17T19:00:31Z,1000.0,999.99,0.0,9.999999999990905e-06,0.0,0,0.0,0.0,3:19:00,0.0,0.0,False,False,False,19,3
