symbol,candidate_index,candidate,label_mode,label_lookahead,label_threshold,train_rows,selection_rows,validation_rows,evaluated,reject_reason,training_signal_count,selection_signal_count,training_net_edge_bps,selection_net_edge_bps,training_hit_rate,selection_hit_rate
ETHUSDT,23,downside_order_flow_information_event_barrier,downside_event_volatility_triple_barrier,96,0.003779984471899924,302284,151142,151142,True,edge_preflight_training_signals<20,6,0,-34.242992973081705,-35.79984471899924,0.0,0.0
ETHUSDT,24,intraday_breakout_forward,forward_return,2,0.003779984471899924,302378,151189,151189,True,edge_preflight_training_signals<20,0,0,-35.79984471899924,-35.79984471899924,0.0,0.0
SOLUSDT,1,default,forward_return,8,0.0044,302372,151186,151186,True,edge_preflight_training_signals<20,0,3,-35.79984471899924,9.751378251578899,0.0,1.0
SOLUSDT,2,day_trade_frequency_probe_forward,forward_return,32,0.003779984471899924,302348,151174,151174,True,edge_preflight_training_signals<20,0,6,-35.79984471899924,9.181705850813294,0.0,1.0
SOLUSDT,3,day_trade_frequency_probe_downside,downside_forward_return,32,0.003779984471899924,302348,151174,151174,True,edge_preflight_training_signals<20,3,0,8.645774134119149,-35.79984471899924,1.0,0.0
SOLUSDT,4,cost_aware_5m_forward,forward_return,300,0.003779984471899924,302080,151040,151040,True,,1699,3072,11.577114132288775,9.874185888199067,1.0,1.0
SOLUSDT,5,cost_aware_5m_downside,downside_forward_return,300,0.003779984471899924,302080,151040,151040,True,,2049,1533,10.657676403471589,12.949158616423896,1.0,1.0
SOLUSDT,6,cost_aware_15m_forward,forward_return,900,0.003779984471899924,301480,150740,150740,True,,10541,12475,16.35343141639802,16.396722916551518,1.0,1.0
SOLUSDT,7,cost_aware_15m_downside,downside_forward_return,900,0.003779984471899924,301480,150740,150740,True,,13963,9131,14.246067654861648,13.799634463563827,1.0,1.0
SOLUSDT,8,cost_aware_30m_forward,forward_return,1800,0.003779984471899924,300580,150290,150290,True,,27083,23279,22.405427253602372,23.505537915600996,1.0,1.0
SOLUSDT,9,cost_aware_30m_downside,downside_forward_return,1800,0.003779984471899924,300580,150290,150290,True,,29461,14963,21.86635282960272,20.325445048706097,1.0,1.0
SOLUSDT,10,cost_aware_60m_forward,forward_return,3600,0.003779984471899924,298780,149390,149390,True,,45882,35597,28.964326580032512,38.592865094346685,1.0,1.0
SOLUSDT,11,cost_aware_60m_downside,downside_forward_return,3600,0.003779984471899924,298780,149390,149390,True,,44871,20712,31.693655692687408,24.3008840930037,1.0,1.0
SOLUSDT,12,cost_aware_2h_forward,forward_return,7200,0.00396,295180,147590,147590,True,,54466,50734,40.894566516293175,55.1472847551357,1.0,1.0
SOLUSDT,13,cost_aware_2h_downside,downside_forward_return,7200,0.00396,295180,147590,147590,True,,61474,20719,39.27334510745241,30.99201181497909,1.0,1.0
SOLUSDT,14,cost_aware_4h_forward,forward_return,14400,0.0048400000000000006,287980,143990,143990,True,,55454,51960,55.76913441539751,100.85461175712243,1.0,1.0
SOLUSDT,15,cost_aware_4h_downside,downside_forward_return,14400,0.0048400000000000006,287980,143990,143990,True,,61842,17360,61.01431581270718,40.25614949660482,1.0,1.0
SOLUSDT,16,intraday_activity_triple_barrier,triple_barrier,64,0.003779984471899924,302316,151158,151158,True,,116,134,1.1209916203605272,-2.828275884078643,0.49137931034482757,0.26119402985074625
SOLUSDT,17,intraday_downside_triple_barrier,downside_triple_barrier,64,0.003779984471899924,302316,151158,151158,True,edge_preflight_no_positive_after_cost_label_edge,248,160,-4.798790788855316,-7.895149865646424,0.24596774193548387,0.25
SOLUSDT,18,focal_positive_information_event_barrier,event_volatility_triple_barrier,64,0.003779984471899924,302316,151158,151158,True,edge_preflight_training_signals<20,1,0,-8.592370917657014,-35.79984471899924,0.0,0.0
SOLUSDT,19,focal_downside_information_event_barrier,downside_event_volatility_triple_barrier,64,0.003779984471899924,302316,151158,151158,True,edge_preflight_training_signals<20,1,0,-23.95942656205468,-35.79984471899924,0.0,0.0
SOLUSDT,20,session_volatility_triple_barrier,volatility_triple_barrier,96,0.003779984471899924,302284,151142,151142,True,,258,393,1.171846987302314,1.4428855002181142,0.5271317829457365,0.6183206106870229
SOLUSDT,21,session_downside_volatility_triple_barrier,downside_volatility_triple_barrier,96,0.003779984471899924,302284,151142,151142,True,edge_preflight_no_positive_after_cost_label_edge,604,345,-1.891337651010278,-4.29824119959351,0.402317880794702,0.42318840579710143
SOLUSDT,22,order_flow_information_event_barrier,event_volatility_triple_barrier,96,0.003779984471899924,302284,151142,151142,True,edge_preflight_training_signals<20,11,0,-18.41590596802937,-35.79984471899924,0.0,0.0
SOLUSDT,23,downside_order_flow_information_event_barrier,downside_event_volatility_triple_barrier,96,0.003779984471899924,302284,151142,151142,True,edge_preflight_training_signals<20,1,4,-22.364344323296507,1.606915209653021,0.0,1.0
SOLUSDT,24,intraday_breakout_forward,forward_return,2,0.003779984471899924,302378,151189,151189,True,edge_preflight_training_signals<20,0,2,-35.79984471899924,8.983193664684347,0.0,1.0
