date,pwi_alpha,mean_cal_error,longshot_fraction,n_trades_nonbot,pwi_alpha_ma4w,pwi_alpha_ma13w,pwi_alpha_ma52w,pwi_alpha_z52w
2023-02-27,0.10000366481123768,0.3615942028985507,0.1256038647342995,207.0,0.10000366481123768,0.10000366481123768,0.10000366481123768,
2023-03-06,0.1793735876411508,0.30993485342019544,0.09364820846905535,1228.0,0.13968862622619424,0.13968862622619424,0.13968862622619424,
2023-03-13,0.6700960283056415,0.07995780590717294,0.2645569620253165,2370.0,0.31649109358600996,0.31649109358600996,0.31649109358600996,
2023-03-20,0.4170958698749864,0.14328097731239092,0.31849912739965086,1146.0,0.3416422876582541,0.3416422876582541,0.3416422876582541,
2023-03-27,0.6485492694970881,0.10520262869660454,0.32858707557502737,913.0,0.47877868882971675,0.40302368402602096,0.40302368402602096,
2023-04-03,0.9398811870700953,0.09959999999999998,0.4,625.0,0.6689055886869528,0.49249993453336666,0.49249993453336666,
2023-05-08,0.5878920664855706,0.15387275242047027,0.19225449515905949,723.0,0.6483545982319352,0.5061273819551101,0.5061273819551101,
2023-05-15,0.4267006052151665,0.1538532110091743,0.3412844036697248,545.0,0.6507557820669801,0.4961990348626171,0.4961990348626171,
2023-05-22,0.7636072451792151,0.07992125984251967,0.30577427821522307,762.0,0.6795202759875119,0.525911058231128,0.525911058231128,
2023-06-12,0.22349723588629522,0.2556426332288401,0.1410658307210031,319.0,0.5004242881915619,0.4956696759966447,0.4956696759966447,
2023-06-19,0.6043314429378691,0.124601226993865,0.2912065439672802,2445.0,0.5045341323046365,0.505548018445847,0.505548018445847,
2023-06-26,0.6794810807317329,0.10541401273885345,0.43439490445859874,785.0,0.5677292511837781,0.5200424403030041,0.5200424403030041,
2023-07-03,0.7471736557595878,0.101051051051051,0.3588588588588589,666.0,0.5636208538288713,0.5375140722612028,0.5375140722612028,0.8335935810926648
2023-07-10,0.5810119969300968,0.1290645879732739,0.4409799554565701,449.0,0.6529995440898217,0.5745147131934228,0.5406210668804096,0.16695619978512355
2023-07-17,0.7346707531135016,0.10563816604708795,0.3915737298636927,807.0,0.6855843716337299,0.6172298797682191,0.5535577126292824,0.7595481062149751
2023-07-24,0.7543960357302042,0.07201591511936335,0.39124668435013255,754.0,0.7043131103833477,0.6237144957239547,0.56611010782309,0.7985953916722728
2023-07-31,0.4665214365755233,0.1641312184571016,0.16438356164383552,1387.0,0.6341500555873315,0.6275164623932267,0.5602519506908802,-0.4083070486020874
2023-08-07,0.6184159309286207,0.09665605095541398,0.3893312101910828,1256.0,0.6435010390869624,0.6251985132725753,0.5634832829263101,0.2461951924338541
2023-08-14,0.5362844176953051,0.11208476517754865,0.3573883161512027,873.0,0.5939044552324133,0.5941526079360531,0.5620517637036258,-0.11878203868242537
2023-08-21,0.7916091431436972,0.08421319796954313,0.365482233502538,985.0,0.6032077320857867,0.6098231522943705,0.5735296326756293,1.003616473693691
2023-08-28,0.7266461857629498,0.09684210526315785,0.38026315789473686,760.0,0.6682389193826432,0.6328958892595845,0.5808208971083588,0.6801200007525801
2023-09-04,0.8831436051260223,0.08645484949832774,0.4197324414715719,598.0,0.7344208379319936,0.6420909938708774,0.594562838381889,1.318043634909062
2023-09-11,1.0508127696798193,0.1346808510638298,0.2468085106382978,235.0,0.8630529259281222,0.7057306503165331,0.6143997919165816,1.864108887557544
2023-09-18,0.8590291319867862,0.11459854014598538,0.30656934306569344,548.0,0.8799079231388944,0.7253227802433728,0.6245926810861735,1.0003719599978005
2023-09-25,0.9848021803414049,0.13857142857142848,0.37894736842105264,665.0,0.9444469217835083,0.7488090186748863,0.6390010610563828,1.4380780204933292
2023-10-02,0.6854956541043944,0.09623824451410656,0.3040752351097178,638.0,0.8950349340281012,0.7440645570091019,0.6407893146351523,0.1896114394558512
2023-10-09,0.8030281142640899,0.05603864734299509,0.4070048309178743,828.0,0.8330887701741689,0.7611427198809477,0.6467981590658538,0.6696560811350206
2023-10-16,0.6170909781679288,0.09148936170212754,0.3404255319148936,1034.0,0.7726042317194546,0.7520981218082112,0.6457371883194993,-0.12508906530213326
2023-10-23,0.49019608925768726,0.13897893030794162,0.28687196110210694,1234.0,0.6489527089485252,0.7317750490026331,0.6403737021449541,-0.6623713927704535
2023-10-30,0.6794640909499258,0.10595353339787023,0.35527589545014515,1033.0,0.6474448181599081,0.7481552531852794,0.6416767151051198,0.1695275770282993
2023-11-06,0.7665716356007624,0.07608257804632425,0.32326283987915405,993.0,0.6383306984940762,0.7595518458523672,0.6457055835082052,0.5486512375198707
2023-11-13,0.5195546277828295,0.12932752179327517,0.25031133250311327,803.0,0.6139466108978013,0.7582649389360229,0.6417633661417871,-0.5609539619248414
2023-11-20,0.6597736508615688,0.08406496927129053,0.30640913081650567,1139.0,0.6563410012987717,0.7481237472220131,0.6423091323454169,0.0814384129590157
2023-11-27,0.8359070800733889,0.07363636363636358,0.35151515151515145,660.0,0.6954517485796374,0.7565284313997391,0.6480031896315337,0.8789982913846713
2023-12-04,0.7733852186250724,0.07452554744525546,0.364963503649635,685.0,0.697155144335715,0.7480854785919736,0.6515855333170634,0.5754306197765557
2023-12-11,0.6987240671777765,0.0926646706586826,0.4745508982035928,668.0,0.7419475041844518,0.7210017322456627,0.6528949370354165,0.2195205807849594
2023-12-18,0.563091183712028,0.1378378378378378,0.2378378378378378,370.0,0.7177768873970665,0.698237274686066,0.6504678085672168,-0.42338162981008864
2023-12-25,0.6358711704811512,0.10204460966542749,0.40892193308550184,538.0,0.6677679099990071,0.6713964277737386,0.6500836865123203,-0.06981165709373766
2024-01-01,0.6264380607977388,0.09275017018379847,0.4111640571817563,1469.0,0.6310311205421737,0.6668535359809191,0.6494773884170747,-0.11466756450544754
2024-01-08,0.49571730401717473,0.09664354718850626,0.39137973742878374,4037.0,0.5802794297520233,0.6432142428850026,0.6456333863070771,-0.7502757099778943
2024-01-15,0.7203601312912177,0.08190519598906103,0.43026435733819507,1097.0,0.6195966666468207,0.6511580238944863,0.6474559898432757,0.36886219222484773
2024-01-22,0.931711523072307,0.08335980937251782,0.3987291501191422,1259.0,0.6935567547946097,0.685120749572534,0.6542239787296812,1.3868310228897451
2024-01-29,0.7497790238552612,0.09739583333333328,0.3997395833333333,768.0,0.7243919955589903,0.6905295905652521,0.6564461890814388,0.4708370108007726
2024-02-05,0.3944420941765797,0.21717703349282297,0.26507177033492824,1045.0,0.6990731930988415,0.6619042412249303,0.6504915505608739,-1.2812012197927665
2024-02-12,0.7171826223800852,0.15718085106382979,0.3031914893617021,1504.0,0.6982788158710584,0.6771063946554884,0.6519735743790785,0.3296433321066759
2024-02-19,0.7309596514306507,0.10227906976744186,0.30790697674418605,1075.0,0.6480908479606443,0.6825822408531101,0.6536906630106345,0.39432401414404605
2024-02-26,1.0412058607778456,0.069740500463392,0.3493975903614457,1079.0,0.7209475571912904,0.6983744547534531,0.6619356672184475,1.8786361235252322
2024-03-04,0.9319984047469756,0.08597178683385578,0.3181818181818181,1276.0,0.8553366348338894,0.7105754690705225,0.6675619742502917,1.2994741912073637
2024-03-11,0.7770573946403853,0.12014634146341462,0.24487804878048774,1025.0,0.8703053278989644,0.7166011096445692,0.6697965746664162,0.531071218637646
2024-03-18,0.9193485075647723,0.0869845360824742,0.36082474226804123,776.0,0.9174025419324948,0.7440055191717035,0.6747876133243834,1.204789171855225
2024-03-25,0.8189774832162398,0.08501400560224084,0.3795518207282913,714.0,0.8618454475420934,0.7580906201513258,0.677614865675204,0.6999457752597296
2024-04-01,0.9176054758163749,0.12956656346749224,0.3126934984520124,646.0,0.8582472153094431,0.7804881136142977,0.6822300697163803,1.161069661929008
2024-04-08,1.1167739012443287,0.14434931506849316,0.3356164383561644,584.0,0.943176341960429,0.8282616980163865,0.7017833434939398,2.1355421643046006
2024-04-15,0.9798901573166702,0.13350515463917523,0.38144329896907214,582.0,0.9583117543984034,0.8482255461721905,0.7171778929107767,1.4313794715575174
2024-04-22,0.9901233314524113,0.0818493150684931,0.3595890410958904,292.0,1.0010982164574465,0.8527187622014293,0.7233322641251377,1.4247396291601748
2024-04-29,0.9350413423367789,0.16440443213296396,0.40581717451523547,722.0,1.0054571830875474,0.8669697097769306,0.7332927539801722,1.0940764702347205
2024-05-06,1.113443516111051,0.1456586826347305,0.4041916167664671,668.0,1.004624586804228,0.9222775114641977,0.7422330279535175,1.9399516068520486
2024-05-13,0.6759437411246931,0.22238516878804643,0.44548976203652463,1807.0,0.9286379827562337,0.9191052898291675,0.7371573078391829,-0.3230328642769166
2024-05-20,0.6290012905106254,0.11706006322444672,0.31548998946259216,4745.0,0.8383574725207872,0.9112623389891656,0.7379478698396648,-0.5766003642290021
2024-05-27,0.5881637555833578,0.11743193823648916,0.4317350670459163,4922.0,0.7516380758324319,0.8764129462818973,0.7410529304236685,-0.8263516458305
2024-06-03,0.9102488856999007,0.07239059842276169,0.351322096799134,6467.0,0.7008394182296444,0.874739906355199,0.7438729619721433,0.892194754417699
2024-06-10,0.6721690224183768,0.09091492090637018,0.4080091207068548,7017.0,0.6998957385530653,0.8666715700304294,0.7525012655592985,-0.46779297392065705
2024-06-17,0.6459196731573319,0.10336053253167275,0.4573759931286236,9314.0,0.704125334214742,0.8456385827683186,0.7533010392173651,-0.6275273350639639
2024-06-24,0.9707058482573168,0.057000524383848915,0.5831672784478238,19070.0,0.7997608573832317,0.8573099954637861,0.758901515515934,1.2214413291712942
2024-07-01,0.6137739746283415,0.0974969646025964,0.39156626506024095,21414.0,0.7256421296153419,0.8339383415262449,0.7563361370326409,-0.8166707638916088
2024-07-08,0.6492222659050253,0.09752492265383285,0.39682880715022345,23272.0,0.719905440487004,0.7979728311155293,0.7576478729744665,-0.6250228244720571
2024-07-15,0.6113811583658209,0.08916059915177364,0.46728445000122576,40791.0,0.7112708117891262,0.769625985042387,0.7552769192293188,-0.823987212549745
2024-07-22,0.619120679786374,0.08842444230111071,0.49791543511402875,64282.0,0.6233745196713905,0.7410873195296149,0.7526754700765527,-0.7603397104122318
2024-07-29,0.7580700247800533,0.07460442224344373,0.495805480055829,68065.0,0.6594485322093184,0.7274741412560206,0.7582821736958707,-0.0012411593840328857
2024-08-05,0.6953037341244905,0.0752007449087887,0.3496265443841486,49939.0,0.6709688992641848,0.6953095426416698,0.7597607852957913,-0.3791043659210001
2024-08-12,0.4541203260672757,0.16630284670557313,0.31148928587339064,44894.0,0.6316536911895484,0.6782462030218686,0.7581807066106369,-1.7626098450520984
2024-08-19,0.7414356543100581,0.0766221461817245,0.23174568132899168,54357.0,0.6622324348204696,0.6868950002372094,0.7572158318253747,-0.09150292379781615
2024-08-26,0.6892917818899423,0.08460778781038371,0.2590293453724605,49616.0,0.6450378740979418,0.6946740791838698,0.7564974779047399,-0.38923054948865976
2024-09-02,0.3815312848506912,0.17470994475138119,0.27313535911602205,43440.0,0.566594761779492,0.6540034945031614,0.7468510871302142,-2.0371140187371304
2024-09-09,0.8957067479776133,0.048874604590802125,0.30507340416903234,49316.0,0.6769913672570763,0.6711987041615642,0.7438682790205563,0.8655488055113645
2024-09-16,0.5168224445145518,0.13979430058132444,0.28240985405910807,49198.0,0.6208380648081998,0.6612681481121196,0.737287381184552,-1.2425670195223872
2024-09-23,0.3036673092835372,0.23447665957684982,0.21955669987686105,89330.0,0.5244319466565984,0.6099574912679827,0.7241886336642084,-2.2876409705425167
2024-09-30,0.7460268108274839,0.06675754492018408,0.23705554458603564,131678.0,0.6155558281507967,0.6201307863602245,0.7253526943704215,0.11250304495257814
2024-10-07,0.2550626057381553,0.25911896334172946,0.1866655954783249,211603.0,0.4553947925909322,0.5898108125012345,0.7148148961295381,-2.3623758961040817
2024-10-14,0.27652433957897116,0.21265036363009684,0.13612863199255504,232104.0,0.39532026635703704,0.5640525956714768,0.7082655376951352,-2.1216257062807027
2024-10-21,0.4097932488440742,0.18023218768101948,0.10962541031087077,414320.0,0.4218517512471712,0.5479504855989922,0.7067193292256426,-1.4450316874543314
2024-10-28,0.27287191713372394,0.25079143923421704,0.09379436966600609,583873.0,0.30356302782373124,0.5106275542415822,0.6989002489599463,-1.9899164061504673
2024-11-04,0.40557071426227354,0.1590885802927903,0.26077248821153765,316199.0,0.34119005495476085,0.4883403988675656,0.6919579235495908,-1.315638880991908
2024-11-11,0.590129628154119,0.0657487897330847,0.2866866262223039,228462.0,0.41959137709854777,0.4988026528742458,0.6933151350951926,-0.4759447479414089
2024-11-18,0.9205507903082284,0.04469707845811497,0.3434202498025985,222896.0,0.5472807624645863,0.5125807402587205,0.6983300800845513,1.0146362714634056
2024-11-25,0.6682507002870809,0.05245935843205464,0.3817825626699346,227661.0,0.6461254582529256,0.5109621955200387,0.6951059189348148,-0.12308597480458842
2024-12-02,0.6913773437353218,0.052572455156793936,0.3211980557458488,214581.0,0.7175771156211876,0.5347965077419334,0.6935288444177042,-0.009873712576356409
2024-12-09,0.7004677731119248,0.04875620378041082,0.3066586609714759,263146.0,0.7451616518606391,0.5197781250599574,0.6935623772241301,0.03169025124349567
2024-12-16,0.7693486087978494,0.04861200845217243,0.3136199206594442,320391.0,0.7073611064830443,0.539203214620211,0.6975288661680881,0.33042162005519404
2024-12-23,0.9458082927660301,0.030794298307309953,0.3118827687684067,447867.0,0.7767505046027816,0.5885986748880951,0.7034891954427974,1.1021068592167869
2024-12-30,0.9499338552175449,0.035022067894490874,0.350541697059743,297491.0,0.8413896324733374,0.604283832148869,0.7097102684124091,1.0810646072255707
2025-01-06,0.7516415081245614,0.047610831599188635,0.37179885678160307,189815.0,0.8541830662264965,0.6424822092555156,0.7146318877221665,0.16807065548258296
2025-01-13,0.9501677456429963,0.04278497805898559,0.39353102625939274,186181.0,0.8993878504377832,0.6943009327989021,0.7190512649212392,1.038199194854365
2025-01-20,0.8262279423467351,0.04689122004347367,0.40790546975752245,219443.0,0.8694927628329595,0.7263343707606454,0.7170227345226704,0.49388966190428996
2025-01-27,1.0993853744031845,0.045883074037203674,0.4144980953869696,121547.0,0.9068556426293695,0.7899123290121425,0.7237459335716689,1.6522149262667047
2025-02-03,0.7972577530622484,0.047827095700593625,0.3510408499607981,124994.0,0.9182597038637912,0.820042101227525,0.7314923885502395,0.29526898238733773
2025-02-10,0.877882948552681,0.033140270859970886,0.3504704108700215,157203.0,0.9001885045912125,0.8421769720274145,0.734582779438174,0.6407600856402432
2025-02-17,0.846224837444094,0.04201662437390545,0.4426545898282931,195857.0,0.9051877283655522,0.8364595910378656,0.7367994176307403,0.48812523233357863
