date,week,n_trades,longshot_fraction,longshot_winrate,longshot_gap,longshot_gap_ma4w,longshot_gap_ma13w,longshot_gap_ma52w,longshot_gap_z52w
2023-01-30,2023-W05,110,0.1272727272727272,0.0,-0.05,-0.05,-0.05,-0.05,
2023-02-20,2023-W08,255,0.388235294117647,0.0606060606060606,0.010606060606060598,-0.019696969696969702,-0.019696969696969702,-0.019696969696969702,
2023-02-27,2023-W09,306,0.2156862745098039,0.2727272727272727,0.22272727272727272,0.06111111111111111,0.06111111111111111,0.06111111111111111,
2023-03-06,2023-W10,1298,0.0932203389830508,0.1322314049586777,0.08223140495867769,0.06639118457300275,0.06639118457300275,0.06639118457300275,
2023-03-13,2023-W11,2537,0.2554197871501774,0.0030864197530864,-0.046913580246913604,0.06716278951127434,0.04373023160901948,0.04373023160901948,
2023-03-20,2023-W12,1173,0.3256606990622336,0.0078534031413612,-0.0421465968586388,0.05397462514509951,0.029417426864409766,0.029417426864409766,
2023-03-27,2023-W13,932,0.3304721030042918,0.0811688311688311,0.031168831168831096,0.006085014755489095,0.0296676274793271,0.0296676274793271,
2023-04-03,2023-W14,634,0.3958990536277602,0.1195219123505976,0.0695219123505976,0.0029076416034690723,0.03464941308823591,0.03464941308823591,
2023-04-17,2023-W16,258,0.3449612403100775,0.1235955056179775,0.0735955056179775,0.03303491306969185,0.03897675670265164,0.03897675670265164,
2023-04-24,2023-W17,189,0.4285714285714285,0.2098765432098765,0.1598765432098765,0.08354069808682067,0.051066735353374124,0.051066735353374124,
2023-05-01,2023-W18,274,0.3357664233576642,0.2391304347826087,0.18913043478260871,0.12303109899026507,0.06361798075603181,0.06361798075603181,
2023-05-08,2023-W19,757,0.1862615587846763,0.0425531914893617,-0.007446808510638302,0.10378891877495611,0.057695914983809306,0.057695914983809306,
2023-05-15,2023-W20,560,0.3464285714285714,0.0515463917525773,0.0015463917525773002,0.08577664030860604,0.05337672088909916,0.05337672088909916,-0.5719897572083598
2023-05-22,2023-W21,792,0.3131313131313131,0.0483870967741935,-0.0016129032258065043,0.0454042786996853,0.05709880525634481,0.04944889059517732,-0.5783354607764
2023-05-29,2023-W22,328,0.4603658536585366,0.0529801324503311,0.0029801324503310953,-0.0011332968833841026,0.05651219539821177,0.046350973385520904,-0.5047749290796747
2023-06-05,2023-W23,338,0.3520710059171598,0.0672268907563025,0.0172268907563025,0.005035127933351098,0.04070447370813713,0.044530718221194754,-0.32767307535151396
2023-06-12,2023-W24,464,0.2780172413793103,0.0387596899224806,-0.011240310077519404,0.001838452475826922,0.03351434178227582,0.04125006949774098,-0.6416407090093098
2023-06-19,2023-W25,2597,0.2972660762418175,0.116580310880829,0.066580310880829,0.018886756002485797,0.042244641099794485,0.04265730513013476,0.3005847774471086
2023-06-26,2023-W26,801,0.4357053682896379,0.0143266475644699,-0.035673352435530103,0.0092233847810205,0.042742582978495154,0.03853463894246819,-0.9345390248317157
2023-07-03,2023-W27,672,0.3601190476190476,0.0578512396694214,0.007851239669421396,0.006879472009300221,0.04094892209392517,0.03700046897881585,-0.3756729082214639
2023-07-10,2023-W28,643,0.4276827371695179,0.0763636363636363,0.026363636363636297,0.01628045861958915,0.03762905471031277,0.03649395313999777,-0.13388735710442745
2023-07-17,2023-W29,812,0.3916256157635468,0.0566037735849056,0.0066037735849055965,0.0012863242956082967,0.03247584455392262,0.03513530861476631,-0.38496828071418976
2023-07-24,2023-W30,785,0.3910828025477707,0.022801302931596,-0.027198697068404002,0.003404988137389822,0.018085441455593352,0.032425134454628475,-0.8104668456480161
2023-07-31,2023-W31,1434,0.1617852161785216,0.0948275862068965,0.0448275862068965,0.012649074771758598,0.006985222334384721,0.032941903277639635,0.1650910070799682
2023-08-07,2023-W32,1274,0.3924646781789639,0.02,-0.030000000000000002,-0.0014418343191504772,0.005250361450587668,0.030424227146534054,-0.8439812489643559
2023-08-14,2023-W33,879,0.3594994311717861,0.0569620253164556,0.0069620253164555945,-0.0013522713862629777,0.005666948647809074,0.02952183476845411,-0.3209143956149043
2023-08-21,2023-W34,995,0.364824120603015,0.0798898071625344,0.029889807162534393,0.012919854671471621,0.008090234062296836,0.029535463375642272,0.005140377745514363
2023-08-28,2023-W35,764,0.3795811518324607,0.0620689655172413,0.0120689655172413,0.00473019949905782,0.008789375067443773,0.02891165988069938,-0.2486912730910243
2023-09-04,2023-W36,603,0.4228855721393035,0.0705882352941176,0.0205882352941176,0.01737725832258722,0.00904794003189109,0.028624645239782767,-0.12080667680301044
2023-09-11,2023-W37,447,0.4004474272930649,0.1229050279329608,0.0729050279329608,0.03386300897671352,0.015520658340389569,0.030100657996222035,0.6498908904460989
2023-09-18,2023-W38,557,0.3034111310592459,0.0710059171597633,0.0210059171597633,0.03164203647602075,0.012014935746461435,0.029807279259562076,-0.13587067590011587
