price_bin_center,realized_win_rate,n_trades,ci_lower,ci_upper,calibration_gap,prelec_alpha_fit,prelec_r2_fit
0.025,0.0119514947314886,62921,0.0111316943272825,0.0128308864541683,-0.0130485052685113,0.6639191266094694,0.9867800262365879
0.075,0.0486287814532089,21222,0.0458156754224039,0.0516052720702034,-0.026371218546791,0.6639191266094694,0.9867800262365879
0.125,0.069876188957968,18819,0.0663208447223771,0.0736071032448416,-0.0551238110420319,0.6639191266094694,0.9867800262365879
0.175,0.0940782909795175,17039,0.0897857974816518,0.0985537808196567,-0.0809217090204824,0.6639191266094694,0.9867800262365879
0.225,0.1254813673795841,16879,0.1205688822756052,0.1305642918933687,-0.0995186326204159,0.6639191266094694,0.9867800262365879
0.275,0.1758521822236381,18834,0.1704814145180842,0.1813551568224456,-0.0991478177763619,0.6639191266094694,0.9867800262365879
0.325,0.2325712239783131,19551,0.226702106871381,0.2385454152563359,-0.0924287760216869,0.6639191266094694,0.9867800262365879
0.375,0.2954363490792634,19984,0.2891504753189812,0.3018008558142411,-0.0795636509207365,0.6639191266094694,0.9867800262365879
0.425,0.3724561258960204,24274,0.3663947752494864,0.3785578403075736,-0.0525438741039795,0.6639191266094694,0.9867800262365879
0.475,0.4587139689578714,33825,0.4534086262315638,0.4640286885596113,-0.0162860310421285,0.6639191266094694,0.9867800262365879
0.525,0.5911144085364524,45827,0.586605714791872,0.5956078276275629,0.0661144085364523,0.6639191266094694,0.9867800262365879
0.5750000000000001,0.6957992255281604,20401,0.6894496067847256,0.7020751184059861,0.1207992255281603,0.6639191266094694,0.9867800262365879
0.625,0.7572620425065465,16421,0.7506447127597338,0.7637590304093937,0.1322620425065465,0.6639191266094694,0.9867800262365879
0.675,0.8167882309308938,16178,0.8107521762644779,0.8226738733391717,0.1417882309308937,0.6639191266094694,0.9867800262365879
0.7250000000000001,0.8645426807634996,14093,0.8587932293023718,0.8700934455681185,0.1395426807634995,0.6639191266094694,0.9867800262365879
0.775,0.8978813559322034,14160,0.8927854085627503,0.9027614718824531,0.1228813559322034,0.6639191266094694,0.9867800262365879
0.8250000000000001,0.9332827899924184,13190,0.928896858796277,0.9374164066290106,0.1082827899924184,0.6639191266094694,0.9867800262365879
0.875,0.9543665861235762,14485,0.9508458626025836,0.9576463663413785,0.0793665861235761,0.6639191266094694,0.9867800262365879
0.925,0.97757331799885,15651,0.9751336949022946,0.9797785540980404,0.0525733179988499,0.6639191266094694,0.9867800262365879
0.975,0.994048614928655,41839,0.9932648772611168,0.994741635183774,0.0190486149286549,0.6639191266094694,0.9867800262365879
